   Source_name        RA        Dec RegType  Major  Minor Theta Color reg_qual expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
-------------- --------- ---------- ------- ------ ------ ----- ----- -------- ------ ----- ------- --------- ---------- ------- ----------------------------------------------------------------------------- ------------- ---------- ------------ ------------
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   3679 60180   900.0 80.589646 -67.953624   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60180/lvmSFrame-00003679.fits          3679     352.58           57           90
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   3680 60180   900.0 80.591481 -67.953841   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60180/lvmSFrame-00003680.fits          3680     351.31           57           91
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   3681 60180   900.0 80.592232 -67.953385   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60180/lvmSFrame-00003681.fits          3681     349.44           57           92
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   3734 60181    60.0 84.666865 -69.073157   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60181/lvmSFrame-00003734.fits          3734     465.21           85          114
     SNR_N157B 84.441667 -69.174444 ellipse   60.0   60.0     0  blue     good   3735 60181   900.0 84.668765 -69.073202   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60181/lvmSFrame-00003735.fits          3735     466.60           85          115
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   4120 60187   900.0 80.585794 -67.955469   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004120.fits          4120     360.92           57          360
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   4121 60187   900.0 80.586567 -67.956138   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004121.fits          4121     361.82           57          361
    SNR_in_N44 80.779792 -67.886667 ellipse  127.5  127.5    90  blue     good   4122 60187   900.0 80.589155 -67.955818   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60187/lvmSFrame-00004122.fits          4122     358.49           57          362
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6624 60231   900.0 78.864174 -68.644565 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006624.fits          6624     402.79           48          926
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6625 60231   900.0 78.875213 -68.649614 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006625.fits          6625     412.70           48          927
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6626 60231   900.0 78.861245 -68.649377 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006626.fits          6626     394.98           48          928
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6627 60231   900.0 78.872455 -68.641028 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006627.fits          6627     416.64           48          929
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6628 60231   900.0   78.8665 -68.643105 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006628.fits          6628     407.10           48          930
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6629 60231   900.0 78.884088 -68.642858 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006629.fits          6629     429.60           48          931
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6630 60231   900.0 78.854502 -68.649914 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006630.fits          6630     385.93           48          932
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6631 60231   900.0 78.869872 -68.649943 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006631.fits          6631     405.61           48          933
    J0514−6840 78.566667 -68.672778 ellipse  110.0  110.0     0  blue     good   6632 60231   900.0 78.861629 -68.652047 1028008 sdsswork/lvm/spectro/redux/1.1.1/1028XX/1028008/60231/lvmSFrame-00006632.fits          6632     393.51           48          934
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6640 60231   900.0 79.435924  -69.01578 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60231/lvmSFrame-00006640.fits          6640     597.02           52          941
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6641 60231   900.0 79.442493 -69.017328   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60231/lvmSFrame-00006641.fits          6641     587.94           52          942
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6690 60232   900.0 72.399544 -68.862106 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006690.fits          6690     715.48            4          949
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6691 60232   900.0 72.417899 -68.867734 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006691.fits          6691     695.97            4          950
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6692 60232   900.0 72.405013 -68.868013 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006692.fits          6692     694.36            4          951
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6693 60232   900.0 79.444296 -69.014892 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006693.fits          6693     586.73           52          952
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6694 60232   900.0  79.43163 -69.014301 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006694.fits          6694     603.20           52          953
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6695 60232   900.0 79.444082 -69.005001 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006695.fits          6695     592.76           52          954
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6696 60232   900.0 79.436342 -69.007689 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006696.fits          6696     600.82           52          955
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6697 60232   900.0  79.45373 -69.007939 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006697.fits          6697     578.58           52          956
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6698 60232   900.0 79.439879 -69.011959 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006698.fits          6698     593.85           52          957
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6699 60232   900.0 79.456572 -69.012236 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006699.fits          6699     572.42           52          958
 SNR_B0519-690 79.895833 -69.035833 ellipse   16.8   16.8     0  blue     good   6700 60232   900.0 79.449987 -69.014576 1027985 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027985/60232/lvmSFrame-00006700.fits          6700     579.61           52          959
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6701 60232   900.0 72.407159 -68.866231 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006701.fits          6701     700.84            4          960
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6702 60232   900.0 72.397972 -68.867559 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006702.fits          6702     695.83            4          961
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6703 60232   900.0 72.416007 -68.866855 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006703.fits          6703     699.02            4          962
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6704 60232   900.0 72.400875  -68.87046 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006704.fits          6704     685.44            4          963
    J0449-6903 72.391736 -69.060831 ellipse  88.32  56.56     0  blue       ok   6708 60232   900.0 72.422229 -68.872034 1027979 sdsswork/lvm/spectro/redux/1.1.1/1027XX/1027979/60232/lvmSFrame-00006708.fits          6708     680.81            4          967
