# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of FeOf06a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+24)
# 
    bin   fbin  N  year  DOY     LT        MJD   S27d          I 
  13496  2.000  1  2009  281  21.38  55113.087   70.6  2.730e+01 
  13548  2.000  1  2009  282  23.14  55114.160   70.6  1.624e+01 
  13593  2.000  1  2009  283  21.97  55115.111   70.6  1.919e+01 
  13596  2.000  1  2009  283  23.24  55115.164   70.6  1.337e+01 
  13598  1.000  1  2009  284   0.45  55115.214   70.6  1.981e+01 
  13639  0.533  1  2009  284  20.74  55116.060   70.6  1.676e+01 
  13640  1.067  2  2009  284  21.23  55116.080   70.6  2.885e+01 
  13641  0.533  1  2009  284  21.71  55116.100   70.6  2.119e+01 
  13647  1.000  1  2009  285   0.97  55116.236   70.6  2.698e+01 
  13648  1.000  1  2009  285   1.49  55116.258   70.6  2.092e+01 
  13650  1.000  1  2009  285   2.32  55116.292   70.6  1.685e+01 
  13651  1.000  1  2009  285   2.84  55116.314   70.6  1.981e+01 
  13878  0.820  1  2009  289  20.11  55121.033   71.7  1.911e+01 
  13879  0.713  1  2009  289  20.51  55121.050   71.7  1.725e+01 
  13934  1.000  1  2009  291   0.44  55122.214   71.8  2.804e+01 
  13935  1.000  1  2009  291   0.97  55122.236   71.8  2.709e+01 
  13937  1.000  1  2009  291   1.78  55122.270   71.8  2.299e+01 
  13938  1.000  1  2009  291   2.31  55122.292   71.8  2.710e+01 
  13972  0.333  1  2009  291  19.37  55123.003   71.9  2.936e+01 
  13973  1.000  3  2009  291  19.76  55123.019   71.9  3.092e+01 
  13975  0.833  2  2009  291  20.77  55123.061   71.9  2.267e+01 
  14021  0.651  1  2009  292  19.86  55124.023   71.9  2.156e+01 
  14022  0.651  1  2009  292  20.21  55124.038   71.9  1.612e+01 
  14023  1.302  2  2009  292  20.73  55124.059   71.9  1.731e+01 
  14024  0.651  1  2009  292  21.36  55124.086   71.9  1.701e+01 
  14025  0.651  1  2009  292  21.71  55124.100   71.9  2.021e+01 
  14026  1.302  2  2009  292  22.23  55124.122   71.9  1.833e+01 
  14028  1.302  2  2009  292  23.20  55124.162   71.9  1.922e+01 
  14029  0.651  1  2009  292  23.72  55124.184   71.9  2.086e+01 
  14030  0.651  1  2009  293   0.06  55124.198   71.9  1.730e+01 
  14032  0.933  2  2009  293   1.18  55124.245   71.9  1.538e+01 
  14033  0.933  2  2009  293   1.69  55124.266   71.9  1.895e+01 
  14034  0.467  1  2009  293   2.42  55124.296   71.9  1.721e+01 
  14035  0.933  2  2009  293   2.80  55124.312   71.9  2.366e+01 
  14036  0.467  1  2009  293   3.19  55124.328   71.9  2.638e+01 
  14037  0.548  1  2009  293   3.69  55124.349   71.9  2.039e+01 
  14069  0.651  1  2009  293  19.79  55125.020   72.0  2.522e+01 
  14070  1.302  2  2009  293  20.31  55125.042   72.0  2.381e+01 
  14071  0.651  1  2009  293  20.84  55125.064   72.0  2.482e+01 
  14072  0.651  1  2009  293  21.45  55125.089   72.0  2.936e+01 
  14073  0.651  1  2009  293  21.80  55125.104   72.0  2.597e+01 
  14074  1.302  2  2009  293  22.32  55125.125   72.0  2.224e+01 
  14076  0.467  1  2009  293  23.40  55125.171   72.0  1.820e+01 
  14077  0.467  1  2009  293  23.92  55125.192   72.0  2.416e+01 
  14080  0.467  1  2009  294   1.29  55125.249   72.0  3.465e+01 
  14081  0.467  1  2009  294   1.55  55125.260   72.0  3.096e+01 
  14082  0.467  1  2009  294   2.06  55125.281   72.0  3.506e+01 
  14117  2.001  1  2009  294  19.76  55126.019   72.0  2.908e+01 
  14119  2.001  1  2009  294  20.86  55126.065   72.0  2.931e+01 
  14122  2.001  1  2009  294  22.13  55126.118   72.1  3.240e+01 
  14124  0.969  2  2009  294  23.33  55126.168   72.1  2.597e+01 
  14125  0.969  2  2009  294  23.86  55126.190   72.1  2.852e+01 
  14127  0.933  2  2009  295   0.69  55126.225   72.1  2.887e+01 
  14128  0.933  2  2009  295   1.21  55126.246   72.1  2.650e+01 
  14129  0.933  2  2009  295   1.82  55126.271   72.1  2.073e+01 
  14130  0.933  2  2009  295   2.34  55126.293   72.1  2.345e+01 
  14132  0.548  1  2009  295   3.19  55126.328   72.1  2.532e+01 
  14133  0.548  1  2009  295   3.51  55126.342   72.1  2.657e+01 
  14134  0.548  1  2009  295   4.11  55126.367   72.1  2.962e+01 
  14175  1.000  1  2009  296   0.51  55127.217   72.1  3.305e+01 
  14178  0.667  1  2009  296   2.16  55127.286   72.1  3.784e+01 
  14225  0.667  1  2009  297   1.97  55128.278   72.1  3.661e+01 
  14264  0.333  1  2009  297  21.09  55129.074   72.1  4.746e+01 
  14267  0.500  1  2009  297  22.82  55129.146   72.1  3.007e+01 
  14934  0.533  1  2009  311  20.05  55143.031   73.2  4.178e+01 
  14935  1.333  2  2009  311  20.76  55143.061   73.2  3.066e+01 
  14939  1.000  1  2009  311  22.88  55143.149   73.2  2.619e+01 
  14986  1.000  1  2009  312  22.00  55144.112   73.1  2.844e+01 
  15032  1.000  1  2009  313  21.38  55145.086   72.9  2.200e+01 
  15036  1.000  1  2009  313  23.41  55145.171   72.8  3.092e+01 
  15041  0.667  1  2009  314   1.82  55145.271   72.8  4.550e+01 
  15045  0.333  1  2009  314   3.51  55145.342   72.8  5.933e+01 
  15081  0.667  1  2009  314  21.53  55146.093   72.6  2.557e+01 
  15086  0.667  1  2009  315   0.50  55146.216   72.6  3.934e+01 
  15271  0.694  1  2009  318  20.79  55150.062   72.2  2.459e+01 
  15273  0.694  1  2009  318  21.94  55150.110   72.2  1.968e+01 
  15414  0.967  1  2009  321  20.04  55153.030   72.2  1.583e+01 
  15415  0.967  1  2009  321  20.54  55153.052   72.2  1.547e+01 
