# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of HI0656 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13496  1.000   1  2009  281  21.12  55113.076   70.6  2.689e+00 
  13497  1.000   1  2009  281  21.65  55113.098   70.6  2.071e+00 
  13547  1.000   1  2009  282  22.88  55114.149   70.6  1.564e+00 
  13548  1.000   1  2009  282  23.41  55114.171   70.6  1.341e+00 
  13590  1.111   2  2009  283  20.25  55115.039   70.6  5.357e+00 
  13591  0.556   1  2009  283  20.73  55115.059   70.6  4.296e+00 
  13592  0.556   1  2009  283  21.06  55115.073   70.6  3.356e+00 
  13593  1.000   1  2009  283  21.71  55115.100   70.6  1.847e+00 
  13594  1.000   1  2009  283  22.24  55115.122   70.6  1.616e+00 
  13595  1.000   1  2009  283  22.98  55115.153   70.6  1.476e+00 
  13597  1.000   1  2009  283  23.50  55115.175   70.6  1.413e+00 
  13598  1.000   1  2009  284   0.45  55115.214   70.6  9.490e-01 
  13599  1.000   1  2009  284   0.98  55115.236   70.6  7.092e-01 
  13639  0.556   1  2009  284  20.74  55116.060   70.6  3.505e+00 
  13640  1.111   2  2009  284  21.23  55116.080   70.6  2.826e+00 
  13641  0.556   1  2009  284  21.72  55116.100   70.6  2.560e+00 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  1.033e+00 
  13648  1.000   1  2009  285   1.49  55116.258   70.6  1.142e+00 
  13650  1.000   1  2009  285   2.32  55116.292   70.6  1.373e+00 
  13789  0.644   4  2009  287  23.65  55119.181   71.4  2.564e+00 
  13833  0.483   3  2009  288  21.65  55120.098   71.6  2.820e+00 
  13834  0.644   4  2009  288  22.21  55120.121   71.6  1.888e+00 
  13835  0.483   3  2009  288  22.87  55120.148   71.6  1.667e+00 
  13836  0.806   5  2009  288  23.23  55120.164   71.6  1.844e+00 
  13837  0.644   4  2009  288  23.64  55120.180   71.6  1.777e+00 
  13838  0.806   5  2009  289   0.29  55120.208   71.6  3.567e+00 
  13839  0.806   5  2009  289   0.74  55120.226   71.6  3.560e+00 
  13878  0.833   1  2009  289  20.11  55121.033   71.7  4.836e+00 
  13879  0.833   1  2009  289  20.54  55121.051   71.7  3.957e+00 
  13882  0.533   2  2009  289  22.15  55121.118   71.7  2.563e+00 
  13883  0.449   1  2009  289  22.82  55121.146   71.7  1.602e+00 
  13934  1.000   1  2009  291   0.44  55122.214   71.8  1.028e+00 
  13935  1.000   1  2009  291   0.97  55122.236   71.8  1.041e+00 
  13937  1.000   1  2009  291   1.78  55122.270   71.8  1.293e+00 
  13938  1.000   1  2009  291   2.31  55122.292   71.8  1.667e+00 
  13939  0.333   1  2009  291   2.86  55122.315   71.8  9.965e+00 
  13940  0.667   2  2009  291   3.18  55122.328   71.8  9.612e+00 
  13972  0.333   1  2009  291  19.37  55123.003   71.9  1.003e+01 
  13973  1.000   3  2009  291  19.76  55123.019   71.9  8.278e+00 
  13975  0.833   2  2009  291  20.77  55123.061   71.9  4.036e+00 
  14021  0.639   1  2009  292  19.86  55124.023   71.9  6.641e+00 
  14022  0.639   1  2009  292  20.21  55124.038   71.9  5.945e+00 
  14023  1.278   2  2009  292  20.73  55124.059   71.9  5.192e+00 
  14024  0.639   1  2009  292  21.36  55124.085   71.9  4.323e+00 
  14025  0.639   1  2009  292  21.70  55124.100   71.9  4.044e+00 
  14026  1.278   2  2009  292  22.23  55124.122   71.9  3.740e+00 
  14028  1.278   2  2009  292  23.19  55124.162   71.9  1.106e+00 
  14029  0.639   1  2009  292  23.71  55124.184   71.9  1.069e+00 
  14030  0.961   2  2009  293   0.18  55124.203   71.9  1.195e+00 
  14032  0.889   2  2009  293   1.17  55124.244   71.9  1.548e+00 
  14033  0.889   2  2009  293   1.68  55124.266   71.9  1.729e+00 
  14034  0.444   1  2009  293   2.41  55124.296   71.9  2.297e+00 
  14035  0.889   2  2009  293   2.80  55124.312   71.9  2.835e+00 
  14036  0.444   1  2009  293   3.18  55124.328   71.9  3.479e+00 
  14037  0.578   1  2009  293   3.70  55124.350   71.9  8.550e+00 
  14069  0.639   1  2009  293  19.79  55125.020   72.0  6.649e+00 
  14070  1.278   2  2009  293  20.31  55125.042   72.0  5.698e+00 
  14071  0.639   1  2009  293  20.83  55125.064   72.0  4.779e+00 
  14072  0.639   1  2009  293  21.44  55125.089   72.0  4.230e+00 
  14073  0.639   1  2009  293  21.79  55125.104   72.0  3.917e+00 
  14074  1.278   2  2009  293  22.31  55125.125   72.0  3.743e+00 
  14076  0.889   2  2009  293  23.27  55125.165   72.0  1.388e+00 
  14077  0.444   1  2009  293  23.91  55125.192   72.0  1.267e+00 
  14080  0.444   1  2009  294   1.29  55125.249   72.0  1.642e+00 
  14081  0.444   1  2009  294   1.54  55125.260   72.0  1.686e+00 
  14082  0.444   1  2009  294   2.06  55125.281   72.0  2.052e+00 
  14085  1.056   1  2009  294   3.93  55125.359   72.0  7.946e+00 
  14117  2.000   1  2009  294  19.76  55126.019   72.0  5.924e+00 
  14119  2.000   1  2009  294  20.86  55126.065   72.0  3.675e+00 
  14122  2.000   1  2009  294  22.13  55126.118   72.1  2.710e+00 
  14124  0.944   2  2009  294  23.33  55126.168   72.1  1.780e+00 
  14125  0.944   2  2009  294  23.86  55126.190   72.1  1.842e+00 
  14127  0.889   2  2009  295   0.69  55126.224   72.1  1.563e+00 
  14128  0.889   2  2009  295   1.20  55126.246   72.1  1.639e+00 
  14129  0.889   2  2009  295   1.82  55126.271   72.1  1.969e+00 
  14130  0.889   2  2009  295   2.33  55126.293   72.1  2.421e+00 
  14132  0.578   1  2009  295   3.20  55126.329   72.1  6.844e+00 
  14133  0.578   1  2009  295   3.51  55126.342   72.1  8.202e+00 
  14134  0.578   1  2009  295   4.11  55126.367   72.1  8.951e+00 
  14175  1.000   1  2009  296   0.51  55127.217   72.1  4.893e+00 
  14178  0.667   1  2009  296   2.16  55127.286   72.1  8.285e+00 
  14220  1.000   1  2009  296  23.05  55128.156   72.1  3.954e+00 
  14225  0.667   1  2009  297   1.97  55128.278   72.1  5.625e+00 
  14887  0.644   4  2009  310  20.83  55142.063   73.2  3.489e+00 
  14888  0.333   1  2009  310  21.30  55142.083   73.2  1.242e+01 
  14889  0.667   2  2009  310  21.72  55142.101   73.2  8.934e+00 
  14890  0.333   1  2009  310  22.14  55142.118   73.2  9.981e+00 
  14939  1.000   1  2009  311  22.88  55143.149   73.2  4.981e+00 
  14986  1.000   1  2009  312  22.00  55144.112   73.1  6.522e+00 
  15032  1.000   1  2009  313  21.38  55145.086   72.9  7.159e+00 
  15081  0.667   1  2009  314  21.53  55146.093   72.6  4.072e+00 
  15086  0.667   1  2009  315   0.50  55146.216   72.6  5.288e+00 
  15092  0.333   1  2009  315   3.34  55146.335   72.6  1.228e+01 
  15271  0.667   1  2009  318  20.78  55150.061   72.2  6.584e+00 
  15272  0.667   1  2009  318  21.20  55150.079   72.2  5.446e+00 
  15273  0.667   1  2009  318  21.93  55150.109   72.2  4.513e+00 
  15274  0.667   1  2009  318  22.35  55150.127   72.2  4.042e+00 
  15414  0.944   1  2009  321  20.03  55153.030   72.2  6.446e+00 
  15415  0.944   1  2009  321  20.54  55153.051   72.2  4.894e+00 
