# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of KI0770 (see pmd_climfeat.dat) for intervals of
# 30 min of UVES data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+19)
# 
    bin   fbin  N    year  DOY     LT        MJD   S27d          I 
   4374  1.222  1    2009   91  20.16  54923.035  201.2  4.812e-01 
   5380  0.333  1    2009  112  19.46  54944.007  175.4  5.107e-01 
   5381  0.333  1    2009  112  19.65  54944.014  175.4  5.718e-01 
   5427  0.750  1    2009  113  18.97  54944.986  173.6  4.602e-01 
   5428  0.750  1    2009  113  19.36  54945.002  173.5  6.786e-01 
   5429  0.750  1    2009  113  19.89  54945.024  173.5  6.361e-01 
   5430  0.750  1    2009  113  20.28  54945.041  173.5  6.081e-01 
   5476  1.222  1    2009  114  19.46  54946.006  171.8  6.059e-01 
   5478  1.222  1    2009  114  20.09  54946.032  171.7  5.437e-01 
   5479  0.917  1    2009  114  20.77  54946.061  171.7  3.843e-01 
   5480  0.917  1    2009  114  21.25  54946.081  171.6  3.209e-01 
   5481  0.572  1    2009  114  21.75  54946.102  171.6  3.652e-01 
   5482  0.500  1    2009  114  22.13  54946.118  171.6  4.310e-01 
   5483  1.017  2    2009  114  22.71  54946.142  171.5  4.292e-01 
   5484  1.194  1    2009  114  23.44  54946.172  171.5  2.475e-01 
   5487  0.889  1    2009  115   0.68  54946.224  171.4  2.873e-01 
   6771  0.750  1    2009  141  18.77  54972.978  198.1  6.236e-01 
   6772  0.750  1    2009  141  19.16  54972.994  198.1  5.846e-01 
   6819  0.667  2    2009  142  18.83  54973.980  199.4  1.059e+00 
   6821  0.750  1    2009  142  19.78  54974.020  199.5  9.867e-01 
   6868  1.222  1    2009  143  19.08  54974.991  200.7  6.774e-01 
   6869  1.222  1    2009  143  19.71  54975.017  200.7  7.811e-01 
   6932  1.333  1    2009  145   3.02  54976.321  201.6  8.812e-01 
   6933  1.333  1    2009  145   3.70  54976.350  201.6  1.088e+00 
