# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NI0520a (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d           I 
  13496  1.000   1  2009  281  21.12  55113.076   70.6   1.140e+00 
  13497  1.000   1  2009  281  21.65  55113.098   70.6   8.294e-01 
  13547  1.000   1  2009  282  22.88  55114.149   70.6   1.043e-01 
  13548  1.000   1  2009  282  23.41  55114.171   70.6   5.029e-02 
  13550  1.000   1  2009  283   0.14  55114.201   70.6  -9.304e-03 
  13590  1.111   2  2009  283  20.25  55115.039   70.6   3.223e+00 
  13591  0.556   1  2009  283  20.73  55115.059   70.6   2.923e+00 
  13592  0.556   1  2009  283  21.06  55115.073   70.6   2.636e+00 
  13593  1.000   1  2009  283  21.71  55115.100   70.6   1.676e+00 
  13594  1.000   1  2009  283  22.23  55115.122   70.6   8.129e-01 
  13595  1.000   1  2009  283  22.98  55115.153   70.6   3.563e-01 
  13597  1.000   1  2009  283  23.50  55115.175   70.6   1.952e-01 
  13598  1.000   1  2009  284   0.45  55115.214   70.6   2.675e-02 
  13599  1.000   1  2009  284   0.98  55115.236   70.6   6.454e-02 
  13601  1.000   1  2009  284   1.56  55115.261   70.6   1.199e-01 
  13602  1.000   1  2009  284   2.09  55115.283   70.6   2.982e-01 
  13639  0.556   1  2009  284  20.74  55116.060   70.6   1.815e+00 
  13640  1.111   2  2009  284  21.23  55116.080   70.6   1.140e+00 
  13641  0.556   1  2009  284  21.72  55116.100   70.6   5.549e-01 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  -2.922e-03 
  13648  1.000   1  2009  285   1.49  55116.258   70.6   8.707e-02 
  13650  1.000   1  2009  285   2.32  55116.292   70.6   7.688e-02 
  13651  1.000   1  2009  285   2.84  55116.314   70.6   2.217e-01 
  13934  1.000   1  2009  291   0.44  55122.214   71.8   2.202e-01 
  13935  1.000   1  2009  291   0.97  55122.236   71.8   3.074e-01 
  13937  1.000   1  2009  291   1.78  55122.270   71.8   1.252e+00 
  13938  1.000   1  2009  291   2.31  55122.292   71.8   2.083e+00 
  13939  0.361   1  2009  291   2.86  55122.315   71.8   2.306e+00 
  13940  0.722   2  2009  291   3.19  55122.328   71.8   1.309e+00 
  13941  0.361   1  2009  291   3.51  55122.342   71.8   8.056e-01 
  13972  0.333   1  2009  291  19.37  55123.003   71.9   5.237e+00 
  13973  1.000   3  2009  291  19.76  55123.019   71.9   3.661e+00 
  13975  0.833   2  2009  291  20.77  55123.061   71.9   1.601e+00 
  13976  0.417   1  2009  291  21.10  55123.075   71.9   1.422e+00 
  14021  0.644   1  2009  292  19.86  55124.023   71.9   2.385e+00 
  14022  0.644   1  2009  292  20.21  55124.038   71.9   2.027e+00 
  14023  1.289   2  2009  292  20.73  55124.059   71.9   1.807e+00 
  14024  0.644   1  2009  292  21.36  55124.085   71.9   8.561e-01 
  14025  0.644   1  2009  292  21.70  55124.100   71.9   5.931e-01 
  14026  1.289   2  2009  292  22.23  55124.122   71.9   2.617e-01 
  14028  1.289   2  2009  292  23.19  55124.162   71.9   3.899e-02 
  14029  0.644   1  2009  292  23.71  55124.184   71.9  -2.744e-02 
  14030  0.644   1  2009  293   0.06  55124.198   71.9   1.154e-01 
  14032  0.889   2  2009  293   1.17  55124.244   71.9  -6.744e-03 
  14033  0.889   2  2009  293   1.68  55124.266   71.9   1.103e-01 
  14034  0.444   1  2009  293   2.41  55124.296   71.9   3.558e-01 
  14035  0.889   2  2009  293   2.79  55124.312   71.9   4.813e-01 
  14036  0.444   1  2009  293   3.18  55124.328   71.9   5.578e-01 
  14037  0.583   1  2009  293   3.70  55124.350   71.9   5.345e-01 
  14038  0.583   1  2009  293   4.01  55124.363   71.9   6.788e-01 
  14069  0.644   1  2009  293  19.79  55125.020   72.0   3.448e+00 
  14070  1.289   2  2009  293  20.31  55125.042   72.0   2.669e+00 
  14071  0.644   1  2009  293  20.83  55125.064   72.0   1.460e+00 
