# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of NaI0590 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13109  0.889   5  2009  273  19.76  55105.019   71.4  6.686e+00 
  13110  0.533   3  2009  273  20.20  55105.037   71.4  7.253e+00 
  13354  0.422   6  2009  278  22.18  55110.120   71.2  1.783e+01 
  13357  0.333   4  2009  278  23.89  55110.191   71.1  2.127e+01 
  13400  0.333   4  2009  279  21.23  55111.080   71.0  1.081e+01 
  13402  0.428   7  2009  279  22.26  55111.123   71.0  7.396e+00 
  13405  1.000   1  2009  279  23.70  55111.183   70.9  6.205e+00 
  13409  1.000   1  2009  280   1.78  55111.270   70.9  3.337e+00 
  13410  1.000   1  2009  280   2.30  55111.291   70.9  4.694e+00 
  13451  1.000   1  2009  280  22.53  55112.134   70.7  9.745e+00 
  13452  1.000   1  2009  280  23.06  55112.156   70.7  7.694e+00 
  13454  1.000   1  2009  281   0.03  55112.197   70.7  7.656e+00 
  13455  1.000   1  2009  281   0.56  55112.219   70.7  9.720e+00 
  13496  1.000   1  2009  281  21.12  55113.076   70.6  1.422e+01 
  13497  1.000   1  2009  281  21.65  55113.098   70.6  1.461e+01 
  13545  0.333   4  2009  282  21.77  55114.103   70.6  1.288e+01 
  13546  0.333   4  2009  282  22.28  55114.124   70.6  1.411e+01 
  13547  1.000   1  2009  282  22.88  55114.149   70.6  1.090e+01 
  13548  1.000   1  2009  282  23.41  55114.171   70.6  1.199e+01 
  13550  1.000   1  2009  283   0.14  55114.201   70.6  1.277e+01 
  13551  1.000   1  2009  283   0.66  55114.223   70.6  1.372e+01 
  13590  1.111   2  2009  283  20.25  55115.039   70.6  1.066e+01 
  13591  0.556   1  2009  283  20.73  55115.059   70.6  1.145e+01 
  13592  0.556   1  2009  283  21.06  55115.073   70.6  9.485e+00 
  13593  1.000   1  2009  283  21.71  55115.100   70.6  7.958e+00 
  13594  1.000   1  2009  283  22.24  55115.122   70.6  6.365e+00 
  13595  1.000   1  2009  283  22.98  55115.153   70.6  8.326e+00 
  13597  1.000   1  2009  283  23.50  55115.175   70.6  1.201e+01 
  13598  1.000   1  2009  284   0.45  55115.214   70.6  2.375e+01 
  13599  1.000   1  2009  284   0.98  55115.236   70.6  2.789e+01 
  13601  1.000   1  2009  284   1.57  55115.261   70.6  2.904e+01 
  13602  1.000   1  2009  284   2.09  55115.283   70.6  2.169e+01 
  13603  0.556   4  2009  284   2.82  55115.313   70.6  1.497e+01 
  13639  0.556   1  2009  284  20.74  55116.060   70.6  1.787e+01 
  13640  1.111   2  2009  284  21.23  55116.080   70.6  1.750e+01 
  13641  0.556   1  2009  284  21.72  55116.100   70.6  1.737e+01 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  1.797e+01 
  13648  1.000   1  2009  285   1.49  55116.258   70.6  1.584e+01 
  13650  1.000   1  2009  285   2.32  55116.292   70.6  1.236e+01 
  13651  1.000   1  2009  285   2.84  55116.314   70.6  1.292e+01 
  13878  0.833   1  2009  289  20.11  55121.033   71.7  1.039e+01 
  13879  0.833   1  2009  289  20.54  55121.051   71.7  1.167e+01 
  13880  0.564   2  2009  289  21.28  55121.082   71.7  1.187e+01 
  13882  0.533   2  2009  289  22.15  55121.118   71.7  1.426e+01 
  13883  0.898   2  2009  289  22.68  55121.141   71.7  1.289e+01 
  13884  0.449   1  2009  289  23.09  55121.158   71.7  1.168e+01 
  13934  1.000   1  2009  291   0.44  55122.214   71.8  1.426e+01 
  13935  1.000   1  2009  291   0.97  55122.236   71.8  1.359e+01 
  13937  1.000   1  2009  291   1.78  55122.270   71.8  1.370e+01 
  13938  1.000   1  2009  291   2.31  55122.292   71.8  1.417e+01 
  13939  0.333   1  2009  291   2.86  55122.315   71.8  1.440e+01 
  13940  0.667   2  2009  291   3.18  55122.328   71.8  1.419e+01 
  13941  0.372   2  2009  291   3.55  55122.343   71.8  1.528e+01 
  13972  0.333   1  2009  291  19.37  55123.003   71.9  1.637e+01 
  13973  1.000   3  2009  291  19.76  55123.019   71.9  1.537e+01 
  13975  0.833   2  2009  291  20.77  55123.061   71.9  1.742e+01 
  14021  0.639   1  2009  292  19.86  55124.023   71.9  6.954e+00 
  14022  0.639   1  2009  292  20.21  55124.038   71.9  8.039e+00 
  14023  1.278   2  2009  292  20.73  55124.059   71.9  1.011e+01 
  14024  0.639   1  2009  292  21.36  55124.085   71.9  1.229e+01 
  14025  0.639   1  2009  292  21.70  55124.100   71.9  1.351e+01 
  14026  1.278   2  2009  292  22.23  55124.122   71.9  1.193e+01 
  14028  1.278   2  2009  292  23.19  55124.162   71.9  1.063e+01 
  14029  0.639   1  2009  292  23.71  55124.184   71.9  1.140e+01 
  14030  0.961   2  2009  293   0.18  55124.203   71.9  1.176e+01 
  14032  0.889   2  2009  293   1.17  55124.244   71.9  1.040e+01 
  14033  0.889   2  2009  293   1.68  55124.266   71.9  1.076e+01 
  14034  0.444   1  2009  293   2.41  55124.296   71.9  1.058e+01 
  14035  0.889   2  2009  293   2.80  55124.312   71.9  1.033e+01 
  14036  0.444   1  2009  293   3.18  55124.328   71.9  1.095e+01 
  14037  0.578   1  2009  293   3.70  55124.350   71.9  1.414e+01 
  14069  0.639   1  2009  293  19.79  55125.020   72.0  1.034e+01 
  14070  1.278   2  2009  293  20.31  55125.042   72.0  1.031e+01 
  14071  0.639   1  2009  293  20.83  55125.064   72.0  1.184e+01 
  14072  0.639   1  2009  293  21.44  55125.089   72.0  1.434e+01 
  14073  0.639   1  2009  293  21.79  55125.104   72.0  1.538e+01 
  14074  1.278   2  2009  293  22.31  55125.125   72.0  1.489e+01 
  14076  0.889   2  2009  293  23.27  55125.165   72.0  1.653e+01 
  14077  0.444   1  2009  293  23.91  55125.192   72.0  1.876e+01 
  14080  0.444   1  2009  294   1.29  55125.249   72.0  1.739e+01 
  14081  0.444   1  2009  294   1.54  55125.260   72.0  1.915e+01 
  14082  0.444   1  2009  294   2.06  55125.281   72.0  1.934e+01 
  14085  1.056   1  2009  294   3.93  55125.359   72.0  2.319e+01 
  14117  2.000   1  2009  294  19.76  55126.019   72.0  2.040e+01 
  14119  2.000   1  2009  294  20.86  55126.065   72.0  1.774e+01 
  14122  2.000   1  2009  294  22.13  55126.118   72.1  1.359e+01 
  14124  0.944   2  2009  294  23.33  55126.168   72.1  1.081e+01 
  14125  0.944   2  2009  294  23.86  55126.190   72.1  1.219e+01 
  14127  0.889   2  2009  295   0.69  55126.224   72.1  1.250e+01 
  14128  0.889   2  2009  295   1.20  55126.246   72.1  1.187e+01 
  14129  0.889   2  2009  295   1.82  55126.271   72.1  1.196e+01 
  14130  0.889   2  2009  295   2.33  55126.293   72.1  1.146e+01 
  14132  0.578   1  2009  295   3.20  55126.329   72.1  1.212e+01 
  14133  0.578   1  2009  295   3.51  55126.342   72.1  1.214e+01 
  14134  1.156   2  2009  295   4.27  55126.374   72.1  1.708e+01 
  14164  0.333   2  2009  295  19.34  55127.001   72.1  1.718e+01 
  14172  1.000   1  2009  295  23.42  55127.171   72.1  1.650e+01 
  14173  1.000   1  2009  295  23.97  55127.194   72.1  1.603e+01 
  14175  1.000   1  2009  296   0.51  55127.217   72.1  1.869e+01 
  14176  1.000   1  2009  296   1.06  55127.240   72.1  1.662e+01 
  14177  1.000   1  2009  296   1.61  55127.263   72.1  1.619e+01 
  14178  0.667   1  2009  296   2.16  55127.286   72.1  1.777e+01 
  14179  1.333   2  2009  296   2.73  55127.309   72.1  1.589e+01 
  14180  0.667   1  2009  296   3.30  55127.333   72.1  1.432e+01 
  14181  0.667   1  2009  296   3.68  55127.349   72.1  1.492e+01 
  14182  0.667   1  2009  296   4.07  55127.365   72.1  1.816e+01 
  14220  1.000   1  2009  296  23.05  55128.156   72.1  1.712e+01 
  14225  0.667   1  2009  297   1.97  55128.278   72.1  1.379e+01 
  14229  0.333   1  2009  297   3.83  55128.355   72.1  1.195e+01 
  14230  0.333   1  2009  297   4.47  55128.382   72.1  1.770e+01 
  14261  0.333   1  2009  297  19.81  55129.021   72.1  1.145e+01 
  14264  0.500   2  2009  297  21.20  55129.079   72.1  1.120e+01 
  14267  0.500   1  2009  297  22.82  55129.146   72.1  1.048e+01 
  14276  1.000   1  2009  298   3.34  55129.335   72.1  1.034e+01 
  14278  0.500   1  2009  298   4.32  55129.375   72.1  1.951e+01 
  14311  0.667   1  2009  298  20.93  55130.068   72.1  1.191e+01 
  14313  1.000   1  2009  298  21.69  55130.099   72.1  9.087e+00 
  14314  1.000   1  2009  298  22.24  55130.122   72.1  1.046e+01 
  14315  1.000   1  2009  298  22.79  55130.145   72.1  1.105e+01 
  14316  1.000   1  2009  298  23.34  55130.168   72.1  1.176e+01 
  14317  1.000   1  2009  298  23.88  55130.191   72.1  1.374e+01 
  14318  1.000   1  2009  299   0.44  55130.214   72.1  1.364e+01 
  14319  1.000   1  2009  299   0.99  55130.237   72.1  1.446e+01 
  14321  1.000   1  2009  299   1.54  55130.260   72.1  1.340e+01 
  14322  1.000   1  2009  299   2.08  55130.282   72.1  1.241e+01 
  14323  1.000   1  2009  299   2.70  55130.308   72.1  1.264e+01 
  14888  0.333   1  2009  310  21.30  55142.083   73.2  1.372e+01 
  14889  0.667   2  2009  310  21.72  55142.101   73.2  1.172e+01 
  14890  0.333   1  2009  310  22.14  55142.118   73.2  1.076e+01 
  14934  0.444   1  2009  311  20.03  55143.030   73.2  1.230e+01 
  14935  1.333   2  2009  311  20.76  55143.061   73.2  1.237e+01 
