# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of OH42R105 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+23)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13115  1.000   1  2009  273  22.79  55105.145   71.4  4.784e+02 
  13116  1.000   1  2009  273  23.32  55105.167   71.4  3.719e+02 
  13118  1.000   1  2009  274   0.04  55105.197   71.4  3.016e+02 
  13119  1.000   1  2009  274   0.57  55105.219   71.4  2.510e+02 
  13316  0.533  24  2009  278   3.27  55109.332   71.3  6.723e+02 
  13318  0.533   4  2009  278   4.25  55109.373   71.3  6.375e+02 
  13352  0.417   5  2009  278  21.27  55110.082   71.2  7.878e+02 
  13354  0.422   6  2009  278  22.17  55110.119   71.2  8.411e+02 
  13357  0.333   4  2009  278  23.87  55110.190   71.1  6.878e+02 
  13359  1.000   1  2009  279   0.93  55110.235   71.1  5.671e+02 
  13360  1.000   1  2009  279   1.46  55110.256   71.1  6.205e+02 
  13362  1.000   1  2009  279   2.20  55110.287   71.1  6.740e+02 
  13363  1.000   1  2009  279   2.72  55110.309   71.1  6.067e+02 
  13364  1.000   1  2009  279   3.45  55110.339   71.1  6.186e+02 
  13365  1.000   1  2009  279   3.97  55110.361   71.1  5.910e+02 
  13400  0.361   6  2009  279  21.21  55111.079   71.0  5.996e+02 
  13402  0.511   8  2009  279  22.29  55111.124   71.0  4.838e+02 
  13404  1.000   1  2009  279  23.18  55111.161   70.9  4.410e+02 
  13405  1.000   1  2009  279  23.70  55111.183   70.9  4.696e+02 
  13407  1.000   1  2009  280   0.54  55111.218   70.9  5.247e+02 
  13408  1.000   1  2009  280   1.06  55111.240   70.9  6.801e+02 
  13409  1.000   1  2009  280   1.78  55111.270   70.9  5.011e+02 
  13410  1.000   1  2009  280   2.30  55111.291   70.9  4.900e+02 
  13451  1.000   1  2009  280  22.53  55112.134   70.7  4.981e+02 
  13452  1.000   1  2009  280  23.06  55112.156   70.7  4.449e+02 
  13454  1.000   1  2009  281   0.03  55112.197   70.7  5.349e+02 
  13455  1.000   1  2009  281   0.56  55112.219   70.7  5.022e+02 
  13496  1.333   2  2009  281  21.21  55113.079   70.6  8.058e+02 
  13497  0.667   1  2009  281  21.71  55113.100   70.6  8.382e+02 
  13545  0.333   4  2009  282  21.76  55114.102   70.6  7.769e+02 
  13546  0.333   4  2009  282  22.27  55114.124   70.6  6.482e+02 
  13547  0.667   1  2009  282  22.80  55114.146   70.6  6.000e+02 
  13548  1.333   2  2009  282  23.30  55114.167   70.6  5.724e+02 
  13550  1.333   2  2009  283   0.22  55114.205   70.6  5.487e+02 
  13551  0.667   1  2009  283   0.73  55114.226   70.6  5.593e+02 
  13590  1.000   2  2009  283  20.23  55115.039   70.6  1.096e+03 
  13591  0.500   1  2009  283  20.72  55115.059   70.6  1.082e+03 
  13592  0.500   1  2009  283  21.05  55115.073   70.6  1.071e+03 
  13593  1.333   2  2009  283  21.80  55115.104   70.6  8.389e+02 
  13594  0.667   1  2009  283  22.30  55115.125   70.6  6.112e+02 
  13595  0.667   1  2009  283  22.90  55115.150   70.6  4.101e+02 
  13596  0.667   1  2009  283  23.23  55115.164   70.6  3.927e+02 
  13597  0.667   1  2009  283  23.57  55115.178   70.6  3.659e+02 
  13598  1.000   1  2009  284   0.45  55115.214   70.6  3.240e+02 
  13599  1.000   1  2009  284   0.98  55115.236   70.6  3.986e+02 
  13601  1.000   1  2009  284   1.57  55115.261   70.6  4.552e+02 
  13602  1.000   1  2009  284   2.09  55115.283   70.6  3.962e+02 
  13603  0.556   4  2009  284   2.81  55115.313   70.6  3.982e+02 
  13604  0.333   4  2009  284   3.35  55115.335   70.6  3.363e+02 
  13605  0.444   4  2009  284   3.87  55115.357   70.6  4.020e+02 
  13639  0.500   1  2009  284  20.73  55116.059   70.6  6.081e+02 
  13640  1.000   2  2009  284  21.22  55116.080   70.6  5.571e+02 
  13641  0.500   1  2009  284  21.70  55116.100   70.6  5.459e+02 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  7.177e+02 
  13648  1.000   1  2009  285   1.50  55116.258   70.6  6.691e+02 
  13650  1.000   1  2009  285   2.32  55116.292   70.6  5.655e+02 
  13651  1.000   1  2009  285   2.84  55116.314   70.6  5.406e+02 
  13788  0.500   3  2009  287  23.11  55119.159   71.3  3.270e+02 
  13789  0.667   4  2009  287  23.65  55119.181   71.4  4.555e+02 
  13833  0.500   3  2009  288  21.65  55120.098   71.6  7.309e+02 
  13834  0.667   4  2009  288  22.21  55120.121   71.6  7.327e+02 
  13835  0.500   3  2009  288  22.87  55120.149   71.6  6.880e+02 
  13836  0.833   5  2009  288  23.23  55120.164   71.6  5.981e+02 
  13837  0.667   4  2009  288  23.64  55120.181   71.6  4.604e+02 
  13838  0.833   5  2009  289   0.29  55120.208   71.6  4.212e+02 
  13839  0.833   5  2009  289   0.74  55120.226   71.6  4.220e+02 
  13840  0.333   2  2009  289   1.06  55120.240   71.6  4.851e+02 
  13878  0.800   3  2009  289  20.25  55121.039   71.7  6.704e+02 
  13880  0.333   1  2009  289  21.19  55121.079   71.7  6.452e+02 
  13881  0.333   1  2009  289  21.58  55121.095   71.7  5.951e+02 
  13882  0.533   2  2009  289  22.15  55121.119   71.7  5.236e+02 
  13883  0.500   1  2009  289  22.56  55121.135   71.7  6.565e+02 
  13884  0.500   1  2009  289  23.11  55121.158   71.7  6.498e+02 
  13934  1.000   1  2009  291   0.44  55122.214   71.8  6.679e+02 
  13935  1.000   1  2009  291   0.97  55122.236   71.8  6.799e+02 
  13937  1.000   1  2009  291   1.78  55122.270   71.8  6.785e+02 
  13938  1.000   1  2009  291   2.31  55122.292   71.8  7.190e+02 
  13940  0.500   3  2009  291   3.25  55122.331   71.8  7.494e+02 
  13972  0.333   1  2009  291  19.37  55123.003   71.9  9.755e+02 
  13973  1.000   3  2009  291  19.76  55123.019   71.9  9.734e+02 
  13975  0.833   2  2009  291  20.77  55123.061   71.9  7.545e+02 
  14021  0.667   1  2009  292  19.87  55124.023   71.9  6.709e+02 
  14022  0.667   1  2009  292  20.22  55124.038   71.9  6.149e+02 
  14023  1.333   2  2009  292  20.74  55124.060   71.9  5.929e+02 
  14024  0.667   1  2009  292  21.36  55124.086   71.9  5.722e+02 
  14025  0.667   1  2009  292  21.71  55124.100   71.9  6.594e+02 
  14026  1.333   2  2009  292  22.24  55124.122   71.9  5.994e+02 
  14028  1.333   2  2009  292  23.20  55124.162   71.9  4.558e+02 
  14029  0.667   1  2009  292  23.72  55124.184   71.9  4.834e+02 
  14030  1.000   2  2009  293   0.19  55124.203   71.9  4.866e+02 
  14031  0.333   1  2009  293   0.61  55124.221   71.9  5.976e+02 
  14032  1.000   2  2009  293   1.19  55124.245   71.9  6.018e+02 
  14033  1.000   2  2009  293   1.70  55124.266   71.9  4.709e+02 
  14034  0.500   1  2009  293   2.43  55124.297   71.9  5.177e+02 
  14035  1.000   2  2009  293   2.81  55124.313   71.9  4.769e+02 
  14036  0.500   1  2009  293   3.20  55124.329   71.9  4.246e+02 
  14037  1.000   2  2009  293   3.84  55124.355   71.9  5.507e+02 
  14069  0.667   1  2009  293  19.80  55125.020   72.0  8.827e+02 
  14070  1.333   2  2009  293  20.32  55125.042   72.0  6.798e+02 
  14071  0.667   1  2009  293  20.84  55125.064   72.0  6.998e+02 
  14072  0.667   1  2009  293  21.45  55125.089   72.0  9.574e+02 
  14073  0.667   1  2009  293  21.80  55125.104   72.0  9.602e+02 
  14074  1.333   2  2009  293  22.32  55125.126   72.0  6.939e+02 
  14076  0.500   1  2009  293  23.41  55125.171   72.0  6.358e+02 
  14077  1.000   2  2009  293  23.80  55125.187   72.0  7.190e+02 
  14080  0.500   1  2009  294   1.30  55125.250   72.0  8.458e+02 
  14081  1.000   2  2009  294   1.69  55125.266   72.0  7.032e+02 
  14082  0.500   1  2009  294   2.07  55125.282   72.0  9.841e+02 
  14085  1.333   2  2009  294   3.82  55125.355   72.0  7.541e+02 
  14117  2.000   1  2009  294  19.76  55126.019   72.0  8.550e+02 
  14119  2.000   1  2009  294  20.86  55126.065   72.0  9.091e+02 
  14122  2.000   1  2009  294  22.13  55126.118   72.1  8.287e+02 
  14124  1.000   2  2009  294  23.34  55126.168   72.1  4.954e+02 
  14125  1.000   2  2009  294  23.87  55126.190   72.1  5.125e+02 
  14127  1.000   2  2009  295   0.70  55126.225   72.1  5.252e+02 
  14128  1.000   2  2009  295   1.22  55126.246   72.1  4.675e+02 
  14129  1.000   2  2009  295   1.83  55126.272   72.1  4.400e+02 
  14130  1.000   2  2009  295   2.34  55126.293   72.1  3.955e+02 
  14132  1.000   2  2009  295   3.34  55126.335   72.1  4.686e+02 
  14134  1.000   2  2009  295   4.25  55126.373   72.1  4.796e+02 
  14164  0.333   2  2009  295  19.41  55127.004   72.1  1.004e+03 
  14166  0.667   4  2009  295  20.23  55127.039   72.1  9.918e+02 
  14167  0.667   4  2009  295  20.76  55127.061   72.1  8.063e+02 
  14168  0.667   4  2009  295  21.29  55127.083   72.1  8.974e+02 
  14170  1.000   1  2009  295  22.00  55127.112   72.1  8.420e+02 
  14171  1.000   1  2009  295  22.55  55127.135   72.1  7.340e+02 
  14172  1.000   1  2009  295  23.42  55127.171   72.1  6.676e+02 
  14173  1.000   1  2009  295  23.97  55127.194   72.1  5.636e+02 
  14175  1.000   1  2009  296   0.51  55127.217   72.1  5.160e+02 
  14176  1.000   1  2009  296   1.06  55127.240   72.1  7.958e+02 
  14177  1.000   1  2009  296   1.61  55127.263   72.1  7.286e+02 
  14178  0.667   1  2009  296   2.16  55127.286   72.1  9.397e+02 
  14179  1.333   2  2009  296   2.73  55127.309   72.1  1.091e+03 
  14180  0.667   1  2009  296   3.30  55127.333   72.1  8.858e+02 
  14181  0.667   1  2009  296   3.69  55127.349   72.1  8.337e+02 
  14182  0.667   1  2009  296   4.07  55127.365   72.1  7.050e+02 
  14212  0.500   3  2009  296  19.33  55128.001   72.1  9.603e+02 
  14213  0.500   3  2009  296  19.72  55128.017   72.1  9.098e+02 
  14214  0.500   3  2009  296  20.36  55128.044   72.1  8.193e+02 
  14215  0.500   3  2009  296  20.75  55128.060   72.1  9.481e+02 
  14216  1.167   2  2009  296  21.35  55128.085   72.1  7.978e+02 
  14217  1.000   1  2009  296  21.96  55128.110   72.1  6.422e+02 
  14219  1.000   1  2009  296  22.50  55128.133   72.1  7.405e+02 
  14220  1.000   1  2009  296  23.05  55128.156   72.1  7.857e+02 
  14221  1.000   1  2009  296  23.60  55128.179   72.1  6.423e+02 
  14222  1.000   1  2009  297   0.14  55128.202   72.1  5.578e+02 
  14223  1.000   1  2009  297   0.69  55128.224   72.1  5.467e+02 
  14224  0.667   1  2009  297   1.20  55128.246   72.1  5.206e+02 
  14225  1.333   2  2009  297   1.78  55128.270   72.1  4.751e+02 
  14226  0.667   1  2009  297   2.35  55128.293   72.1  6.320e+02 
  14227  0.667   1  2009  297   2.73  55128.309   72.1  6.986e+02 
  14228  0.667   2  2009  297   3.29  55128.333   72.1  6.526e+02 
  14229  0.667   2  2009  297   3.72  55128.351   72.1  6.390e+02 
  14230  1.000   3  2009  297   4.26  55128.373   72.1  7.964e+02 
  14261  0.333   1  2009  297  19.81  55129.021   72.1  8.380e+02 
  14262  1.000   3  2009  297  20.24  55129.039   72.1  7.784e+02 
  14263  0.667   2  2009  297  20.77  55129.061   72.1  7.937e+02 
  14264  0.667   2  2009  297  21.27  55129.082   72.1  8.385e+02 
  14265  0.500   3  2009  297  21.75  55129.102   72.1  8.459e+02 
  14266  0.500   3  2009  297  22.14  55129.118   72.1  5.598e+02 
  14267  0.500   1  2009  297  22.82  55129.146   72.1  5.036e+02 
  14268  1.000   1  2009  297  23.30  55129.167   72.1  4.432e+02 
  14269  1.000   1  2009  297  23.85  55129.189   72.1  4.922e+02 
  14270  1.000   1  2009  298   0.40  55129.212   72.1  3.924e+02 
  14271  1.000   1  2009  298   0.98  55129.237   72.1  3.377e+02 
  14274  1.000   1  2009  298   2.25  55129.289   72.1  3.743e+02 
  14275  1.000   1  2009  298   2.80  55129.312   72.1  3.372e+02 
  14276  1.000   1  2009  298   3.34  55129.335   72.1  3.466e+02 
  14277  1.000   1  2009  298   3.89  55129.358   72.1  4.061e+02 
  14278  0.500   1  2009  298   4.32  55129.375   72.1  4.311e+02 
  14308  0.667   1  2009  298  19.41  55130.004   72.1  9.431e+02 
  14309  0.667   1  2009  298  19.79  55130.020   72.1  8.734e+02 
  14310  0.667   1  2009  298  20.17  55130.036   72.1  8.053e+02 
  14311  1.333   2  2009  298  20.74  55130.060   72.1  7.169e+02 
  14313  1.000   1  2009  298  21.69  55130.099   72.1  5.709e+02 
  14314  1.000   1  2009  298  22.24  55130.122   72.1  5.142e+02 
  14315  1.000   1  2009  298  22.79  55130.145   72.1  3.813e+02 
  14316  1.000   1  2009  298  23.34  55130.168   72.1  4.117e+02 
  14317  1.000   1  2009  298  23.88  55130.191   72.1  4.547e+02 
  14318  1.000   1  2009  299   0.44  55130.214   72.1  4.939e+02 
  14319  1.000   1  2009  299   0.99  55130.237   72.1  5.576e+02 
  14321  1.000   1  2009  299   1.54  55130.260   72.1  6.798e+02 
  14322  1.000   1  2009  299   2.09  55130.282   72.1  6.592e+02 
  14323  1.000   1  2009  299   2.70  55130.308   72.1  6.203e+02 
  14324  1.000   1  2009  299   3.30  55130.333   72.1  7.021e+02 
  14325  1.000   1  2009  299   3.85  55130.356   72.1  7.606e+02 
  14887  0.667   4  2009  310  20.83  55142.063   73.2  1.251e+03 
  14889  0.556   2  2009  310  21.71  55142.100   73.2  9.587e+02 
  14891  0.833   5  2009  310  22.78  55142.145   73.2  1.031e+03 
  14892  0.833   5  2009  310  23.23  55142.164   73.2  8.357e+02 
  14934  0.667   1  2009  311  20.09  55143.033   73.2  7.319e+02 
  14935  1.333   2  2009  311  20.76  55143.061   73.2  6.624e+02 
  14937  1.000   1  2009  311  21.57  55143.094   73.2  5.730e+02 
  14938  1.000   1  2009  311  22.13  55143.118   73.2  5.183e+02 
