# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of OH62Q102 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (new measurements)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13109  0.889   5  2009  273  19.76  55105.019   71.4  5.400e+01 
  13110  0.533   3  2009  273  20.20  55105.037   71.4  5.246e+01 
  13115  1.000   1  2009  273  22.79  55105.145   71.4  3.953e+01 
  13116  1.000   1  2009  273  23.31  55105.167   71.4  3.295e+01 
  13118  1.000   1  2009  274   0.04  55105.197   71.4  3.019e+01 
  13119  0.903   1  2009  274   0.54  55105.218   71.4  2.596e+01 
  13316  0.667   4  2009  278   3.28  55109.332   71.3  4.834e+01 
  13318  0.556   8  2009  278   4.26  55109.373   71.3  4.623e+01 
  13352  0.333   4  2009  278  21.27  55110.082   71.2  5.054e+01 
  13354  0.378   5  2009  278  22.15  55110.118   71.2  5.711e+01 
  13357  0.333   4  2009  278  23.89  55110.191   71.1  4.964e+01 
  13359  1.000   1  2009  279   0.93  55110.234   71.1  4.717e+01 
  13360  1.000   1  2009  279   1.45  55110.256   71.1  4.942e+01 
  13362  1.000   1  2009  279   2.20  55110.287   71.1  5.091e+01 
  13363  1.000   1  2009  279   2.72  55110.309   71.1  4.794e+01 
  13364  1.000   1  2009  279   3.45  55110.339   71.1  4.709e+01 
  13365  1.000   1  2009  279   3.97  55110.361   71.1  4.588e+01 
  13402  0.383   6  2009  279  22.27  55111.123   71.0  3.961e+01 
  13404  1.000   1  2009  279  23.18  55111.161   70.9  4.190e+01 
  13405  1.000   1  2009  279  23.70  55111.183   70.9  4.226e+01 
  13407  1.000   1  2009  280   0.53  55111.218   70.9  4.488e+01 
  13408  1.000   1  2009  280   1.06  55111.240   70.9  5.152e+01 
  13409  1.000   1  2009  280   1.78  55111.270   70.9  4.309e+01 
  13410  1.000   1  2009  280   2.30  55111.291   70.9  4.376e+01 
  13451  1.000   1  2009  280  22.53  55112.134   70.7  4.230e+01 
  13452  1.000   1  2009  280  23.06  55112.156   70.7  3.921e+01 
  13454  1.000   1  2009  281   0.03  55112.197   70.7  4.266e+01 
  13455  1.000   1  2009  281   0.56  55112.219   70.7  4.113e+01 
  13496  1.000   1  2009  281  21.12  55113.076   70.6  7.349e+01 
  13497  1.000   1  2009  281  21.65  55113.098   70.6  7.150e+01 
  13545  0.333   4  2009  282  21.77  55114.103   70.6  6.845e+01 
  13546  0.333   4  2009  282  22.28  55114.124   70.6  5.724e+01 
  13547  1.000   1  2009  282  22.88  55114.149   70.6  5.176e+01 
  13548  1.000   1  2009  282  23.41  55114.171   70.6  4.226e+01 
  13550  1.000   1  2009  283   0.14  55114.201   70.6  4.646e+01 
  13551  1.000   1  2009  283   0.66  55114.223   70.6  4.761e+01 
  13590  1.111   2  2009  283  20.25  55115.039   70.6  7.812e+01 
  13591  0.556   1  2009  283  20.73  55115.059   70.6  7.756e+01 
  13592  0.556   1  2009  283  21.06  55115.073   70.6  7.320e+01 
  13593  1.000   1  2009  283  21.71  55115.100   70.6  6.203e+01 
  13594  1.000   1  2009  283  22.24  55115.122   70.6  5.032e+01 
  13595  1.000   1  2009  283  22.98  55115.153   70.6  3.554e+01 
  13597  1.000   1  2009  283  23.50  55115.175   70.6  3.381e+01 
  13598  1.000   1  2009  284   0.45  55115.214   70.6  2.789e+01 
  13599  1.000   1  2009  284   0.98  55115.236   70.6  3.163e+01 
  13601  1.000   1  2009  284   1.57  55115.261   70.6  3.560e+01 
  13602  1.000   1  2009  284   2.09  55115.283   70.6  3.380e+01 
  13603  0.556   4  2009  284   2.82  55115.313   70.6  2.585e+01 
  13604  0.333   4  2009  284   3.36  55115.336   70.6  2.206e+01 
  13605  0.333   3  2009  284   3.84  55115.356   70.6  2.369e+01 
  13639  0.556   1  2009  284  20.74  55116.060   70.6  4.968e+01 
  13640  1.111   2  2009  284  21.23  55116.080   70.6  4.653e+01 
  13641  0.556   1  2009  284  21.72  55116.100   70.6  4.624e+01 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  5.115e+01 
  13648  1.000   1  2009  285   1.49  55116.258   70.6  4.870e+01 
  13650  1.000   1  2009  285   2.32  55116.292   70.6  4.171e+01 
  13651  1.000   1  2009  285   2.84  55116.314   70.6  4.050e+01 
  13788  0.483   3  2009  287  23.11  55119.158   71.3  2.494e+01 
  13789  0.644   4  2009  287  23.65  55119.181   71.4  3.586e+01 
  13833  0.483   3  2009  288  21.65  55120.098   71.6  5.350e+01 
  13834  0.644   4  2009  288  22.21  55120.121   71.6  5.310e+01 
  13835  0.483   3  2009  288  22.87  55120.148   71.6  5.016e+01 
  13836  0.806   5  2009  288  23.23  55120.164   71.6  4.629e+01 
  13837  0.644   4  2009  288  23.64  55120.180   71.6  3.840e+01 
  13838  0.806   5  2009  289   0.29  55120.208   71.6  3.592e+01 
  13839  0.806   5  2009  289   0.74  55120.226   71.6  3.549e+01 
  13878  0.833   1  2009  289  20.11  55121.033   71.7  4.664e+01 
  13879  0.833   1  2009  289  20.54  55121.051   71.7  4.725e+01 
  13880  0.564   2  2009  289  21.28  55121.082   71.7  4.470e+01 
  13882  0.533   2  2009  289  22.15  55121.118   71.7  3.938e+01 
  13883  0.898   2  2009  289  22.68  55121.141   71.7  4.632e+01 
  13884  0.449   1  2009  289  23.09  55121.158   71.7  4.612e+01 
  13934  1.000   1  2009  291   0.44  55122.214   71.8  5.022e+01 
  13935  1.000   1  2009  291   0.97  55122.236   71.8  5.102e+01 
  13937  1.000   1  2009  291   1.78  55122.270   71.8  5.133e+01 
  13938  1.000   1  2009  291   2.31  55122.292   71.8  5.303e+01 
  13939  0.333   1  2009  291   2.86  55122.315   71.8  5.832e+01 
  13940  0.667   2  2009  291   3.18  55122.328   71.8  5.411e+01 
  13941  0.489   5  2009  291   3.64  55122.347   71.8  5.487e+01 
  13972  0.333   1  2009  291  19.37  55123.003   71.9  7.001e+01 
  13973  1.000   3  2009  291  19.76  55123.019   71.9  6.978e+01 
  13975  0.833   2  2009  291  20.77  55123.061   71.9  6.161e+01 
  14021  0.639   1  2009  292  19.86  55124.023   71.9  5.238e+01 
  14022  0.639   1  2009  292  20.21  55124.038   71.9  4.941e+01 
  14023  1.278   2  2009  292  20.73  55124.059   71.9  5.082e+01 
  14024  0.639   1  2009  292  21.36  55124.085   71.9  5.035e+01 
  14025  0.639   1  2009  292  21.70  55124.100   71.9  5.531e+01 
  14026  1.278   2  2009  292  22.23  55124.122   71.9  4.990e+01 
  14028  1.278   2  2009  292  23.19  55124.162   71.9  4.096e+01 
  14029  0.639   1  2009  292  23.71  55124.184   71.9  4.306e+01 
  14030  0.961   2  2009  293   0.18  55124.203   71.9  4.327e+01 
  14032  0.889   2  2009  293   1.17  55124.244   71.9  4.772e+01 
  14033  0.889   2  2009  293   1.68  55124.266   71.9  3.988e+01 
  14034  0.444   1  2009  293   2.41  55124.296   71.9  4.361e+01 
  14035  0.889   2  2009  293   2.80  55124.312   71.9  4.154e+01 
  14036  0.444   1  2009  293   3.18  55124.328   71.9  3.718e+01 
  14037  0.578   1  2009  293   3.70  55124.350   71.9  4.381e+01 
  14069  0.639   1  2009  293  19.79  55125.020   72.0  6.543e+01 
  14070  1.278   2  2009  293  20.31  55125.042   72.0  5.519e+01 
  14071  0.639   1  2009  293  20.83  55125.064   72.0  5.463e+01 
  14072  0.639   1  2009  293  21.44  55125.089   72.0  6.673e+01 
  14073  0.639   1  2009  293  21.79  55125.104   72.0  6.640e+01 
  14074  1.278   2  2009  293  22.31  55125.125   72.0  5.243e+01 
  14076  0.889   2  2009  293  23.27  55125.165   72.0  4.960e+01 
  14077  0.444   1  2009  293  23.91  55125.192   72.0  5.714e+01 
  14080  0.444   1  2009  294   1.29  55125.249   72.0  5.989e+01 
  14081  0.444   1  2009  294   1.54  55125.260   72.0  5.018e+01 
  14082  0.444   1  2009  294   2.06  55125.281   72.0  6.648e+01 
  14085  1.056   1  2009  294   3.93  55125.359   72.0  5.616e+01 
  14117  2.000   1  2009  294  19.76  55126.019   72.0  6.658e+01 
  14119  2.000   1  2009  294  20.86  55126.065   72.0  6.850e+01 
  14122  2.000   1  2009  294  22.13  55126.118   72.1  6.167e+01 
  14124  0.944   2  2009  294  23.33  55126.168   72.1  4.290e+01 
  14125  0.944   2  2009  294  23.86  55126.190   72.1  4.325e+01 
  14127  0.889   2  2009  295   0.69  55126.224   72.1  4.424e+01 
  14128  0.889   2  2009  295   1.20  55126.246   72.1  4.045e+01 
  14129  0.889   2  2009  295   1.82  55126.271   72.1  3.924e+01 
  14130  0.889   2  2009  295   2.33  55126.293   72.1  3.580e+01 
  14132  0.578   1  2009  295   3.20  55126.329   72.1  3.864e+01 
  14133  0.578   1  2009  295   3.51  55126.342   72.1  4.068e+01 
  14134  1.156   2  2009  295   4.27  55126.374   72.1  3.953e+01 
  14164  0.333   2  2009  295  19.34  55127.001   72.1  7.480e+01 
  14167  0.333   2  2009  295  20.83  55127.063   72.1  6.163e+01 
  14170  1.000   1  2009  295  22.00  55127.112   72.1  6.414e+01 
  14171  1.000   1  2009  295  22.55  55127.135   72.1  5.795e+01 
  14172  1.000   1  2009  295  23.42  55127.171   72.1  5.320e+01 
  14173  1.000   1  2009  295  23.97  55127.194   72.1  4.844e+01 
  14175  1.000   1  2009  296   0.51  55127.217   72.1  4.430e+01 
  14176  1.000   1  2009  296   1.06  55127.240   72.1  5.789e+01 
  14177  1.000   1  2009  296   1.61  55127.263   72.1  5.455e+01 
  14178  0.667   1  2009  296   2.16  55127.286   72.1  6.731e+01 
  14179  1.333   2  2009  296   2.73  55127.309   72.1  7.574e+01 
  14180  0.667   1  2009  296   3.30  55127.333   72.1  6.502e+01 
  14181  0.667   1  2009  296   3.68  55127.349   72.1  6.182e+01 
  14182  0.667   1  2009  296   4.07  55127.365   72.1  5.311e+01 
  14212  0.333   2  2009  296  19.33  55128.001   72.1  6.426e+01 
  14213  0.333   2  2009  296  19.79  55128.020   72.1  6.213e+01 
  14214  0.500   3  2009  296  20.36  55128.044   72.1  5.950e+01 
  14216  1.167   2  2009  296  21.35  55128.085   72.1  5.858e+01 
  14217  1.000   1  2009  296  21.96  55128.110   72.1  5.184e+01 
  14219  1.000   1  2009  296  22.50  55128.133   72.1  5.614e+01 
  14220  1.000   1  2009  296  23.05  55128.156   72.1  5.596e+01 
  14221  1.000   1  2009  296  23.60  55128.179   72.1  4.922e+01 
  14222  1.000   1  2009  297   0.14  55128.202   72.1  4.480e+01 
  14223  1.000   1  2009  297   0.69  55128.224   72.1  4.405e+01 
  14224  0.667   1  2009  297   1.20  55128.246   72.1  4.084e+01 
  14225  1.333   2  2009  297   1.78  55128.270   72.1  4.116e+01 
  14226  0.667   1  2009  297   2.35  55128.293   72.1  5.992e+01 
  14227  0.667   1  2009  297   2.73  55128.309   72.1  6.054e+01 
  14228  0.667   2  2009  297   3.29  55128.333   72.1  4.947e+01 
  14229  0.667   2  2009  297   3.72  55128.351   72.1  4.936e+01 
  14230  1.000   3  2009  297   4.26  55128.373   72.1  5.537e+01 
  14261  0.333   1  2009  297  19.81  55129.021   72.1  5.984e+01 
  14262  1.000   3  2009  297  20.24  55129.039   72.1  5.971e+01 
  14263  0.667   2  2009  297  20.77  55129.061   72.1  5.980e+01 
  14264  0.500   2  2009  297  21.20  55129.079   72.1  6.008e+01 
  14265  0.333   2  2009  297  21.68  55129.099   72.1  6.193e+01 
  14266  0.500   3  2009  297  22.14  55129.118   72.1  4.390e+01 
  14267  0.500   1  2009  297  22.82  55129.146   72.1  4.355e+01 
  14268  1.000   1  2009  297  23.30  55129.166   72.1  4.322e+01 
  14269  1.000   1  2009  297  23.85  55129.189   72.1  4.389e+01 
  14270  1.000   1  2009  298   0.40  55129.212   72.1  5.109e+01 
  14271  1.000   1  2009  298   0.98  55129.237   72.1  3.778e+01 
  14274  1.000   1  2009  298   2.24  55129.289   72.1  3.445e+01 
  14275  1.000   1  2009  298   2.79  55129.312   72.1  3.098e+01 
  14276  1.000   1  2009  298   3.34  55129.335   72.1  3.178e+01 
  14277  1.000   1  2009  298   3.89  55129.358   72.1  3.474e+01 
  14278  0.500   1  2009  298   4.32  55129.375   72.1  3.655e+01 
  14308  0.667   1  2009  298  19.41  55130.004   72.1  6.833e+01 
  14309  0.667   1  2009  298  19.79  55130.020   72.1  6.445e+01 
  14310  0.667   1  2009  298  20.17  55130.036   72.1  6.152e+01 
  14311  1.333   2  2009  298  20.74  55130.060   72.1  5.635e+01 
  14313  1.000   1  2009  298  21.69  55130.099   72.1  4.941e+01 
  14314  1.000   1  2009  298  22.24  55130.122   72.1  4.671e+01 
  14315  1.000   1  2009  298  22.79  55130.145   72.1  3.819e+01 
  14316  1.000   1  2009  298  23.34  55130.168   72.1  3.957e+01 
  14317  1.000   1  2009  298  23.88  55130.191   72.1  4.270e+01 
  14318  1.000   1  2009  299   0.44  55130.214   72.1  4.474e+01 
  14319  1.000   1  2009  299   0.99  55130.237   72.1  4.724e+01 
  14321  1.000   1  2009  299   1.54  55130.260   72.1  5.242e+01 
  14322  1.000   1  2009  299   2.08  55130.282   72.1  5.146e+01 
  14323  1.000   1  2009  299   2.70  55130.308   72.1  4.769e+01 
  14324  1.000   1  2009  299   3.30  55130.333   72.1  5.185e+01 
  14325  1.000   1  2009  299   3.85  55130.356   72.1  5.425e+01 
  14887  0.644   4  2009  310  20.83  55142.063   73.2  8.443e+01 
  14888  0.333   1  2009  310  21.30  55142.083   73.2  7.780e+01 
  14889  0.667   2  2009  310  21.72  55142.101   73.2  7.149e+01 
  14890  0.333   1  2009  310  22.14  55142.118   73.2  7.344e+01 
  14891  0.806   5  2009  310  22.78  55142.145   73.2  7.037e+01 
  14892  0.806   5  2009  310  23.23  55142.164   73.2  6.058e+01 
  14934  0.444   1  2009  311  20.03  55143.030   73.2  6.057e+01 
