# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Intensity time series of OH63P206 (see pmd_climfeat.dat) for intervals of
# 30 min of X-shooter data
# 
# Column names:
# bin: unique number of half-hourly bin
# fbin: fraction of bin (summed exposure time divided by 30 min)
# N: number of combined exposures
# year: year
# DOY: day of year
# LT: weighted local time for combined exposures in hours (for longitude of
#     Cerro Paranal)
# MJD: Modified Julian Date for LT
# S27d: solar radio flux averaged for 27 days in solar flux units (sfu)
# I: intensity in R (source: noll+23)
# 
    bin   fbin   N  year  DOY     LT        MJD   S27d          I 
  13115  1.000   1  2009  273  22.79  55105.145   71.4  3.924e+01 
  13116  1.000   1  2009  273  23.32  55105.167   71.4  3.443e+01 
  13118  1.000   1  2009  274   0.04  55105.197   71.4  2.909e+01 
  13119  1.000   1  2009  274   0.57  55105.219   71.4  2.554e+01 
  13316  0.533  24  2009  278   3.27  55109.332   71.3  7.691e+01 
  13318  0.533   4  2009  278   4.25  55109.373   71.3  6.769e+01 
  13352  0.417   5  2009  278  21.27  55110.082   71.2  6.446e+01 
  13354  0.422   6  2009  278  22.17  55110.119   71.2  7.078e+01 
  13357  0.333   4  2009  278  23.87  55110.190   71.1  6.558e+01 
  13359  1.000   1  2009  279   0.93  55110.235   71.1  5.374e+01 
  13360  1.000   1  2009  279   1.46  55110.256   71.1  6.066e+01 
  13362  1.000   1  2009  279   2.20  55110.287   71.1  6.747e+01 
  13363  1.000   1  2009  279   2.72  55110.309   71.1  6.209e+01 
  13364  1.000   1  2009  279   3.45  55110.339   71.1  6.094e+01 
  13365  1.000   1  2009  279   3.97  55110.361   71.1  6.089e+01 
  13400  0.361   6  2009  279  21.21  55111.079   71.0  4.309e+01 
  13402  0.511   8  2009  279  22.29  55111.124   71.0  3.787e+01 
  13404  1.000   1  2009  279  23.18  55111.161   70.9  3.787e+01 
  13405  1.000   1  2009  279  23.70  55111.183   70.9  3.806e+01 
  13407  1.000   1  2009  280   0.54  55111.218   70.9  4.167e+01 
  13408  1.000   1  2009  280   1.06  55111.240   70.9  4.943e+01 
  13409  1.000   1  2009  280   1.78  55111.270   70.9  4.001e+01 
  13410  1.000   1  2009  280   2.30  55111.291   70.9  4.111e+01 
  13451  1.000   1  2009  280  22.53  55112.134   70.7  4.597e+01 
  13452  1.000   1  2009  280  23.06  55112.156   70.7  3.996e+01 
  13454  1.000   1  2009  281   0.03  55112.197   70.7  4.816e+01 
  13455  1.000   1  2009  281   0.56  55112.219   70.7  4.955e+01 
  13496  1.333   2  2009  281  21.21  55113.079   70.6  7.082e+01 
  13497  0.667   1  2009  281  21.71  55113.100   70.6  7.095e+01 
  13545  0.333   4  2009  282  21.76  55114.102   70.6  6.228e+01 
  13546  0.333   4  2009  282  22.27  55114.124   70.6  4.563e+01 
  13547  0.667   1  2009  282  22.80  55114.146   70.6  4.523e+01 
  13548  1.333   2  2009  282  23.30  55114.167   70.6  4.347e+01 
  13550  1.333   2  2009  283   0.22  55114.205   70.6  4.559e+01 
  13551  0.667   1  2009  283   0.73  55114.226   70.6  4.772e+01 
  13590  1.000   2  2009  283  20.23  55115.039   70.6  7.715e+01 
  13591  0.500   1  2009  283  20.72  55115.059   70.6  7.783e+01 
  13592  0.500   1  2009  283  21.05  55115.073   70.6  7.418e+01 
  13593  1.333   2  2009  283  21.80  55115.104   70.6  5.755e+01 
  13594  0.667   1  2009  283  22.30  55115.125   70.6  4.322e+01 
  13595  0.667   1  2009  283  22.90  55115.150   70.6  3.265e+01 
  13596  0.667   1  2009  283  23.23  55115.164   70.6  3.207e+01 
  13597  0.667   1  2009  283  23.57  55115.178   70.6  3.199e+01 
  13598  1.000   1  2009  284   0.45  55115.214   70.6  3.421e+01 
  13599  1.000   1  2009  284   0.98  55115.236   70.6  3.861e+01 
  13601  1.000   1  2009  284   1.57  55115.261   70.6  4.270e+01 
  13602  1.000   1  2009  284   2.09  55115.283   70.6  3.771e+01 
  13603  0.556   4  2009  284   2.81  55115.313   70.6  3.364e+01 
  13604  0.333   4  2009  284   3.35  55115.335   70.6  3.772e+01 
  13605  0.444   4  2009  284   3.87  55115.357   70.6  4.177e+01 
  13639  0.500   1  2009  284  20.73  55116.059   70.6  5.663e+01 
  13640  1.000   2  2009  284  21.22  55116.080   70.6  5.433e+01 
  13641  0.500   1  2009  284  21.70  55116.100   70.6  5.505e+01 
  13647  1.000   1  2009  285   0.97  55116.236   70.6  6.705e+01 
  13648  1.000   1  2009  285   1.50  55116.258   70.6  6.166e+01 
  13650  1.000   1  2009  285   2.32  55116.292   70.6  4.983e+01 
  13651  1.000   1  2009  285   2.84  55116.314   70.6  5.007e+01 
  13788  0.500   3  2009  287  23.11  55119.159   71.3  3.186e+01 
  13789  0.667   4  2009  287  23.65  55119.181   71.4  4.957e+01 
  13833  0.500   3  2009  288  21.65  55120.098   71.6  5.835e+01 
  13834  0.667   4  2009  288  22.21  55120.121   71.6  6.164e+01 
  13835  0.500   3  2009  288  22.87  55120.149   71.6  5.446e+01 
  13836  0.833   5  2009  288  23.23  55120.164   71.6  4.798e+01 
  13837  0.667   4  2009  288  23.64  55120.181   71.6  3.721e+01 
  13838  0.833   5  2009  289   0.29  55120.208   71.6  3.632e+01 
  13839  0.833   5  2009  289   0.74  55120.226   71.6  3.988e+01 
  13840  0.333   2  2009  289   1.06  55120.240   71.6  4.509e+01 
  13878  0.800   3  2009  289  20.25  55121.039   71.7  5.387e+01 
  13880  0.333   1  2009  289  21.19  55121.079   71.7  5.215e+01 
  13881  0.333   1  2009  289  21.58  55121.095   71.7  5.040e+01 
  13882  0.533   2  2009  289  22.15  55121.119   71.7  4.753e+01 
  13883  0.500   1  2009  289  22.56  55121.135   71.7  5.722e+01 
  13884  0.500   1  2009  289  23.11  55121.158   71.7  5.557e+01 
  13934  1.000   1  2009  291   0.44  55122.214   71.8  5.583e+01 
  13935  1.000   1  2009  291   0.97  55122.236   71.8  5.581e+01 
  13937  1.000   1  2009  291   1.78  55122.270   71.8  5.668e+01 
  13938  1.000   1  2009  291   2.31  55122.292   71.8  6.053e+01 
  13940  0.500   3  2009  291   3.25  55122.331   71.8  6.244e+01 
  13972  0.333   1  2009  291  19.37  55123.003   71.9  7.830e+01 
  13973  1.000   3  2009  291  19.76  55123.019   71.9  7.751e+01 
  13975  0.833   2  2009  291  20.77  55123.061   71.9  6.716e+01 
  14021  0.667   1  2009  292  19.87  55124.023   71.9  4.648e+01 
  14022  0.667   1  2009  292  20.22  55124.038   71.9  4.419e+01 
  14023  1.333   2  2009  292  20.74  55124.060   71.9  4.689e+01 
  14024  0.667   1  2009  292  21.36  55124.086   71.9  4.817e+01 
  14025  0.667   1  2009  292  21.71  55124.100   71.9  5.333e+01 
  14026  1.333   2  2009  292  22.24  55124.122   71.9  4.766e+01 
  14028  1.333   2  2009  292  23.20  55124.162   71.9  4.171e+01 
  14029  0.667   1  2009  292  23.72  55124.184   71.9  4.587e+01 
  14030  1.000   2  2009  293   0.19  55124.203   71.9  4.639e+01 
  14031  0.333   1  2009  293   0.61  55124.221   71.9  5.554e+01 
  14032  1.000   2  2009  293   1.19  55124.245   71.9  5.090e+01 
  14033  1.000   2  2009  293   1.70  55124.266   71.9  4.385e+01 
  14034  0.500   1  2009  293   2.43  55124.297   71.9  4.432e+01 
  14035  1.000   2  2009  293   2.81  55124.313   71.9  4.152e+01 
  14036  0.500   1  2009  293   3.20  55124.329   71.9  4.057e+01 
  14037  1.000   2  2009  293   3.84  55124.355   71.9  5.482e+01 
  14069  0.667   1  2009  293  19.80  55125.020   72.0  6.262e+01 
  14070  1.333   2  2009  293  20.32  55125.042   72.0  5.322e+01 
  14071  0.667   1  2009  293  20.84  55125.064   72.0  5.936e+01 
  14072  0.667   1  2009  293  21.45  55125.089   72.0  7.741e+01 
  14073  0.667   1  2009  293  21.80  55125.104   72.0  7.942e+01 
  14074  1.333   2  2009  293  22.32  55125.126   72.0  6.155e+01 
  14076  0.500   1  2009  293  23.41  55125.171   72.0  5.871e+01 
  14077  1.000   2  2009  293  23.80  55125.187   72.0  6.664e+01 
  14080  0.500   1  2009  294   1.30  55125.250   72.0  7.109e+01 
  14081  1.000   2  2009  294   1.69  55125.266   72.0  6.982e+01 
  14082  0.500   1  2009  294   2.07  55125.282   72.0  8.456e+01 
  14085  1.333   2  2009  294   3.82  55125.355   72.0  7.135e+01 
  14117  2.000   1  2009  294  19.76  55126.019   72.0  6.877e+01 
  14119  2.000   1  2009  294  20.86  55126.065   72.0  7.013e+01 
  14122  2.000   1  2009  294  22.13  55126.118   72.1  6.181e+01 
  14124  1.000   2  2009  294  23.34  55126.168   72.1  4.202e+01 
  14125  1.000   2  2009  294  23.87  55126.190   72.1  4.526e+01 
  14127  1.000   2  2009  295   0.70  55126.225   72.1  4.786e+01 
  14128  1.000   2  2009  295   1.22  55126.246   72.1  4.424e+01 
  14129  1.000   2  2009  295   1.83  55126.272   72.1  4.264e+01 
  14130  1.000   2  2009  295   2.34  55126.293   72.1  4.006e+01 
  14132  1.000   2  2009  295   3.34  55126.335   72.1  4.753e+01 
  14134  1.000   2  2009  295   4.25  55126.373   72.1  5.097e+01 
  14164  0.333   2  2009  295  19.41  55127.004   72.1  8.276e+01 
  14166  0.667   4  2009  295  20.23  55127.039   72.1  9.870e+01 
  14167  0.667   4  2009  295  20.76  55127.061   72.1  7.574e+01 
  14168  0.667   4  2009  295  21.29  55127.083   72.1  9.905e+01 
  14170  1.000   1  2009  295  22.00  55127.112   72.1  6.389e+01 
  14171  1.000   1  2009  295  22.55  55127.135   72.1  5.741e+01 
  14172  1.000   1  2009  295  23.42  55127.171   72.1  5.810e+01 
  14173  1.000   1  2009  295  23.97  55127.194   72.1  5.184e+01 
  14175  1.000   1  2009  296   0.51  55127.217   72.1  4.980e+01 
  14176  1.000   1  2009  296   1.06  55127.240   72.1  6.747e+01 
  14177  1.000   1  2009  296   1.61  55127.263   72.1  6.225e+01 
  14178  0.667   1  2009  296   2.16  55127.286   72.1  7.812e+01 
  14179  1.333   2  2009  296   2.73  55127.309   72.1  9.778e+01 
  14180  0.667   1  2009  296   3.30  55127.333   72.1  7.433e+01 
  14181  0.667   1  2009  296   3.69  55127.349   72.1  7.804e+01 
  14182  0.667   1  2009  296   4.07  55127.365   72.1  6.566e+01 
  14212  0.500   3  2009  296  19.33  55128.001   72.1  7.167e+01 
  14213  0.500   3  2009  296  19.72  55128.017   72.1  6.672e+01 
  14214  0.500   3  2009  296  20.36  55128.044   72.1  5.936e+01 
  14215  0.500   3  2009  296  20.75  55128.060   72.1  6.932e+01 
  14216  1.167   2  2009  296  21.35  55128.085   72.1  6.246e+01 
  14217  1.000   1  2009  296  21.96  55128.110   72.1  5.675e+01 
  14219  1.000   1  2009  296  22.50  55128.133   72.1  6.365e+01 
  14220  1.000   1  2009  296  23.05  55128.156   72.1  6.034e+01 
  14221  1.000   1  2009  296  23.60  55128.179   72.1  4.992e+01 
  14222  1.000   1  2009  297   0.14  55128.202   72.1  4.406e+01 
