# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# List of lines/multiplets/features with measured X-shooter/UVES time series
# that were used for the derivation of the PALACE reference climatologies
# (includes results from noll+19, noll+23, and noll+24)
# 
# Column names:
# feat: label of line/multiplet/feature
# lam: central vacuum wavelength in µm (source: HITRAN2020 for molecules,
#      NIST for atoms, or noll+24 for continuum features)
# dlam: distance from lam to lower und upper wavelength limit in µm
#       (multiplet: defined by distribution of component wavelengths,
#       continuum feature: defined by integration range)
# Nlin: number of components (99 for continuum feature)
# I: reference intensity from climatology in R
# class: label of variability class
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# NIST: https://physics.nist.gov/asd
# noll+19: https://doi.org/10.1029/2018JD030044 (only KI0770)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH at > 1.005 µm)
# noll+24: https://doi.org/10.5194/acp-24-1143-2024 (continuum features)
# 
      feat       lam      dlam  Nlin           I  class 
  O2Acf03x  0.361603  0.026507    99   5.361e+01   O2Ac 
   NI0520a  0.519935  0.000000     1   1.853e+00      N 
   NI0520b  0.520171  0.000000     1   1.136e+00      N 
    OI0558  0.557889  0.000000     1   1.627e+02     Og 
   NaI0590  0.589756  0.000000     1   1.335e+01     Na 
  OH82P101  0.591694  0.000003     2   3.252e+00   OH9a 
  OH82P102  0.593451  0.000005     2   3.913e+00   OH9a 
  OH82P103  0.595507  0.000009     2   3.139e+00   OH9a 
   FeOf06a  0.595665  0.011503    99   2.729e+01    FeO 
  OH50P102  0.622349  0.000006     2   1.882e+00   OH5a 
  OH93Q101  0.625969  0.000001     2   6.528e+00   OH9a 
  OH93Q102  0.626695  0.000005     2   2.214e+00   OH9a 
  OH93P101  0.628917  0.000003     2   5.758e+00   OH9a 
    OI0630  0.630205  0.000000     1   1.227e+02     Or 
  OH93P103  0.633159  0.000009     2   6.020e+00   OH9a 
  OH93P204  0.635029  0.000002     2   1.734e+00   OH9b 
  OH93P104  0.635806  0.000014     2   3.889e+00   OH9b 
    OI0636  0.636554  0.000000     1   4.105e+01     Or 
  OH61Q101  0.650052  0.000002     2   7.839e+00   OH7a 
  OH61Q102  0.650679  0.000006     2   2.645e+00   OH7a 
  OH61P201  0.652423  0.000003     2   1.891e+00   OH7a 
  OH61P101  0.653485  0.000003     2   6.655e+00   OH7a 
  OH61P102  0.655543  0.000006     2   7.783e+00   OH7a 
    HI0656  0.656462  0.000010     7   5.291e+00      H 
  OH61P103  0.657910  0.000010     2   6.006e+00   OH7a 
  OH61P104  0.660596  0.000014     2   3.194e+00   OH7b 
  OH72Q101  0.686585  0.000002     2   2.091e+01   OH7a 
  OH72P103  0.695096  0.000011     2   1.496e+01   OH7a 
  OH72P204  0.697185  0.000003     2   4.035e+00   OH7b 
  OH72P104  0.698034  0.000016     2   8.601e+00   OH7b 
  OH72P105  0.701335  0.000021     2   4.358e+00   OH7b 
  OH83Q101  0.727841  0.000002     2   4.739e+01   OH9a 
  OH83Q102  0.728645  0.000007     2   1.786e+01   OH9a 
  OH83Q103  0.729795  0.000015     2   5.810e+00   OH9a 
  OH83P201  0.730573  0.000004     2   1.095e+01   OH9a 
  OH83P101  0.731830  0.000004     2   3.824e+01   OH9a 
  OH83P202  0.733117  0.000003     2   1.668e+01   OH9a 
  OH83P102  0.734291  0.000007     2   4.635e+01   OH9a 
  OH83P203  0.736069  0.000000     2   1.493e+01   OH9a 
  OH83P103  0.737140  0.000012     2   3.634e+01   OH9a 
  OH83P204  0.739423  0.000003     2   1.047e+01   OH9b 
  OH83P104  0.740390  0.000017     2   2.250e+01   OH9b 
  OH83P205  0.743183  0.000007     2   6.142e+00   OH9b 
  OH83P105  0.744052  0.000023     2   1.201e+01   OH9b 
  OH40R104  0.746867  0.000004     2   3.731e+00   OH5b 
  OH40R103  0.747574  0.000004     2   7.364e+00   OH5a 
  OH40R102  0.748554  0.000003     2   9.780e+00   OH5a 
  OH40R202  0.749573  0.000002     2   3.309e+00   OH5a 
  OH40Q101  0.752606  0.000003     2   2.880e+01   OH5a 
  OH40Q102  0.753279  0.000010     2   8.417e+00   OH5a 
  OH40Q103  0.754246  0.000022     2   2.470e+00   OH5a 
  OH40P201  0.755957  0.000004     2   6.446e+00   OH5a 
  OH40P101  0.757383  0.000005     2   2.154e+01   OH5a 
    KI0770  0.770108  0.000000     1   9.460e-01      K 
  OH94R202  0.772817  0.000000     2   1.023e+01   OH9a 
  OH94Q102  0.776213  0.000007     2   2.413e+01   OH9a 
    OI0777  0.777580  0.000172     3   1.614e+01    Orc 
  OH94P201  0.778257  0.000004     2   1.533e+01   OH9a 
  OH94Q104  0.779308  0.000028     2   2.852e+00   OH9b 
  OH94P101  0.779625  0.000004     2   5.130e+01   OH9a 
  OH94P202  0.781062  0.000003     2   2.187e+01   OH9a 
  OH94P102  0.782365  0.000008     2   6.277e+01   OH9a 
  OH94P203  0.784342  0.000001     2   2.008e+01   OH9a 
  OH51R103  0.786282  0.000004     2   2.556e+01   OH5a 
  OH51R203  0.786989  0.000001     2   1.093e+01   OH5a 
  OH51R102  0.787290  0.000002     2   3.023e+01   OH5a 
  OH94P204  0.788095  0.000002     2   1.519e+01   OH9b 
  OH51R202  0.788385  0.000002     2   1.242e+01   OH5a 
  OH94P104  0.789203  0.000019     2   3.395e+01   OH9b 
  OH51Q101  0.791588  0.000003     2   8.164e+01   OH5a 
  OH51P201  0.795139  0.000004     2   1.847e+01   OH5a 
  OH51P101  0.796684  0.000005     2   6.377e+01   OH5a 
  OH51P202  0.798196  0.000002     2   2.459e+01   OH5a 
  OH51P102  0.799553  0.000009     2   7.269e+01   OH5a 
  OH51P203  0.801626  0.000001     2   2.070e+01   OH5a 
  OH94P207  0.802240  0.000017     2   3.224e+00   OH8c 
  OH51P103  0.802802  0.000014     2   5.028e+01   OH5a 
  OH94P107  0.803080  0.000042     2   4.867e+00   OH8c 
