# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Correction of OH Einstein-A coefficients from HITRAN2020 (brooke+16) for
# each branch and band (product of three factors)
# 
# Column names:
# vi: upper vibrational level of OH band
# vj: lower vibrational level of OH band
# lam: vacuum wavelength of central Q1(1) line in µm (HITRAN2020)
# m_{P,Q,R}: natural logarithm of correction factor for each branch, to be
#            multiplied by rotational level of vi (consistent with noll+20
#            for lam < 0.85 µm)
# c_{P,Q,R}: natural logarithm of correction factor for each branch
#            (consistent with noll+20 for lam < 0.85 µm)
# c_b: natural logarithm of band-specific correction factor
# dc_b: uncertainty of c_b
# N_b: number of lines used for the calculation of c_b
# src: source and type of data:
#      r: reference band (no correction)
#      x: X-shooter-based data (partly noll+23)
#      c: UVES-based data (cosby+06)
#      n: no data (no correction)
# 
# References:
# brooke+16: https://doi.org/10.1016/j.jqsrt.2015.07.021
# cosby+06: https://doi.org/10.1029/2006JA012023
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
# noll+23: https://doi.org/10.1029/2022JD038275
# 
 vi  vj       lam      m_P      m_Q      m_R      c_P     c_Q      c_R     c_b   dc_b  N_b  src 
 10   0  0.354182   0.0374  -0.2855  -0.0374   0.0112  0.2496  -0.0112   0.000  0.000    0    n 
  9   0  0.381887   0.0355  -0.2750  -0.0355   0.0107  0.2391  -0.0107   0.000  0.000    0    n 
 10   1  0.405423   0.0339  -0.2662  -0.0339   0.0103  0.2302  -0.0103   0.000  0.000    0    n 
  8   0  0.417540   0.0331  -0.2616  -0.0331   0.0100  0.2257  -0.0100   0.000  0.000    0    n 
  9   1  0.442139   0.0314  -0.2523  -0.0314   0.0096  0.2164  -0.0096   0.000  0.000    0    n 
  7   0  0.464335   0.0299  -0.2439  -0.0299   0.0092  0.2080  -0.0092   0.000  0.000    0    n 
 10   2  0.470307   0.0295  -0.2417  -0.0295   0.0091  0.2057  -0.0091   0.000  0.000    0    n 
  8   1  0.490645   0.0281  -0.2340  -0.0281   0.0087  0.1980  -0.0087  -0.088  0.104    6    c 
  9   2  0.520442   0.0260  -0.2227  -0.0260   0.0082  0.1868  -0.0082   0.462  0.029    9    c 
  6   0  0.527653   0.0256  -0.2200  -0.0256   0.0080  0.1841  -0.0080  -0.106  0.093    7    c 
 10   3  0.554831   0.0237  -0.2098  -0.0237   0.0075  0.1738  -0.0075   0.000  0.000    0    n 
