# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# O2 level populations from measured reference intensities (based on
# X-shooter/UVES data) that were used for the O2 population model
# 
# Column names:
# lam: central vacuum wavelength in µm (HITRAN2020)
# dlam: distance of component wavelengths from lam in µm (only non-zero in the
#       case of doublets)
# ID: 12 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details); underscore for doublets
#     including different branches
# isot: isotopologue (only 1616)
# eli: electronic upper state (a or b)
# vi: vibrational level of upper state
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# gi: statistical weight (HITRAN2020)
# I: measured reference intensity in R
# src: source of I: x = X-shooter-based climatology, c = UVES mean spectrum
#      (cosby+06)
# y: natural logarithm of population in Rs, i.e. ln(I/(Aij*gi))
# 
# References:
# cosby+06: https://doi.org/10.1029/2006JA012023
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# 
      lam      dlam            ID  isot  eli  vi  Ni         Ei        Aij  gi           I  src        y 
 0.695714  0.000000  O2bX21RQ1114  1616    b   2  14  16187.730  3.015e-03  29   4.051e-02    c   -0.769 
 0.695813  0.000000  O2bX21RQ1112  1616    b   2  12  16114.689  3.007e-03  25   6.342e-02    c   -0.170 
 0.695815  0.000000  O2bX21RR1214  1616    b   2  14  16187.729  2.740e-03  29   3.960e-02    c   -0.697 
 0.695938  0.000000  O2bX21RQ1110  1616    b   2  10  16052.443  2.997e-03  21   4.068e-02    c   -0.436 
 0.696037  0.000000  O2bX21RR1210  1616    b   2  10  16052.444  2.617e-03  21   5.436e-02    c   -0.011 
 0.696091  0.000000  O2bX21RQ1108  1616    b   2   8  16001.006  2.981e-03  17   8.095e-02    c    0.468 
 0.696189  0.000000  O2bX21RR1208  1616    b   2   8  16001.006  2.512e-03  17   3.732e-02    c   -0.135 
 0.696270  0.000000  O2bX21RQ1106  1616    b   2   6  15960.387  2.957e-03  13   1.032e-01    c    0.988 
 0.696367  0.000000  O2bX21RR1206  1616    b   2   6  15960.387  2.345e-03  13   6.770e-02    c    0.798 
 0.696476  0.000000  O2bX21RQ1104  1616    b   2   4  15930.593  2.913e-03   9   7.428e-02    c    1.041 
 0.696571  0.000000  O2bX21RR1204  1616    b   2   4  15930.593  2.031e-03   9   5.007e-02    c    1.008 
 0.696709  0.000000  O2bX21RQ1102  1616    b   2   2  15911.631  2.799e-03   5   5.957e-02    c    1.448 
 0.697390  0.000000  O2bX21PQ1302  1616    b   2   2  15911.631  3.279e-03   5   4.823e-02    c    1.079 
 0.697492  0.000000  O2bX21PP1202  1616    b   2   2  15911.631  4.854e-03   5   6.857e-02    c    1.039 
 0.697716  0.000000  O2bX21PQ1304  1616    b   2   4  15930.593  3.165e-03   9   8.331e-02    c    1.073 
 0.697814  0.000000  O2bX21PP1204  1616    b   2   4  15930.593  4.039e-03   9   1.003e-01    c    1.015 
 0.698163  0.000000  O2bX21PP1206  1616    b   2   6  15960.387  3.723e-03  13   8.960e-02    c    0.616 
 0.698444  0.000000  O2bX21PQ1308  1616    b   2   8  16001.006  3.092e-03  17   9.828e-02    c    0.626 
 0.698539  0.000000  O2bX21PP1208  1616    b   2   8  16001.006  3.553e-03  17   1.415e-01    c    0.851 
 0.698941  0.000000  O2bX21PP1210  1616    b   2  10  16052.444  3.445e-03  21   7.805e-02    c    0.076 
 0.699277  0.000000  O2bX21PQ1312  1616    b   2  12  16114.689  3.058e-03  25   5.049e-02    c   -0.415 
 0.699370  0.000000  O2bX21PP1212  1616    b   2  12  16114.689  3.371e-03  25   7.183e-02    c   -0.160 
 0.699733  0.000000  O2bX21PQ1314  1616    b   2  14  16187.730  3.046e-03  29   7.283e-02    c   -0.193 
 0.699825  0.000000  O2bX21PP1214  1616    b   2  14  16187.729  3.314e-03  29   5.118e-02    c   -0.630 
 0.768608  0.000000  O2bX11RQ1128  1616    b   1  28  15638.025  1.756e-02  57   2.912e-01    c   -1.235 
 0.768616  0.000000  O2bX11RQ1126  1616    b   1  26  15487.900  1.755e-02  53   3.101e-01    c   -1.099 
 0.768627  0.000000  O2bX11RQ1130  1616    b   1  30  15798.923  1.756e-02  61   2.010e-01    c   -1.673 
 0.768706  0.000000  O2bX11RQ1122  1616    b   1  22  15220.079  1.752e-02  45   1.247e-01    c   -1.844 
 0.768739  0.000000  O2bX11RR1228  1616    b   1  28  15638.025  1.674e-02  57   9.111e-02    c   -2.349 
 0.768746  0.000000  O2bX11RR1226  1616    b   1  26  15487.900  1.668e-02  53   9.665e-02    c   -2.213 
 0.768778  0.000000  O2bX11RR1224  1616    b   1  24  15348.575  1.659e-02  49   1.199e-01    c   -1.914 
 0.768789  0.000000  O2bX11RQ1120  1616    b   1  20  15102.434  1.750e-02  41   1.321e-01    c   -1.692 
 0.768835  0.000000  O2bX11RR1222  1616    b   1  22  15220.079  1.649e-02  45   1.646e-01    c   -1.506 
 0.769152  0.000000  O2bX11RR1216  1616    b   1  16  14899.789  1.604e-02  33   1.513e-01    c   -1.252 
 0.769182  0.000000  O2bX11RQ1114  1616    b   1  14  14814.827  1.740e-02  29   2.608e-01    c   -0.660 
 0.769233  0.000000  O2bX00PP1228  1616    b   0  28  14248.158  2.265e-02  57   7.129e-01    c   -0.594 
 0.769306  0.000000  O2bX11RR1214  1616    b   1  14  14814.827  1.581e-02  29   2.083e-01    c   -0.789 
 0.769363  0.000000  O2bX11RQ1112  1616    b   1  12  14740.793  1.735e-02  25   1.722e-01    c   -0.924 
 0.769485  0.000000  O2bX11RR1212  1616    b   1  12  14740.793  1.551e-02  25   2.221e-01    c   -0.557 
 0.769565  0.000000  O2bX11RQ1110  1616    b   1  10  14677.703  1.729e-02  21   2.482e-01    c   -0.380 
 0.769686  0.000000  O2bX11RR1210  1616    b   1  10  14677.703  1.509e-02  21   2.205e-01    c   -0.363 
 0.769793  0.000000  O2bX11RQ1108  1616    b   1   8  14625.568  1.719e-02  17   2.925e-01    c    0.001 
 0.769796  0.000000  O2bX00PQ1330  1616    b   0  30  14411.221  2.160e-02  61   1.781e-01    c   -2.001 
 0.769898  0.000000  O2bX00PP1230  1616    b   0  30  14411.221  2.252e-02  61   1.841e-01    c   -2.010 
 0.769913  0.000000  O2bX11RR1208  1616    b   1   8  14625.568  1.449e-02  17   2.439e-01    c   -0.010 
 0.770044  0.000000  O2bX11RQ1106  1616    b   1   6  14584.397  1.705e-02  13   2.727e-01    c    0.207 
 0.770319  0.000000  O2bX11RQ1104  1616    b   1   4  14554.199  1.679e-02   9   2.045e-01    c    0.303 
 0.770436  0.000000  O2bX11RR1204  1616    b   1   4  14554.199  1.171e-02   9   1.322e-01    c    0.226 
 0.770486  0.000000  O2bX00PQ1332  1616    b   0  32  14585.173  2.153e-02  65   1.072e-01    c   -2.569 
 0.770588  0.000000  O2bX00PP1232  1616    b   0  32  14585.173  2.239e-02  65   1.337e-01    c   -2.387 
 0.770621  0.000000  O2bX11RQ1102  1616    b   1   2  14534.980  1.613e-02   5   1.214e-01    c    0.409 
 0.771301  0.000000  O2bX00PP1234  1616    b   0  34  14769.983  2.227e-02  69   1.214e-01    c   -2.538 
 0.771578  0.000000  O2bX11PP1202  1616    b   1   2  14534.980  2.796e-02   5   2.726e-01    c    0.668 
 0.771838  0.000000  O2bX11PQ1304  1616    b   1   4  14554.199  1.823e-02   9   2.119e-01    c    0.256 
 0.771958  0.000000  O2bX11PP1204  1616    b   1   4  14554.199  2.327e-02   9   3.560e-01    c    0.531 
 0.772243  0.000000  O2bX11PQ1306  1616    b   1   6  14584.397  1.796e-02  13   2.505e-01    c    0.070 
 0.772361  0.000000  O2bX11PP1206  1616    b   1   6  14584.397  2.145e-02  13   3.063e-01    c    0.094 
 0.772671  0.000000  O2bX11PQ1308  1616    b   1   8  14625.568  1.781e-02  17   2.725e-01    c   -0.105 
 0.772701  0.000000  O2bX00PQ1338  1616    b   0  38  15172.032  2.131e-02  77   5.762e-02    c   -3.349 
 0.773123  0.000000  O2bX11PQ1310  1616    b   1  10  14677.703  1.770e-02  21   2.187e-01    c   -0.530 
 0.773238  0.000000  O2bX11PP1210  1616    b   1  10  14677.703  1.985e-02  21   2.667e-01    c   -0.447 
 0.773489  0.000000  O2bX00PQ1340  1616    b   0  40  15389.196  2.123e-02  81   4.852e-02    c   -3.568 
 0.773587  0.000000  O2bX00PP1240  1616    b   0  40  15389.196  2.191e-02  81   5.887e-02    c   -3.406 
 0.773599  0.000000  O2bX11PQ1312  1616    b   1  12  14740.793  1.762e-02  25   2.312e-01    c   -0.645 
 0.773713  0.000000  O2bX11PP1212  1616    b   1  12  14740.793  1.942e-02  25   9.847e-02    c   -1.595 
 0.774098  0.000000  O2bX11PQ1314  1616    b   1  14  14814.827  1.755e-02  29   1.879e-01    c   -0.996 
 0.774621  0.000000  O2bX11PQ1316  1616    b   1  16  14899.789  1.748e-02  33   1.846e-01    c   -1.140 
 0.774733  0.000000  O2bX11PP1216  1616    b   1  16  14899.789  1.884e-02  33   1.902e-01    c   -1.184 
 0.775741  0.000000  O2bX11PQ1320  1616    b   1  20  15102.434  1.737e-02  41   1.358e-01    c   -1.657 
 0.775851  0.000000  O2bX11PP1220  1616    b   1  20  15102.434  1.845e-02  41   1.449e-01    c   -1.653 
 0.776338  0.000000  O2bX11PQ1322  1616    b   1  22  15220.079  1.732e-02  45   1.094e-01    c   -1.964 
 0.776448  0.000000  O2bX11PP1222  1616    b   1  22  15220.079  1.830e-02  45   1.636e-01    c   -1.616 
 0.776960  0.000000  O2bX11PQ1324  1616    b   1  24  15348.575  1.726e-02  49   1.185e-01    c   -1.965 
 0.777067  0.000000  O2bX11PP1224  1616    b   1  24  15348.575  1.816e-02  49   1.240e-01    c   -1.970 
 0.777607  0.000000  O2bX11PQ1326  1616    b   1  26  15487.900  1.721e-02  53   4.755e-02    c   -2.954 
 0.777714  0.000000  O2bX11PP1226  1616    b   1  26  15487.900  1.804e-02  53   8.619e-02    c   -2.406 
 0.778386  0.000000  O2bX11PP1228  1616    b   1  28  15638.025  1.792e-02  57   1.916e-01    c   -1.674 
 0.864926  0.000000  O2bX01PP1200  1616    b   0   0  13122.006  4.677e-03   1   7.191e+00    x    7.338 
 0.865365  0.000000  O2bX01PP1202  1616    b   0   2  13130.353  1.871e-03   5   1.314e+01    c    7.248 
 0.865673  0.000000  O2bX01PQ1304  1616    b   0   4  13149.829  1.221e-03   9   1.441e+01    c    7.179 
 0.865748  0.000075  O2bX01P_1_04  1616    b   0   4  13149.829  2.781e-03   9   3.282e+01    x    7.179 
 0.865823  0.000000  O2bX01PP1204  1616    b   0   4  13149.829  1.560e-03   9   1.844e+01    c    7.180 
 0.866152  0.000000  O2bX01PQ1306  1616    b   0   6  13180.429  1.205e-03  13   1.530e+01    c    6.884 
 0.866226  0.000074  O2bX01P_1_06  1616    b   0   6  13180.429  2.644e-03  13   3.407e+01    x    6.899 
 0.866300  0.000000  O2bX01PP1206  1616    b   0   6  13180.429  1.439e-03  13   1.813e+01    c    6.876 
 0.866650  0.000000  O2bX01PQ1308  1616    b   0   8  13222.148  1.197e-03  17   1.500e+01    c    6.603 
 0.866723  0.000073  O2bX01P_1_08  1616    b   0   8  13222.148  2.573e-03  17   3.158e+01    x    6.582 
 0.866796  0.000000  O2bX01PP1208  1616    b   0   8  13222.148  1.376e-03  17   1.808e+01    c    6.650 
 0.867165  0.000000  O2bX01PQ1310  1616    b   0  10  13274.978  1.191e-03  21   1.408e+01    c    6.333 
 0.867238  0.000072  O2bX01P_1_10  1616    b   0  10  13274.978  2.527e-03  21   2.585e+01    x    6.188 
 0.867310  0.000000  O2bX01PP1210  1616    b   0  10  13274.978  1.336e-03  21   1.589e+01    c    6.339 
 0.867700  0.000000  O2bX01PQ1312  1616    b   0  12  13338.910  1.188e-03  25   1.045e+01    c    5.864 
 0.867772  0.000072  O2bX01P_1_12  1616    b   0  12  13338.910  2.498e-03  25   1.849e+01    x    5.690 
 0.867844  0.000000  O2bX01PP1212  1616    b   0  12  13338.910  1.310e-03  25   1.069e+01    c    5.788 
 0.868254  0.000000  O2bX01PQ1314  1616    b   0  14  13413.931  1.186e-03  29   7.237e+00    c    5.349 
 0.868325  0.000071  O2bX01P_1_14  1616    b   0  14  13413.931  2.476e-03  29   1.205e+01    x    5.123 
 0.868396  0.000000  O2bX01PP1214  1616    b   0  14  13413.931  1.290e-03  29   7.272e+00    c    5.270 
 0.868826  0.000000  O2bX01PQ1316  1616    b   0  16  13500.028  1.183e-03  33   4.226e+00    c    4.684 
 0.868897  0.000070  O2bX01P_1_16  1616    b   0  16  13500.028  2.459e-03  33   6.939e+00    x    4.449 
 0.868967  0.000000  O2bX01PP1216  1616    b   0  16  13500.028  1.276e-03  33   4.798e+00    c    4.736 
 0.869418  0.000000  O2bX01PQ1318  1616    b   0  18  13597.185  1.182e-03  37   2.154e+00    c    3.897 
 0.869557  0.000000  O2bX01PP1218  1616    b   0  18  13597.185  1.264e-03  37   2.595e+00    c    4.016 
 0.870029  0.000000  O2bX01PQ1320  1616    b   0  20  13705.383  1.181e-03  41   1.087e+00    c    3.111 
 0.870168  0.000000  O2bX01PP1220  1616    b   0  20  13705.383  1.255e-03  41   1.305e+00    c    3.233 
 0.870659  0.000000  O2bX01PQ1322  1616    b   0  22  13824.603  1.180e-03  45   5.876e-01    c    2.404 
 0.870797  0.000000  O2bX01PP1222  1616    b   0  22  13824.603  1.248e-03  45   5.942e-01    c    2.359 
 1.249609  0.000000  O2aX00SR1123  1616    a   0  23   8664.603  3.326e-05  47   3.397e+01    x    9.986 
 1.251111  0.000000  O2aX00SR1121  1616    a   0  21   8537.463  3.341e-05  43   8.187e+01    x   10.951 
 1.254210  0.000000  O2aX00SR1117  1616    a   0  17   8316.892  3.393e-05  35   3.478e+02    x   12.587 
 1.255809  0.000000  O2aX00SR1115  1616    a   0  15   8223.498  3.437e-05  31   6.056e+02    x   13.251 
 1.282476  0.000000  O2aX00OP1313  1616    a   0  13   8141.388  2.395e-05  27   7.250e+02    x   13.930 
 1.284555  0.000000  O2aX00OP1315  1616    a   0  15   8223.498  2.449e-05  31   4.361e+02    x   13.261 
 1.286665  0.000000  O2aX00OP1317  1616    a   0  17   8316.892  2.489e-05  35   2.459e+02    x   12.551 
 1.288806  0.000000  O2aX00OP1319  1616    a   0  19   8421.553  2.522e-05  39   1.329e+02    x   11.814 
