# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# OH level populations from measured reference intensities of Lambda doublets
# (based on X-shooter/UVES data) that were used for the OH population model
# 
# Column names:
# lam: central vacuum wavelength in µm (HITRAN2020)
# dlam: distance of Lambda doublet components from lam in µm
# ID: 12 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
#       for branch and band corrections)
# gi: statistical weight (HITRAN2020)
# I: measured reference intensity in R
# src: source of I: x = X-shooter-based climatology (partly from noll+23),
#      u = UVES mean spectrum (noll+20), c = UVES mean spectrum (cosby+06)
# y: natural logarithm of population in Rs, i.e. ln(I/(Aijc*gi))
# 
# References:
# cosby+06: https://doi.org/10.1029/2006JA012023 (only vi = 10)
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020 (< 1.05 µm)
# noll+23: https://doi.org/10.1029/2022JD038275 (> 1.005 µm)
# 
      lam      dlam            ID  vi  Fi  Ni         Ei        Aij       Aijc   gi          I  src       y 
 0.586708  0.000001  OHXX82RR1103   8   1   3  24093.457  1.169e-02  1.087e-02   32  1.210e+00    u   1.246 
 0.586762  0.000000  OHXX82RR1104   8   1   4  24201.656  1.209e-02  1.100e-02   40  6.980e-01    u   0.462 
 0.586888  0.000002  OHXX82RR2204   8   2   4  24287.321  1.314e-02  1.195e-02   32  3.064e-01    u  -0.222 
 0.586917  0.000001  OHXX82RR1102   8   1   2  24009.563  9.410e-03  8.934e-03   24  1.367e+00    u   1.853 
 0.586993  0.000001  OHXX82RR2203   8   2   3  24191.146  1.333e-02  1.239e-02   24  5.014e-01    u   0.523 
 0.587436  0.000000  OHXX82RR2202   8   2   2  24122.042  1.203e-02  1.142e-02   16  5.095e-01    u   1.026 
 0.587700  0.000003  OHXX82RR1106   8   1   6  24491.188  1.117e-02  9.732e-03   56  1.306e-01    u  -1.429 
 0.588876  0.000004  OHXX82QQ2201   8   2   1  24080.396  1.379e-02  1.327e-02    8  3.994e-01    u   1.325 
 0.588981  0.000001  OHXX82QQ1101   8   1   1  23949.831  2.404e-02  2.314e-02   16  3.479e+00    u   2.240 
 0.588981  0.000001  OHXX82QQ1101   8   1   1  23949.831  2.404e-02  2.360e-02   16  3.449e+00    x   2.212 
 0.589610  0.000005  OHXX82QQ1102   8   1   2  24009.563  9.910e-03  7.988e-03   24  1.308e+00    x   1.921 
 0.589610  0.000005  OHXX82QQ1102   8   1   2  24009.563  9.910e-03  7.833e-03   24  1.179e+00    u   1.836 
 0.590511  0.000010  OHXX82QQ1103   8   1   3  24093.457  5.278e-03  3.426e-03   32  3.671e-01    u   1.209 
 0.590834  0.000003  OHXX82PP2201   8   2   1  24080.396  2.988e-02  3.127e-02    8  9.171e-01    x   1.299 
 0.590834  0.000003  OHXX82PP2201   8   2   1  24080.396  2.988e-02  3.067e-02    8  9.310e-01    u   1.334 
 0.591694  0.000003  OHXX82PP1101   8   1   1  23949.831  1.919e-02  2.008e-02   16  3.252e+00    x   2.315 
 0.591694  0.000003  OHXX82PP1101   8   1   1  23949.831  1.919e-02  1.969e-02   16  3.206e+00    u   2.320 
 0.592637  0.000002  OHXX82PP2202   8   2   2  24122.042  2.878e-02  3.077e-02   16  1.355e+00    x   1.012 
 0.592637  0.000002  OHXX82PP2202   8   2   2  24122.042  2.878e-02  3.017e-02   16  1.382e+00    u   1.051 
 0.593451  0.000005  OHXX82PP1102   8   1   2  24009.563  2.418e-02  2.585e-02   24  3.913e+00    x   1.842 
 0.593451  0.000005  OHXX82PP1102   8   1   2  24009.563  2.418e-02  2.535e-02   24  3.923e+00    u   1.864 
 0.594758  0.000000  OHXX82PP2203   8   2   3  24191.146  2.927e-02  3.135e-02   24  1.262e+00    u   0.517 
 0.594758  0.000000  OHXX82PP2203   8   2   3  24191.146  2.927e-02  3.197e-02   24  1.332e+00    x   0.551 
 0.595507  0.000009  OHXX82PP1103   8   1   3  24093.457  2.685e-02  2.933e-02   32  3.139e+00    x   1.207 
 0.595507  0.000009  OHXX82PP1103   8   1   3  24093.457  2.685e-02  2.876e-02   32  3.193e+00    u   1.244 
 0.597193  0.000002  OHXX82PP2204   8   2   4  24287.321  3.031e-02  3.317e-02   32  9.408e-01    u  -0.121 
