# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class FeO
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  256  2.50  0.753   0.162  0.090  0.376 
    1    16     2  -4.5  0.36  216  1.70  0.683   0.283  0.103  0.439 
    1    16     3  -3.5  1.00  218  1.20  0.656   0.363  0.105  0.451 
    1    16     4  -2.5  1.00  237  1.00  0.626   0.338  0.092  0.440 
    1    16     5  -1.5  1.00  222  1.00  0.624   0.221  0.096  0.443 
    1    16     6  -0.5  1.00  207  1.00  0.612   0.098  0.096  0.413 
    1    16     7   0.5  1.00  215  1.00  0.602   0.131  0.091  0.402 
    1    16     8   1.5  1.00  246  1.00  0.579   0.179  0.069  0.350 
    1    16     9   2.5  1.00  275  1.00  0.548   0.167  0.060  0.335 
    1    16    10   3.5  1.00  207  1.00  0.573   0.071  0.076  0.365 
    1    16    11   4.5  0.61  228  1.60  0.634   0.097  0.080  0.351 
    1    16    12   5.5  0.00  222  2.30  0.696  -0.028  0.093  0.342 
    2    46     1  -5.5  0.00  237  2.40  1.040   0.302  0.104  0.297 
    2    46     2  -4.5  0.57  202  1.60  0.923   0.127  0.106  0.312 
    2    46     3  -3.5  1.00  239  1.20  0.836   0.014  0.093  0.342 
    2    46     4  -2.5  1.00  252  1.10  0.787  -0.169  0.084  0.329 
    2    46     5  -1.5  1.00  215  1.00  0.802  -0.283  0.077  0.319 
    2    46     6  -0.5  1.00  228  1.00  0.811  -0.106  0.082  0.344 
    2    46     7   0.5  1.00  264  1.00  0.790  -0.084  0.079  0.347 
    2    46     8   1.5  1.00  280  1.00  0.761  -0.112  0.085  0.374 
    2    46     9   2.5  1.00  296  1.00  0.745  -0.031  0.076  0.352 
    2    46    10   3.5  1.00  286  1.00  0.736  -0.054  0.074  0.335 
    2    46    11   4.5  1.00  217  1.20  0.784  -0.152  0.093  0.329 
    2    46    12   5.5  0.03  221  2.00  0.820  -0.239  0.101  0.346 
    3    75     1  -5.5  0.01  218  2.00  1.344   0.185  0.104  0.325 
    3    75     2  -4.5  1.00  214  1.30  1.216   0.433  0.102  0.304 
    3    75     3  -3.5  1.00  231  1.00  1.031  -0.010  0.082  0.283 
    3    75     4  -2.5  1.00  233  1.00  1.059  -0.177  0.073  0.277 
    3    75     5  -1.5  1.00  266  1.00  1.031  -0.268  0.065  0.279 
    3    75     6  -0.5  1.00  271  1.00  0.987  -0.244  0.065  0.286 
    3    75     7   0.5  1.00  305  1.00  0.942  -0.253  0.062  0.282 
    3    75     8   1.5  1.00  300  1.00  0.912  -0.293  0.069  0.322 
    3    75     9   2.5  1.00  287  1.00  0.935  -0.263  0.076  0.351 
    3    75    10   3.5  1.00  295  1.00  0.948  -0.279  0.080  0.367 
    3    75    11   4.5  1.00  205  1.10  0.959  -0.366  0.104  0.362 
    3    75    12   5.5  0.32  209  1.80  1.032  -0.182  0.109  0.317 
    4   106     1  -5.5  0.52  200  1.70  1.553  -0.198  0.105  0.342 
    4   106     2  -4.5  1.00  214  1.10  1.584  -0.242  0.096  0.328 
    4   106     3  -3.5  1.00  230  1.00  1.521   0.068  0.082  0.300 
    4   106     4  -2.5  1.00  225  1.00  1.464   0.133  0.076  0.276 
    4   106     5  -1.5  1.00  218  1.00  1.408  -0.001  0.076  0.277 
    4   106     6  -0.5  1.00  203  1.00  1.346   0.010  0.080  0.285 
    4   106     7   0.5  1.00  216  1.00  1.256   0.026  0.086  0.300 
    4   106     8   1.5  1.00  226  1.00  1.257   0.077  0.088  0.305 
    4   106     9   2.5  1.00  207  1.00  1.275   0.036  0.092  0.314 
    4   106    10   3.5  1.00  204  1.00  1.365   0.028  0.086  0.325 
    4   106    11   4.5  1.00  210  1.20  1.437   0.213  0.088  0.301 
    4   106    12   5.5  0.55  232  1.90  1.315   0.268  0.094  0.305 
    5   136     1  -5.5  0.86  213  1.70  1.431  -0.122  0.106  0.358 
    5   136     2  -4.5  1.00  234  1.10  1.482  -0.119  0.098  0.365 
    5   136     3  -3.5  1.00  246  1.10  1.439   0.025  0.096  0.368 
    5   136     4  -2.5  1.00  218  1.10  1.415   0.106  0.091  0.339 
