# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class H
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  307  2.60  1.802   0.047  0.041  0.205 
    1    16     2  -4.5  0.36  326  1.90  1.771   0.068  0.038  0.197 
    1    16     3  -3.5  1.00  338  1.40  1.709   0.079  0.040  0.202 
    1    16     4  -2.5  1.00  355  1.20  1.523   0.015  0.045  0.218 
    1    16     5  -1.5  1.00  355  1.30  1.148   0.018  0.059  0.295 
    1    16     6  -0.5  1.00  350  1.30  0.973   0.106  0.081  0.401 
    1    16     7   0.5  1.00  321  1.20  0.885   0.384  0.097  0.483 
    1    16     8   1.5  1.00  338  1.10  0.899   0.393  0.081  0.433 
    1    16     9   2.5  1.00  314  1.00  1.109   0.332  0.062  0.298 
    1    16    10   3.5  1.00  308  1.20  1.397   0.309  0.059  0.240 
    1    16    11   4.5  0.61  335  1.80  1.486   0.339  0.054  0.232 
    1    16    12   5.5  0.00  321  2.50  1.537   0.305  0.054  0.231 
    2    46     1  -5.5  0.00  320  2.60  1.702   0.078  0.065  0.274 
    2    46     2  -4.5  0.57  307  1.80  1.704   0.075  0.068  0.285 
    2    46     3  -3.5  1.00  317  1.30  1.619   0.029  0.075  0.314 
    2    46     4  -2.5  1.00  336  1.20  1.249   0.040  0.091  0.374 
    2    46     5  -1.5  1.00  334  1.20  0.778  -0.021  0.111  0.485 
    2    46     6  -0.5  1.00  301  1.10  0.541   0.267  0.129  0.567 
    2    46     7   0.5  1.00  305  1.00  0.511   0.480  0.140  0.615 
    2    46     8   1.5  1.00  342  1.00  0.605   0.401  0.126  0.567 
    2    46     9   2.5  1.00  351  1.00  0.791   0.421  0.081  0.365 
    2    46    10   3.5  1.00  318  1.00  1.180   0.393  0.067  0.263 
    2    46    11   4.5  1.00  325  1.50  1.366   0.330  0.065  0.263 
    2    46    12   5.5  0.03  311  2.30  1.433   0.316  0.066  0.251 
    3    75     1  -5.5  0.01  317  2.40  1.555   0.102  0.082  0.313 
    3    75     2  -4.5  1.00  319  1.70  1.547   0.095  0.087  0.331 
    3    75     3  -3.5  1.00  303  1.10  1.412   0.137  0.105  0.381 
    3    75     4  -2.5  1.00  330  1.10  0.884   0.036  0.114  0.494 
    3    75     5  -1.5  1.00  316  1.00  0.555   0.209  0.105  0.506 
    3    75     6  -0.5  1.00  337  1.00  0.424   0.247  0.092  0.462 
    3    75     7   0.5  1.00  340  1.00  0.369   0.456  0.072  0.358 
    3    75     8   1.5  1.00  338  1.00  0.433   0.432  0.093  0.406 
    3    75     9   2.5  1.00  308  1.00  0.613   0.414  0.091  0.359 
    3    75    10   3.5  1.00  339  1.10  0.989   0.324  0.088  0.298 
    3    75    11   4.5  1.00  324  1.50  1.284   0.311  0.080  0.286 
    3    75    12   5.5  0.32  334  2.30  1.395   0.325  0.071  0.255 
    4   106     1  -5.5  0.52  303  2.20  1.546   0.022  0.076  0.272 
    4   106     2  -4.5  1.00  348  1.60  1.412   0.016  0.083  0.316 
    4   106     3  -3.5  1.00  306  1.20  1.135  -0.053  0.107  0.367 
    4   106     4  -2.5  1.00  322  1.20  0.733   0.156  0.114  0.473 
    4   106     5  -1.5  1.00  336  1.20  0.501   0.351  0.086  0.402 
    4   106     6  -0.5  1.00  322  1.20  0.396   0.227  0.090  0.405 
    4   106     7   0.5  1.00  309  1.20  0.382   0.243  0.101  0.433 
    4   106     8   1.5  1.00  310  1.20  0.455   0.439  0.095  0.385 
    4   106     9   2.5  1.00  337  1.30  0.620   0.406  0.101  0.366 
    4   106    10   3.5  1.00  322  1.40  0.984   0.384  0.106  0.311 
    4   106    11   4.5  1.00  315  1.70  1.318   0.253  0.084  0.282 
    4   106    12   5.5  0.55  320  2.30  1.459   0.157  0.073  0.247 
    5   136     1  -5.5  0.86  304  2.20  1.540   0.060  0.070  0.241 
    5   136     2  -4.5  1.00  326  1.60  1.417   0.048  0.075  0.261 
    5   136     3  -3.5  1.00  348  1.40  1.097  -0.029  0.083  0.285 
    5   136     4  -2.5  1.00  302  1.30  0.738   0.197  0.092  0.338 
    5   136     5  -1.5  1.00  357  1.40  0.552   0.191  0.077  0.346 
    5   136     6  -0.5  1.00  342  1.40  0.470   0.144  0.084  0.352 
    5   136     7   0.5  1.00  306  1.40  0.453   0.252  0.087  0.333 
    5   136     8   1.5  1.00  312  1.50  0.517   0.386  0.090  0.326 
    5   136     9   2.5  1.00  318  1.60  0.706   0.383  0.102  0.328 
    5   136    10   3.5  1.00  314  1.60  1.128   0.253  0.104  0.291 
    5   136    11   4.5  1.00  315  1.80  1.406   0.126  0.079  0.254 
    5   136    12   5.5  0.75  300  2.20  1.565   0.163  0.065  0.219 
    6   167     1  -5.5  0.96  330  2.30  1.529   0.113  0.062  0.209 
    6   167     2  -4.5  1.00  319  1.60  1.469   0.140  0.069  0.223 
    6   167     3  -3.5  1.00  320  1.40  1.180   0.056  0.086  0.261 
    6   167     4  -2.5  1.00  310  1.40  0.831   0.072  0.092  0.310 
    6   167     5  -1.5  1.00  330  1.50  0.657  -0.050  0.090  0.354 
    6   167     6  -0.5  1.00  329  1.60  0.546   0.018  0.091  0.356 
    6   167     7   0.5  1.00  349  1.70  0.501   0.245  0.084  0.328 
    6   167     8   1.5  1.00  308  1.60  0.539   0.522  0.071  0.252 
    6   167     9   2.5  1.00  351  1.60  0.711   0.433  0.087  0.253 
    6   167    10   3.5  1.00  314  1.40  1.118   0.427  0.091  0.231 
    6   167    11   4.5  1.00  308  1.40  1.437   0.228  0.077  0.236 
    6   167    12   5.5  0.95  307  1.90  1.567   0.166  0.067  0.221 
    7   197     1  -5.5  0.83  331  2.40  1.557   0.220  0.069  0.232 
    7   197     2  -4.5  1.00  327  1.80  1.489   0.168  0.079  0.250 
    7   197     3  -3.5  1.00  311  1.50  1.275   0.098  0.099  0.294 
    7   197     4  -2.5  1.00  313  1.50  0.917   0.086  0.116  0.370 
    7   197     5  -1.5  1.00  303  1.50  0.685  -0.069  0.151  0.482 
    7   197     6  -0.5  1.00  352  1.60  0.507   0.106  0.136  0.450 
    7   197     7   0.5  1.00  327  1.50  0.438   0.293  0.113  0.381 
    7   197     8   1.5  1.00  337  1.40  0.471   0.385  0.093  0.296 
    7   197     9   2.5  1.00  313  1.30  0.625   0.490  0.093  0.274 
    7   197    10   3.5  1.00  331  1.20  0.960   0.435  0.100  0.277 
    7   197    11   4.5  1.00  301  1.10  1.416   0.330  0.083  0.241 
    7   197    12   5.5  1.00  316  1.70  1.598   0.203  0.071  0.239 
    8   228     1  -5.5  0.63  309  2.50  1.545   0.242  0.084  0.257 
    8   228     2  -4.5  1.00  307  1.90  1.442   0.171  0.102  0.284 
    8   228     3  -3.5  1.00  334  1.60  1.188   0.015  0.124  0.350 
    8   228     4  -2.5  1.00  360  1.50  0.728  -0.315  0.153  0.461 
    8   228     5  -1.5  1.00  354  1.40  0.523  -0.237  0.172  0.582 
    8   228     6  -0.5  1.00  347  1.30  0.393   0.217  0.144  0.518 
    8   228     7   0.5  1.00  320  1.10  0.359   0.283  0.103  0.361 
    8   228     8   1.5  1.00  304  1.00  0.429   0.247  0.115  0.410 
    8   228     9   2.5  1.00  333  1.00  0.620   0.373  0.126  0.437 
    8   228    10   3.5  1.00  375  1.00  1.001   0.333  0.111  0.380 
    8   228    11   4.5  1.00  311  1.00  1.487   0.275  0.095  0.296 
    8   228    12   5.5  0.79  318  1.70  1.631   0.192  0.078  0.265 
    9   259     1  -5.5  0.46  326  2.40  1.422   0.028  0.070  0.261 
    9   259     2  -4.5  1.00  306  1.70  1.357   0.046  0.077  0.287 
    9   259     3  -3.5  1.00  342  1.40  1.063   0.081  0.104  0.361 
    9   259     4  -2.5  1.00  351  1.30  0.623   0.025  0.104  0.422 
    9   259     5  -1.5  1.00  321  1.10  0.426  -0.119  0.106  0.444 
    9   259     6  -0.5  1.00  318  1.00  0.361  -0.019  0.099  0.400 
    9   259     7   0.5  1.00  363  1.00  0.377   0.017  0.110  0.470 
    9   259     8   1.5  1.00  396  1.00  0.507  -0.245  0.143  0.630 
    9   259     9   2.5  1.00  408  1.00  0.777  -0.177  0.131  0.537 
    9   259    10   3.5  1.00  397  1.00  1.209   0.121  0.103  0.390 
    9   259    11   4.5  1.00  305  1.20  1.537   0.258  0.088  0.307 
    9   259    12   5.5  0.33  322  1.90  1.614   0.221  0.077  0.273 
   10   289     1  -5.5  0.24  300  2.30  1.398   0.119  0.058  0.246 
   10   289     2  -4.5  1.00  306  1.50  1.330   0.114  0.059  0.260 
   10   289     3  -3.5  1.00  313  1.00  1.136   0.083  0.062  0.265 
   10   289     4  -2.5  1.00  334  1.00  0.756  -0.047  0.077  0.375 
   10   289     5  -1.5  1.00  340  1.00  0.533   0.048  0.075  0.368 
   10   289     6  -0.5  1.00  340  1.00  0.488   0.045  0.108  0.562 
   10   289     7   0.5  1.00  348  1.00  0.572   0.085  0.104  0.578 
   10   289     8   1.5  1.00  332  1.00  0.739  -0.099  0.108  0.612 
   10   289     9   2.5  1.00  308  1.00  1.112  -0.278  0.098  0.478 
