# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class HO2
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  432  2.40  1.757  -0.030  0.054  0.302 
    1    16     2  -4.5  0.36  455  1.70  1.792   0.032  0.052  0.311 
    1    16     3  -3.5  1.00  405  1.10  1.844   0.014  0.054  0.315 
    1    16     4  -2.5  1.00  495  1.00  1.696   0.039  0.050  0.320 
    1    16     5  -1.5  1.00  460  1.00  1.551   0.052  0.049  0.320 
    1    16     6  -0.5  1.00  435  1.00  1.462  -0.027  0.056  0.353 
    1    16     7   0.5  1.00  456  1.00  1.373  -0.004  0.058  0.386 
    1    16     8   1.5  1.00  490  1.00  1.228   0.088  0.056  0.395 
    1    16     9   2.5  1.00  492  1.00  1.043   0.069  0.061  0.420 
    1    16    10   3.5  1.00  427  1.10  0.905   0.047  0.069  0.428 
    1    16    11   4.5  0.61  400  1.60  0.833   0.087  0.072  0.403 
    1    16    12   5.5  0.00  490  2.40  0.779   0.152  0.068  0.396 
    2    46     1  -5.5  0.00  484  2.30  1.368   0.082  0.065  0.301 
    2    46     2  -4.5  0.57  408  1.50  1.451   0.074  0.065  0.306 
    2    46     3  -3.5  1.00  401  1.00  1.456   0.006  0.063  0.317 
    2    46     4  -2.5  1.00  453  1.00  1.288  -0.042  0.056  0.328 
    2    46     5  -1.5  1.00  467  1.00  1.180   0.069  0.054  0.329 
    2    46     6  -0.5  1.00  504  1.00  1.120   0.044  0.053  0.326 
    2    46     7   0.5  1.00  557  1.00  1.085   0.035  0.055  0.354 
    2    46     8   1.5  1.00  565  1.00  1.029   0.054  0.058  0.390 
    2    46     9   2.5  1.00  557  1.00  0.929   0.039  0.059  0.404 
    2    46    10   3.5  1.00  515  1.00  0.822   0.064  0.065  0.402 
    2    46    11   4.5  1.00  435  1.30  0.715   0.117  0.075  0.388 
    2    46    12   5.5  0.03  419  2.00  0.670   0.119  0.081  0.394 
    3    75     1  -5.5  0.01  426  1.90  1.233  -0.028  0.060  0.284 
    3    75     2  -4.5  1.00  408  1.20  1.235  -0.016  0.065  0.293 
    3    75     3  -3.5  1.00  549  1.00  1.186  -0.026  0.053  0.297 
    3    75     4  -2.5  1.00  560  1.00  1.049  -0.144  0.046  0.295 
    3    75     5  -1.5  1.00  610  1.00  0.974  -0.100  0.044  0.291 
    3    75     6  -0.5  1.00  609  1.00  0.890  -0.066  0.044  0.287 
    3    75     7   0.5  1.00  618  1.00  0.825  -0.054  0.052  0.326 
    3    75     8   1.5  1.00  588  1.00  0.774  -0.006  0.060  0.368 
    3    75     9   2.5  1.00  566  1.00  0.724  -0.073  0.063  0.378 
    3    75    10   3.5  1.00  551  1.00  0.652  -0.065  0.061  0.381 
    3    75    11   4.5  1.00  417  1.10  0.596   0.023  0.075  0.377 
    3    75    12   5.5  0.32  445  1.80  0.569   0.031  0.068  0.352 
    4   106     1  -5.5  0.52  462  1.80  1.233   0.042  0.060  0.268 
    4   106     2  -4.5  1.00  439  1.10  1.120   0.079  0.053  0.247 
    4   106     3  -3.5  1.00  563  1.00  1.003   0.016  0.043  0.251 
    4   106     4  -2.5  1.00  589  1.00  0.924  -0.036  0.040  0.252 
    4   106     5  -1.5  1.00  605  1.00  0.840  -0.146  0.044  0.280 
    4   106     6  -0.5  1.00  558  1.00  0.742  -0.153  0.051  0.309 
    4   106     7   0.5  1.00  542  1.00  0.656  -0.127  0.055  0.328 
    4   106     8   1.5  1.00  532  1.00  0.591  -0.075  0.058  0.351 
    4   106     9   2.5  1.00  536  1.00  0.555  -0.233  0.063  0.384 
    4   106    10   3.5  1.00  529  1.00  0.532  -0.197  0.062  0.392 
    4   106    11   4.5  1.00  449  1.10  0.530  -0.118  0.067  0.375 
    4   106    12   5.5  0.55  416  1.70  0.545  -0.139  0.069  0.351 
    5   136     1  -5.5  0.86  429  1.70  1.417   0.056  0.067  0.291 
    5   136     2  -4.5  1.00  438  1.10  1.326   0.001  0.062  0.285 
    5   136     3  -3.5  1.00  415  1.00  1.148  -0.009  0.062  0.304 
    5   136     4  -2.5  1.00  421  1.00  1.002   0.033  0.062  0.308 
    5   136     5  -1.5  1.00  425  1.00  0.815  -0.063  0.066  0.335 
    5   136     6  -0.5  1.00  489  1.10  0.665  -0.097  0.060  0.346 
    5   136     7   0.5  1.00  476  1.10  0.598  -0.091  0.069  0.387 
    5   136     8   1.5  1.00  470  1.10  0.558  -0.069  0.069  0.371 
    5   136     9   2.5  1.00  480  1.10  0.539  -0.137  0.064  0.346 
    5   136    10   3.5  1.00  400  1.00  0.570  -0.180  0.071  0.348 
    5   136    11   4.5  1.00  419  1.10  0.618  -0.210  0.074  0.360 
