# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class K
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  109  3.00  0.662  -0.228  0.071  0.369 
    1    16     2  -4.5  0.36  101  2.40  0.621  -0.206  0.072  0.385 
    1    16     3  -3.5  1.00  102  1.80  0.588  -0.177  0.074  0.410 
    1    16     4  -2.5  1.00  109  1.50  0.565  -0.163  0.069  0.390 
    1    16     5  -1.5  1.00  112  1.60  0.609  -0.139  0.077  0.427 
    1    16     6  -0.5  1.00  105  1.50  0.657  -0.110  0.077  0.468 
    1    16     7   0.5  1.00  109  1.40  0.703  -0.098  0.071  0.468 
    1    16     8   1.5  1.00  106  1.30  0.732  -0.092  0.080  0.505 
    1    16     9   2.5  1.00  114  1.40  0.756  -0.036  0.077  0.490 
    1    16    10   3.5  1.00  102  1.50  0.737  -0.001  0.086  0.535 
    1    16    11   4.5  0.61  104  2.00  0.808  -0.091  0.091  0.494 
    1    16    12   5.5  0.00  102  2.70  0.873  -0.232  0.105  0.497 
    2    46     1  -5.5  0.00  102  2.90  0.767  -0.417  0.068  0.301 
    2    46     2  -4.5  0.57  101  2.20  0.704  -0.396  0.073  0.347 
    2    46     3  -3.5  1.00  101  1.70  0.655  -0.379  0.075  0.354 
    2    46     4  -2.5  1.00  112  1.60  0.629  -0.369  0.082  0.413 
    2    46     5  -1.5  1.00  118  1.60  0.672  -0.312  0.095  0.502 
    2    46     6  -0.5  1.00  107  1.40  0.718  -0.226  0.113  0.607 
    2    46     7   0.5  1.00  112  1.40  0.755  -0.222  0.093  0.577 
    2    46     8   1.5  1.00  103  1.30  0.778  -0.132  0.101  0.577 
    2    46     9   2.5  1.00  113  1.30  0.837  -0.205  0.095  0.538 
    2    46    10   3.5  1.00  115  1.30  0.843  -0.242  0.096  0.516 
    2    46    11   4.5  1.00  112  1.70  0.942  -0.323  0.105  0.502 
    2    46    12   5.5  0.03  106  2.40  0.960  -0.317  0.108  0.514 
    3    75     1  -5.5  0.01  106  2.70  0.953  -0.374  0.086  0.360 
    3    75     2  -4.5  1.00  101  2.00  0.907  -0.448  0.088  0.347 
    3    75     3  -3.5  1.00  109  1.60  0.850  -0.406  0.082  0.353 
    3    75     4  -2.5  1.00  102  1.40  0.823  -0.339  0.088  0.399 
    3    75     5  -1.5  1.00  105  1.40  0.814  -0.353  0.113  0.520 
    3    75     6  -0.5  1.00  108  1.40  0.858  -0.381  0.136  0.635 
    3    75     7   0.5  1.00  101  1.40  0.986  -0.447  0.166  0.731 
    3    75     8   1.5  1.00  103  1.40  0.924  -0.289  0.156  0.641 
    3    75     9   2.5  1.00  117  1.40  0.974  -0.448  0.171  0.595 
    3    75    10   3.5  1.00  104  1.20  0.976  -0.708  0.177  0.568 
    3    75    11   4.5  1.00  103  1.50  1.043  -0.633  0.151  0.518 
    3    75    12   5.5  0.32  100  2.10  1.109  -0.390  0.169  0.549 
    4   106     1  -5.5  0.52  100  2.30  1.071  -0.337  0.082  0.335 
    4   106     2  -4.5  1.00  104  1.70  1.042  -0.334  0.083  0.354 
    4   106     3  -3.5  1.00  104  1.30  1.034  -0.415  0.088  0.364 
