# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class N
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  450  2.80  1.124  -0.375  0.114  0.522 
    1    16     2  -4.5  0.36  442  2.10  0.949  -0.399  0.112  0.549 
    1    16     3  -3.5  1.00  436  1.60  0.718  -0.055  0.114  0.583 
    1    16     4  -2.5  1.00  416  1.30  0.499  -0.110  0.124  0.689 
    1    16     5  -1.5  1.00  466  1.40  0.320   0.751  0.137  0.824 
    1    16     6  -0.5  1.00  468  1.40  0.350   1.924  0.170  0.903 
    1    16     7   0.5  1.00  411  1.30  0.626   2.713  0.156  0.741 
    1    16     8   1.5  1.00  403  1.20  0.867   2.345  0.114  0.624 
    1    16     9   2.5  1.00  426  1.20  0.921   1.948  0.109  0.627 
    1    16    10   3.5  1.00  430  1.40  0.784   1.870  0.122  0.692 
    1    16    11   4.5  0.61  422  1.90  0.768   2.085  0.116  0.652 
    1    16    12   5.5  0.00  402  2.60  0.738   2.101  0.118  0.634 
    2    46     1  -5.5  0.00  450  2.70  1.753   0.043  0.103  0.429 
    2    46     2  -4.5  0.57  431  2.00  1.498  -0.249  0.115  0.486 
    2    46     3  -3.5  1.00  406  1.40  1.259  -0.193  0.113  0.496 
    2    46     4  -2.5  1.00  431  1.30  0.900   0.495  0.114  0.536 
    2    46     5  -1.5  1.00  430  1.30  0.702   1.614  0.131  0.640 
    2    46     6  -0.5  1.00  400  1.20  0.644   2.537  0.143  0.707 
    2    46     7   0.5  1.00  443  1.20  0.796   2.766  0.127  0.687 
    2    46     8   1.5  1.00  451  1.20  1.083   2.487  0.109  0.601 
    2    46     9   2.5  1.00  400  1.10  1.243   2.207  0.110  0.585 
    2    46    10   3.5  1.00  456  1.20  0.993   2.185  0.120  0.636 
    2    46    11   4.5  1.00  406  1.60  0.852   2.239  0.129  0.663 
    2    46    12   5.5  0.03  427  2.40  0.795   2.155  0.125  0.663 
    3    75     1  -5.5  0.01  427  2.40  2.128   0.221  0.093  0.406 
    3    75     2  -4.5  1.00  410  1.70  1.988   0.175  0.093  0.410 
    3    75     3  -3.5  1.00  448  1.30  1.738   0.174  0.091  0.429 
    3    75     4  -2.5  1.00  408  1.20  1.417   0.909  0.098  0.428 
    3    75     5  -1.5  1.00  432  1.20  1.120   1.719  0.105  0.490 
    3    75     6  -0.5  1.00  433  1.20  0.983   2.385  0.112  0.565 
    3    75     7   0.5  1.00  442  1.20  1.023   2.668  0.113  0.582 
    3    75     8   1.5  1.00  450  1.20  1.208   2.629  0.110  0.560 
    3    75     9   2.5  1.00  433  1.20  1.401   2.409  0.097  0.526 
    3    75    10   3.5  1.00  452  1.20  1.133   2.236  0.110  0.569 
    3    75    11   4.5  1.00  430  1.50  0.865   2.016  0.128  0.651 
    3    75    12   5.5  0.32  426  2.20  0.737   1.863  0.132  0.651 
    4   106     1  -5.5  0.52  408  2.20  2.330   0.583  0.088  0.375 
    4   106     2  -4.5  1.00  410  1.50  2.258   0.645  0.088  0.379 
    4   106     3  -3.5  1.00  438  1.30  2.057   0.936  0.083  0.371 
    4   106     4  -2.5  1.00  434  1.30  1.797   1.701  0.075  0.359 
    4   106     5  -1.5  1.00  428  1.30  1.566   2.251  0.084  0.428 
    4   106     6  -0.5  1.00  432  1.30  1.310   2.431  0.105  0.534 
    4   106     7   0.5  1.00  459  1.30  1.088   2.676  0.114  0.581 
    4   106     8   1.5  1.00  460  1.30  1.016   2.654  0.124  0.604 
    4   106     9   2.5  1.00  469  1.30  1.045   2.174  0.121  0.589 
    4   106    10   3.5  1.00  465  1.30  0.895   1.695  0.122  0.604 
    4   106    11   4.5  1.00  422  1.50  0.728   1.522  0.132  0.648 
    4   106    12   5.5  0.55  431  2.20  0.642   1.703  0.130  0.636 
    5   136     1  -5.5  0.86  407  2.20  2.337   0.969  0.084  0.356 
    5   136     2  -4.5  1.00  423  1.60  2.245   1.049  0.085  0.369 
    5   136     3  -3.5  1.00  432  1.40  1.791   1.397  0.086  0.379 
    5   136     4  -2.5  1.00  439  1.40  1.563   2.012  0.081  0.389 
    5   136     5  -1.5  1.00  438  1.40  1.453   2.278  0.091  0.438 
    5   136     6  -0.5  1.00  459  1.40  1.160   2.363  0.116  0.547 
    5   136     7   0.5  1.00  400  1.30  0.861   2.505  0.136  0.617 
    5   136     8   1.5  1.00  450  1.40  0.723   2.513  0.132  0.634 
    5   136     9   2.5  1.00  419  1.40  0.724   2.124  0.137  0.648 
    5   136    10   3.5  1.00  455  1.40  0.657   1.671  0.126  0.636 
    5   136    11   4.5  1.00  425  1.60  0.559   1.489  0.134  0.640 
    5   136    12   5.5  0.75  431  2.20  0.486   1.583  0.126  0.615 
    6   167     1  -5.5  0.96  404  2.20  2.288   1.230  0.082  0.340 
    6   167     2  -4.5  1.00  405  1.60  2.057   1.299  0.094  0.365 
    6   167     3  -3.5  1.00  440  1.50  1.526   1.553  0.090  0.350 
    6   167     4  -2.5  1.00  438  1.50  1.224   2.154  0.086  0.383 
    6   167     5  -1.5  1.00  429  1.50  1.169   2.352  0.095  0.413 
    6   167     6  -0.5  1.00  429  1.50  0.998   2.346  0.106  0.450 
    6   167     7   0.5  1.00  406  1.50  0.715   2.315  0.123  0.512 
    6   167     8   1.5  1.00  410  1.50  0.529   2.279  0.141  0.664 
    6   167     9   2.5  1.00  434  1.60  0.466   2.036  0.132  0.641 
    6   167    10   3.5  1.00  402  1.50  0.448   1.811  0.130  0.592 
    6   167    11   4.5  1.00  428  1.70  0.411   1.748  0.123  0.572 
    6   167    12   5.5  0.95  400  2.10  0.385   1.746  0.123  0.590 
    7   197     1  -5.5  0.83  438  2.30  2.254   1.182  0.084  0.325 
    7   197     2  -4.5  1.00  423  1.70  2.021   1.180  0.091  0.333 
