# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Na
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  464  2.60  0.558  -0.014  0.097  0.500 
    1    16     2  -4.5  0.36  457  1.90  0.467   0.038  0.084  0.544 
    1    16     3  -3.5  1.00  452  1.40  0.428   0.009  0.082  0.506 
    1    16     4  -2.5  1.00  470  1.20  0.424   0.200  0.070  0.482 
    1    16     5  -1.5  1.00  453  1.20  0.444   0.157  0.062  0.432 
    1    16     6  -0.5  1.00  457  1.20  0.482   0.165  0.067  0.446 
    1    16     7   0.5  1.00  467  1.20  0.503   0.191  0.069  0.458 
    1    16     8   1.5  1.00  443  1.10  0.496   0.097  0.073  0.473 
    1    16     9   2.5  1.00  457  1.10  0.469   0.139  0.068  0.445 
    1    16    10   3.5  1.00  401  1.20  0.488   0.099  0.074  0.450 
    1    16    11   4.5  0.61  403  1.70  0.540   0.123  0.072  0.470 
    1    16    12   5.5  0.00  411  2.40  0.608   0.040  0.091  0.487 
    2    46     1  -5.5  0.00  440  2.40  0.868   0.288  0.138  0.471 
    2    46     2  -4.5  0.57  418  1.70  0.686  -0.105  0.117  0.482 
    2    46     3  -3.5  1.00  412  1.20  0.570  -0.117  0.104  0.527 
    2    46     4  -2.5  1.00  488  1.20  0.590   0.056  0.087  0.488 
    2    46     5  -1.5  1.00  402  1.10  0.619   0.121  0.079  0.449 
    2    46     6  -0.5  1.00  438  1.10  0.618   0.156  0.073  0.437 
    2    46     7   0.5  1.00  403  1.00  0.652   0.116  0.078  0.470 
    2    46     8   1.5  1.00  441  1.00  0.646   0.044  0.077  0.472 
    2    46     9   2.5  1.00  440  1.00  0.639  -0.001  0.077  0.470 
    2    46    10   3.5  1.00  431  1.00  0.612   0.051  0.073  0.456 
    2    46    11   4.5  1.00  434  1.40  0.712  -0.129  0.090  0.481 
    2    46    12   5.5  0.03  438  2.20  0.891  -0.031  0.121  0.478 
    3    75     1  -5.5  0.01  416  2.10  1.239   0.553  0.109  0.413 
    3    75     2  -4.5  1.00  432  1.40  1.113   0.565  0.116  0.420 
    3    75     3  -3.5  1.00  413  1.00  0.858   0.061  0.104  0.419 
    3    75     4  -2.5  1.00  417  1.00  0.916  -0.025  0.084  0.398 
    3    75     5  -1.5  1.00  444  1.00  0.925  -0.002  0.076  0.388 
    3    75     6  -0.5  1.00  428  1.00  0.904   0.010  0.079  0.393 
    3    75     7   0.5  1.00  441  1.00  0.911  -0.012  0.083  0.413 
    3    75     8   1.5  1.00  440  1.00  0.910  -0.071  0.090  0.448 
    3    75     9   2.5  1.00  421  1.00  0.949   0.011  0.099  0.469 
    3    75    10   3.5  1.00  434  1.00  1.001  -0.049  0.099  0.481 
    3    75    11   4.5  1.00  405  1.20  1.144   0.097  0.114  0.445 
    3    75    12   5.5  0.32  407  1.90  1.277   0.174  0.114  0.433 
    4   106     1  -5.5  0.52  417  1.90  1.409   0.546  0.083  0.374 
    4   106     2  -4.5  1.00  435  1.30  1.472   0.525  0.078  0.358 
    4   106     3  -3.5  1.00  432  1.10  1.462   0.496  0.073  0.326 
    4   106     4  -2.5  1.00  442  1.10  1.446   0.330  0.070  0.334 
