# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2Ac
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  428  2.80  0.967   0.348  0.066  0.385 
    1    16     2  -4.5  0.36  401  2.10  0.955   0.331  0.071  0.408 
    1    16     3  -3.5  1.00  441  1.70  0.947   0.357  0.065  0.411 
    1    16     4  -2.5  1.00  444  1.40  0.948   0.207  0.060  0.390 
    1    16     5  -1.5  1.00  433  1.40  1.020   0.241  0.056  0.374 
    1    16     6  -0.5  1.00  422  1.40  1.037   0.272  0.058  0.357 
    1    16     7   0.5  1.00  427  1.40  1.015   0.297  0.058  0.358 
    1    16     8   1.5  1.00  407  1.30  0.953   0.212  0.057  0.356 
    1    16     9   2.5  1.00  442  1.30  0.905   0.179  0.054  0.351 
    1    16    10   3.5  1.00  407  1.50  0.855   0.223  0.062  0.380 
    1    16    11   4.5  0.61  420  2.00  0.862   0.198  0.062  0.381 
    1    16    12   5.5  0.00  443  2.80  0.908   0.175  0.064  0.379 
    2    46     1  -5.5  0.00  423  2.80  1.013   0.348  0.073  0.382 
    2    46     2  -4.5  0.57  415  2.10  1.003   0.379  0.077  0.388 
    2    46     3  -3.5  1.00  418  1.60  0.976   0.373  0.072  0.383 
    2    46     4  -2.5  1.00  437  1.40  1.009   0.448  0.067  0.397 
    2    46     5  -1.5  1.00  452  1.40  1.041   0.458  0.060  0.385 
    2    46     6  -0.5  1.00  410  1.30  1.053   0.469  0.065  0.392 
    2    46     7   0.5  1.00  461  1.30  1.024   0.479  0.059  0.362 
    2    46     8   1.5  1.00  496  1.30  1.013   0.364  0.059  0.356 
    2    46     9   2.5  1.00  422  1.20  0.951   0.259  0.061  0.349 
    2    46    10   3.5  1.00  412  1.20  0.908   0.169  0.071  0.391 
    2    46    11   4.5  1.00  433  1.80  0.964   0.143  0.072  0.389 
    2    46    12   5.5  0.03  406  2.50  1.020   0.098  0.082  0.402 
    3    75     1  -5.5  0.01  413  2.60  1.046   0.372  0.072  0.354 
    3    75     2  -4.5  1.00  417  1.90  1.081   0.385  0.068  0.348 
    3    75     3  -3.5  1.00  405  1.40  1.105   0.507  0.068  0.347 
    3    75     4  -2.5  1.00  470  1.40  1.110   0.574  0.059  0.352 
    3    75     5  -1.5  1.00  429  1.30  1.105   0.535  0.060  0.359 
    3    75     6  -0.5  1.00  440  1.30  1.099   0.554  0.061  0.356 
    3    75     7   0.5  1.00  460  1.30  1.109   0.464  0.060  0.336 
    3    75     8   1.5  1.00  407  1.20  1.121   0.328  0.062  0.315 
    3    75     9   2.5  1.00  465  1.30  1.117   0.266  0.061  0.330 
    3    75    10   3.5  1.00  453  1.30  1.117   0.216  0.071  0.363 
    3    75    11   4.5  1.00  421  1.70  1.140   0.152  0.080  0.380 
    3    75    12   5.5  0.32  431  2.40  1.156   0.198  0.076  0.368 
    4   106     1  -5.5  0.52  401  2.30  0.999   0.404  0.076  0.361 
    4   106     2  -4.5  1.00  439  1.70  1.025   0.402  0.070  0.351 
    4   106     3  -3.5  1.00  406  1.30  1.110   0.268  0.069  0.338 
    4   106     4  -2.5  1.00  451  1.40  1.093   0.357  0.062  0.332 
    4   106     5  -1.5  1.00  440  1.40  1.090   0.396  0.061  0.327 
    4   106     6  -0.5  1.00  419  1.40  1.127   0.318  0.061  0.313 
    4   106     7   0.5  1.00  449  1.40  1.173   0.267  0.055  0.294 
    4   106     8   1.5  1.00  427  1.40  1.238   0.258  0.055  0.278 
    4   106     9   2.5  1.00  441  1.40  1.292   0.287  0.056  0.294 
    4   106    10   3.5  1.00  405  1.40  1.351   0.300  0.061  0.312 
    4   106    11   4.5  1.00  410  1.70  1.281   0.246  0.067  0.338 
    4   106    12   5.5  0.55  448  2.40  1.258   0.285  0.067  0.349 
    5   136     1  -5.5  0.86  429  2.40  0.905   0.463  0.087  0.396 
    5   136     2  -4.5  1.00  408  1.70  0.930   0.426  0.083  0.387 
    5   136     3  -3.5  1.00  419  1.50  0.964   0.442  0.076  0.376 
    5   136     4  -2.5  1.00  410  1.50  0.976   0.482  0.076  0.370 
    5   136     5  -1.5  1.00  400  1.50  0.986   0.557  0.073  0.348 
    5   136     6  -0.5  1.00  403  1.60  1.027   0.559  0.071  0.328 
    5   136     7   0.5  1.00  406  1.60  1.097   0.439  0.066  0.305 
    5   136     8   1.5  1.00  433  1.70  1.173   0.365  0.062  0.297 
    5   136     9   2.5  1.00  429  1.70  1.257   0.371  0.056  0.280 
    5   136    10   3.5  1.00  440  1.70  1.353   0.343  0.058  0.315 
    5   136    11   4.5  1.00  436  1.90  1.335   0.389  0.062  0.333 
    5   136    12   5.5  0.75  425  2.40  1.298   0.376  0.067  0.339 
    6   167     1  -5.5  0.96  408  2.40  0.762   0.612  0.101  0.451 
    6   167     2  -4.5  1.00  402  1.80  0.724   0.498  0.098  0.449 
    6   167     3  -3.5  1.00  441  1.70  0.727   0.529  0.090  0.422 
    6   167     4  -2.5  1.00  416  1.70  0.741   0.569  0.092  0.422 
