# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  419  2.40  2.699   0.058  0.059  0.294 
    1    16     2  -4.5  0.36  441  1.70  2.424   0.119  0.060  0.316 
    1    16     3  -3.5  1.00  456  1.20  1.947   0.258  0.059  0.306 
    1    16     4  -2.5  1.00  487  1.00  1.356   0.145  0.059  0.300 
    1    16     5  -1.5  1.00  461  1.00  0.949   0.210  0.055  0.355 
    1    16     6  -0.5  1.00  435  1.00  0.822   0.241  0.059  0.369 
    1    16     7   0.5  1.00  454  1.00  0.785   0.204  0.064  0.436 
    1    16     8   1.5  1.00  484  1.00  0.710   0.207  0.066  0.458 
    1    16     9   2.5  1.00  487  1.00  0.607   0.218  0.059  0.408 
    1    16    10   3.5  1.00  430  1.10  0.539   0.238  0.065  0.412 
    1    16    11   4.5  0.61  403  1.60  0.515   0.250  0.068  0.399 
    1    16    12   5.5  0.00  493  2.40  0.517   0.308  0.061  0.389 
    2    46     1  -5.5  0.00  487  2.30  2.677   0.200  0.070  0.314 
    2    46     2  -4.5  0.57  409  1.50  2.480   0.117  0.078  0.327 
    2    46     3  -3.5  1.00  403  1.00  2.001   0.196  0.083  0.332 
    2    46     4  -2.5  1.00  450  1.00  1.148   0.216  0.055  0.282 
    2    46     5  -1.5  1.00  464  1.00  0.830   0.338  0.050  0.335 
    2    46     6  -0.5  1.00  502  1.00  0.742   0.472  0.053  0.356 
    2    46     7   0.5  1.00  553  1.00  0.707   0.406  0.060  0.408 
    2    46     8   1.5  1.00  561  1.00  0.682   0.288  0.061  0.416 
    2    46     9   2.5  1.00  553  1.00  0.616   0.261  0.055  0.381 
    2    46    10   3.5  1.00  518  1.00  0.551   0.284  0.059  0.382 
    2    46    11   4.5  1.00  440  1.30  0.531   0.334  0.072  0.406 
    2    46    12   5.5  0.03  423  2.00  0.555   0.318  0.079  0.400 
    3    75     1  -5.5  0.01  430  1.90  2.878   0.184  0.069  0.310 
    3    75     2  -4.5  1.00  412  1.20  2.682   0.166  0.075  0.300 
    3    75     3  -3.5  1.00  548  1.00  1.844   0.163  0.073  0.279 
    3    75     4  -2.5  1.00  556  1.00  1.035   0.324  0.046  0.262 
    3    75     5  -1.5  1.00  613  1.00  0.777   0.508  0.039  0.272 
    3    75     6  -0.5  1.00  607  1.00  0.679   0.606  0.047  0.319 
    3    75     7   0.5  1.00  609  1.00  0.621   0.554  0.053  0.348 
    3    75     8   1.5  1.00  583  1.00  0.578   0.428  0.060  0.376 
    3    75     9   2.5  1.00  565  1.00  0.577   0.397  0.061  0.377 
    3    75    10   3.5  1.00  549  1.00  0.584   0.431  0.065  0.404 
    3    75    11   4.5  1.00  419  1.10  0.607   0.432  0.080  0.392 
    3    75    12   5.5  0.32  448  1.80  0.630   0.369  0.079  0.390 
    4   106     1  -5.5  0.52  464  1.80  2.819   0.073  0.073  0.327 
    4   106     2  -4.5  1.00  443  1.10  2.522   0.144  0.079  0.323 
    4   106     3  -3.5  1.00  570  1.00  1.530   0.130  0.062  0.251 
    4   106     4  -2.5  1.00  593  1.00  0.946   0.288  0.043  0.268 
    4   106     5  -1.5  1.00  619  1.00  0.742   0.312  0.044  0.278 
    4   106     6  -0.5  1.00  570  1.00  0.651   0.352  0.050  0.318 
    4   106     7   0.5  1.00  548  1.00  0.618   0.392  0.055  0.343 
    4   106     8   1.5  1.00  543  1.00  0.612   0.434  0.058  0.357 
    4   106     9   2.5  1.00  546  1.00  0.654   0.418  0.060  0.369 
    4   106    10   3.5  1.00  534  1.00  0.717   0.352  0.060  0.367 
    4   106    11   4.5  1.00  402  1.00  0.755   0.269  0.073  0.373 
    4   106    12   5.5  0.55  424  1.70  0.773   0.249  0.078  0.382 
    5   136     1  -5.5  0.86  424  1.70  2.682   0.227  0.082  0.349 
    5   136     2  -4.5  1.00  437  1.10  2.326   0.189  0.091  0.357 
    5   136     3  -3.5  1.00  419  1.00  1.241   0.305  0.067  0.279 
    5   136     4  -2.5  1.00  423  1.00  0.824   0.410  0.054  0.267 
    5   136     5  -1.5  1.00  433  1.00  0.638   0.382  0.056  0.285 
    5   136     6  -0.5  1.00  407  1.00  0.551   0.326  0.059  0.308 
