# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class O2b
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  480  2.50  0.978   0.453  0.059  0.366 
    1    16     2  -4.5  0.36  419  1.70  0.949   0.472  0.067  0.397 
    1    16     3  -3.5  1.00  426  1.20  0.936   0.478  0.068  0.421 
    1    16     4  -2.5  1.00  425  1.00  0.936   0.386  0.064  0.404 
    1    16     5  -1.5  1.00  405  1.00  1.032   0.329  0.062  0.396 
    1    16     6  -0.5  1.00  468  1.10  1.105   0.324  0.057  0.395 
    1    16     7   0.5  1.00  411  1.00  1.115   0.265  0.062  0.416 
    1    16     8   1.5  1.00  440  1.00  1.042   0.269  0.062  0.422 
    1    16     9   2.5  1.00  451  1.00  0.940   0.288  0.055  0.373 
    1    16    10   3.5  1.00  452  1.20  0.870   0.327  0.056  0.368 
    1    16    11   4.5  0.61  449  1.70  0.855   0.361  0.058  0.370 
    1    16    12   5.5  0.00  452  2.40  0.880   0.340  0.061  0.361 
    2    46     1  -5.5  0.00  449  2.30  1.038   0.331  0.064  0.324 
    2    46     2  -4.5  0.57  419  1.60  0.975   0.405  0.065  0.326 
    2    46     3  -3.5  1.00  423  1.10  0.965   0.436  0.067  0.362 
    2    46     4  -2.5  1.00  404  1.00  1.014   0.475  0.068  0.397 
    2    46     5  -1.5  1.00  423  1.00  1.082   0.483  0.064  0.408 
    2    46     6  -0.5  1.00  473  1.00  1.104   0.578  0.058  0.397 
    2    46     7   0.5  1.00  508  1.00  1.100   0.506  0.058  0.411 
    2    46     8   1.5  1.00  530  1.00  1.068   0.384  0.057  0.399 
    2    46     9   2.5  1.00  517  1.00  0.986   0.394  0.052  0.358 
    2    46    10   3.5  1.00  484  1.00  0.900   0.401  0.055  0.355 
    2    46    11   4.5  1.00  407  1.30  0.912   0.340  0.066  0.357 
    2    46    12   5.5  0.03  429  2.10  1.002   0.313  0.074  0.351 
    3    75     1  -5.5  0.01  407  1.90  1.065   0.309  0.058  0.278 
    3    75     2  -4.5  1.00  477  1.30  1.066   0.333  0.057  0.294 
    3    75     3  -3.5  1.00  532  1.00  1.010   0.428  0.054  0.307 
    3    75     4  -2.5  1.00  533  1.00  1.034   0.610  0.053  0.332 
    3    75     5  -1.5  1.00  565  1.00  1.063   0.718  0.052  0.349 
    3    75     6  -0.5  1.00  571  1.00  1.088   0.716  0.054  0.371 
    3    75     7   0.5  1.00  582  1.00  1.086   0.657  0.055  0.376 
    3    75     8   1.5  1.00  550  1.00  1.060   0.464  0.059  0.376 
    3    75     9   2.5  1.00  509  1.00  1.070   0.441  0.063  0.368 
    3    75    10   3.5  1.00  506  1.00  1.094   0.416  0.064  0.365 
    3    75    11   4.5  1.00  452  1.20  1.158   0.326  0.070  0.333 
    3    75    12   5.5  0.32  458  1.90  1.215   0.313  0.069  0.330 
    4   106     1  -5.5  0.52  455  1.80  1.047   0.277  0.058  0.284 
    4   106     2  -4.5  1.00  422  1.10  1.091   0.198  0.058  0.286 
    4   106     3  -3.5  1.00  523  1.00  1.063   0.208  0.050  0.287 
    4   106     4  -2.5  1.00  547  1.00  1.063   0.340  0.050  0.299 
    4   106     5  -1.5  1.00  525  1.00  1.089   0.397  0.053  0.319 
    4   106     6  -0.5  1.00  491  1.00  1.123   0.398  0.055  0.323 
    4   106     7   0.5  1.00  495  1.00  1.189   0.411  0.059  0.340 
    4   106     8   1.5  1.00  492  1.00  1.238   0.358  0.057  0.331 
    4   106     9   2.5  1.00  495  1.00  1.316   0.364  0.059  0.337 
    4   106    10   3.5  1.00  482  1.00  1.425   0.290  0.055  0.321 
    4   106    11   4.5  1.00  406  1.10  1.456   0.253  0.058  0.297 
    4   106    12   5.5  0.55  433  1.80  1.408   0.296  0.060  0.300 
    5   136     1  -5.5  0.86  417  1.70  0.930   0.421  0.069  0.301 
    5   136     2  -4.5  1.00  432  1.10  0.930   0.477  0.064  0.306 
    5   136     3  -3.5  1.00  497  1.10  0.928   0.421  0.058  0.328 
    5   136     4  -2.5  1.00  474  1.10  0.924   0.433  0.061  0.336 
    5   136     5  -1.5  1.00  451  1.10  0.942   0.424  0.062  0.343 
    5   136     6  -0.5  1.00  431  1.10  0.977   0.392  0.067  0.353 
    5   136     7   0.5  1.00  433  1.10  1.095   0.397  0.070  0.362 
    5   136     8   1.5  1.00  428  1.10  1.221   0.323  0.067  0.350 
    5   136     9   2.5  1.00  417  1.10  1.344   0.233  0.063  0.328 
    5   136    10   3.5  1.00  409  1.10  1.466   0.278  0.058  0.305 
    5   136    11   4.5  1.00  430  1.20  1.486   0.315  0.057  0.305 
    5   136    12   5.5  0.75  419  1.70  1.462   0.356  0.059  0.302 
    6   167     1  -5.5  0.96  447  1.80  0.763   0.439  0.070  0.326 
    6   167     2  -4.5  1.00  420  1.20  0.766   0.445  0.075  0.348 
    6   167     3  -3.5  1.00  403  1.10  0.759   0.494  0.082  0.376 
    6   167     4  -2.5  1.00  433  1.20  0.731   0.414  0.079  0.382 
    6   167     5  -1.5  1.00  421  1.20  0.736   0.384  0.077  0.372 
    6   167     6  -0.5  1.00  420  1.20  0.773   0.325  0.073  0.372 
    6   167     7   0.5  1.00  429  1.20  0.851   0.336  0.079  0.383 
    6   167     8   1.5  1.00  416  1.20  0.980   0.433  0.081  0.369 
    6   167     9   2.5  1.00  410  1.20  1.120   0.481  0.085  0.353 
    6   167    10   3.5  1.00  454  1.20  1.264   0.432  0.075  0.343 
    6   167    11   4.5  1.00  425  1.10  1.336   0.479  0.074  0.336 
    6   167    12   5.5  0.95  421  1.60  1.294   0.460  0.076  0.340 
    7   197     1  -5.5  0.83  459  1.80  0.674   0.429  0.078  0.344 
    7   197     2  -4.5  1.00  465  1.30  0.636   0.474  0.078  0.364 
    7   197     3  -3.5  1.00  419  1.20  0.616   0.540  0.085  0.377 
    7   197     4  -2.5  1.00  463  1.30  0.621   0.607  0.083  0.368 
    7   197     5  -1.5  1.00  421  1.30  0.623   0.581  0.084  0.361 
    7   197     6  -0.5  1.00  440  1.30  0.627   0.435  0.077  0.356 
    7   197     7   0.5  1.00  477  1.30  0.681   0.374  0.079  0.364 
    7   197     8   1.5  1.00  416  1.20  0.747   0.445  0.091  0.373 
    7   197     9   2.5  1.00  458  1.20  0.863   0.473  0.096  0.383 
    7   197    10   3.5  1.00  456  1.10  1.018   0.530  0.095  0.392 
    7   197    11   4.5  1.00  415  1.00  1.094   0.372  0.089  0.373 
    7   197    12   5.5  1.00  442  1.50  1.120   0.394  0.086  0.364 
    8   228     1  -5.5  0.63  417  1.80  0.651   0.301  0.090  0.366 
    8   228     2  -4.5  1.00  413  1.20  0.634   0.372  0.097  0.370 
    8   228     3  -3.5  1.00  461  1.20  0.619   0.506  0.098  0.376 
    8   228     4  -2.5  1.00  411  1.20  0.599   0.556  0.097  0.355 
