# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH4c
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  479  2.40  1.091   0.167  0.045  0.272 
    1    16     2  -4.5  0.36  413  1.60  1.030   0.183  0.049  0.292 
    1    16     3  -3.5  1.00  444  1.10  0.996   0.218  0.051  0.320 
    1    16     4  -2.5  1.00  539  1.00  0.986   0.236  0.048  0.342 
    1    16     5  -1.5  1.00  505  1.00  0.993   0.175  0.047  0.337 
    1    16     6  -0.5  1.00  481  1.00  1.026   0.187  0.046  0.320 
    1    16     7   0.5  1.00  517  1.00  1.034   0.146  0.045  0.335 
    1    16     8   1.5  1.00  545  1.00  0.995   0.137  0.047  0.351 
    1    16     9   2.5  1.00  557  1.00  0.934   0.144  0.045  0.337 
    1    16    10   3.5  1.00  413  1.00  0.891   0.138  0.055  0.352 
    1    16    11   4.5  0.61  404  1.50  0.882   0.107  0.057  0.339 
    1    16    12   5.5  0.00  456  2.30  0.883   0.081  0.054  0.321 
    2    46     1  -5.5  0.00  422  2.20  1.231   0.087  0.053  0.248 
    2    46     2  -4.5  0.57  448  1.49  1.150   0.102  0.051  0.257 
    2    46     3  -3.5  1.00  459  1.00  1.053   0.162  0.049  0.275 
    2    46     4  -2.5  1.00  531  1.00  0.987   0.213  0.040  0.280 
    2    46     5  -1.5  1.00  542  1.00  1.005   0.237  0.039  0.289 
    2    46     6  -0.5  1.00  579  1.00  1.020   0.239  0.037  0.281 
    2    46     7   0.5  1.00  632  1.00  1.020   0.218  0.039  0.298 
    2    46     8   1.5  1.00  629  1.00  1.000   0.122  0.042  0.313 
    2    46     9   2.5  1.00  611  1.00  0.967   0.057  0.042  0.313 
    2    46    10   3.5  1.00  581  1.00  0.921   0.060  0.045  0.311 
    2    46    11   4.5  1.00  480  1.30  0.898   0.083  0.053  0.312 
    2    46    12   5.5  0.03  402  1.90  0.921   0.119  0.060  0.307 
    3    75     1  -5.5  0.01  471  1.90  1.324   0.136  0.044  0.232 
    3    75     2  -4.5  1.00  446  1.20  1.304   0.123  0.045  0.229 
    3    75     3  -3.5  1.00  609  1.00  1.207   0.082  0.038  0.234 
    3    75     4  -2.5  1.00  625  1.00  1.128   0.149  0.036  0.247 
    3    75     5  -1.5  1.00  671  1.00  1.068   0.209  0.035  0.256 
    3    75     6  -0.5  1.00  675  1.00  1.009   0.281  0.034  0.246 
    3    75     7   0.5  1.00  678  1.00  0.951   0.311  0.035  0.244 
    3    75     8   1.5  1.00  651  1.00  0.910   0.224  0.040  0.267 
    3    75     9   2.5  1.00  627  1.00  0.911   0.155  0.043  0.282 
    3    75    10   3.5  1.00  606  1.00  0.931   0.170  0.046  0.304 
    3    75    11   4.5  1.00  409  1.00  0.954   0.201  0.058  0.292 
    3    75    12   5.5  0.32  435  1.73  0.990   0.201  0.060  0.307 
    4   106     1  -5.5  0.52  421  1.70  1.359   0.112  0.051  0.253 
    4   106     2  -4.5  1.00  438  1.00  1.342   0.109  0.047  0.241 
    4   106     3  -3.5  1.00  637  1.00  1.240   0.102  0.037  0.238 
    4   106     4  -2.5  1.00  661  1.00  1.136   0.103  0.036  0.235 
    4   106     5  -1.5  1.00  681  1.00  1.043   0.088  0.036  0.239 
    4   106     6  -0.5  1.00  628  1.00  0.963   0.129  0.035  0.234 
    4   106     7   0.5  1.00  611  1.00  0.910   0.165  0.036  0.242 
    4   106     8   1.5  1.00  605  1.00  0.906   0.217  0.039  0.255 
    4   106     9   2.5  1.00  614  1.00  0.956   0.241  0.044  0.283 
    4   106    10   3.5  1.00  614  1.00  1.030   0.217  0.047  0.299 
    4   106    11   4.5  1.00  470  1.00  1.114   0.175  0.058  0.315 
    4   106    12   5.5  0.55  428  1.60  1.163   0.109  0.063  0.313 
    5   136     1  -5.5  0.86  441  1.60  1.269   0.145  0.056  0.271 
    5   136     2  -4.5  1.00  423  1.00  1.229   0.198  0.057  0.278 
    5   136     3  -3.5  1.00  484  1.00  1.099   0.244  0.049  0.263 
    5   136     4  -2.5  1.00  468  1.00  1.001   0.243  0.049  0.268 
    5   136     5  -1.5  1.00  469  1.00  0.917   0.185  0.047  0.261 
    5   136     6  -0.5  1.00  444  1.00  0.867   0.092  0.046  0.259 
    5   136     7   0.5  1.00  436  1.00  0.906   0.097  0.053  0.289 
    5   136     8   1.5  1.00  444  1.00  0.993   0.123  0.051  0.277 
    5   136     9   2.5  1.00  457  1.00  1.077   0.096  0.051  0.274 
    5   136    10   3.5  1.00  464  1.00  1.185   0.086  0.053  0.278 
    5   136    11   4.5  1.00  420  1.00  1.268   0.017  0.059  0.300 
    5   136    12   5.5  0.75  430  1.50  1.262   0.067  0.060  0.304 
    6   167     1  -5.5  0.96  430  1.60  1.174   0.001  0.066  0.306 
    6   167     2  -4.5  1.00  416  1.00  1.083   0.068  0.064  0.294 
    6   167     3  -3.5  1.00  456  1.00  0.965   0.180  0.054  0.278 
    6   167     4  -2.5  1.00  433  1.00  0.915   0.206  0.061  0.302 
    6   167     5  -1.5  1.00  410  1.00  0.870   0.243  0.066  0.310 
    6   167     6  -0.5  1.00  409  1.00  0.842   0.242  0.060  0.301 
    6   167     7   0.5  1.00  428  1.00  0.855   0.199  0.060  0.314 
    6   167     8   1.5  1.00  416  1.00  0.911   0.241  0.067  0.334 
    6   167     9   2.5  1.00  463  1.10  0.974   0.238  0.066  0.321 
