# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH5b
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  480  2.40  1.057   0.179  0.054  0.326 
    1    16     2  -4.5  0.36  417  1.60  0.979   0.199  0.058  0.352 
    1    16     3  -3.5  1.00  448  1.10  0.941   0.229  0.060  0.384 
    1    16     4  -2.5  1.00  545  1.00  0.940   0.277  0.058  0.413 
    1    16     5  -1.5  1.00  508  1.00  0.931   0.205  0.057  0.410 
    1    16     6  -0.5  1.00  484  1.00  0.960   0.185  0.056  0.388 
    1    16     7   0.5  1.00  517  1.00  0.961   0.156  0.055  0.404 
    1    16     8   1.5  1.00  545  1.00  0.924   0.135  0.058  0.435 
    1    16     9   2.5  1.00  557  1.00  0.868   0.117  0.057  0.432 
    1    16    10   3.5  1.00  416  1.00  0.831   0.083  0.069  0.448 
    1    16    11   4.5  0.61  405  1.50  0.830   0.053  0.071  0.428 
    1    16    12   5.5  0.00  456  2.30  0.834   0.013  0.068  0.406 
    2    46     1  -5.5  0.00  425  2.20  1.281   0.061  0.065  0.294 
    2    46     2  -4.5  0.57  456  1.50  1.181   0.075  0.062  0.311 
    2    46     3  -3.5  1.00  461  1.00  1.048   0.155  0.060  0.332 
    2    46     4  -2.5  1.00  536  1.00  0.965   0.190  0.050  0.348 
    2    46     5  -1.5  1.00  544  1.00  0.975   0.233  0.048  0.355 
    2    46     6  -0.5  1.00  579  1.00  0.978   0.208  0.044  0.335 
    2    46     7   0.5  1.00  632  1.00  0.973   0.179  0.046  0.354 
    2    46     8   1.5  1.00  628  1.00  0.949   0.065  0.051  0.381 
    2    46     9   2.5  1.00  610  1.00  0.919  -0.023  0.052  0.386 
    2    46    10   3.5  1.00  581  1.00  0.882  -0.038  0.056  0.387 
    2    46    11   4.5  1.00  480  1.30  0.860  -0.012  0.066  0.386 
    2    46    12   5.5  0.03  406  1.91  0.887   0.038  0.073  0.372 
    3    75     1  -5.5  0.01  417  1.83  1.432   0.119  0.055  0.275 
    3    75     2  -4.5  1.00  447  1.20  1.394   0.108  0.054  0.277 
    3    75     3  -3.5  1.00  610  1.00  1.289   0.029  0.047  0.291 
    3    75     4  -2.5  1.00  626  1.00  1.195   0.070  0.047  0.318 
    3    75     5  -1.5  1.00  671  1.00  1.101   0.134  0.046  0.332 
    3    75     6  -0.5  1.00  676  1.00  1.004   0.242  0.044  0.316 
    3    75     7   0.5  1.00  679  1.00  0.915   0.282  0.043  0.307 
    3    75     8   1.5  1.00  651  1.00  0.857   0.197  0.049  0.324 
    3    75     9   2.5  1.00  627  1.00  0.850   0.108  0.052  0.341 
    3    75    10   3.5  1.00  607  1.00  0.877   0.105  0.054  0.361 
    3    75    11   4.5  1.00  411  1.00  0.909   0.144  0.068  0.343 
    3    75    12   5.5  0.32  411  1.71  0.957   0.194  0.071  0.359 
    4   106     1  -5.5  0.52  425  1.70  1.473   0.066  0.058  0.295 
    4   106     2  -4.5  1.00  440  1.00  1.457   0.084  0.054  0.282 
    4   106     3  -3.5  1.00  638  1.00  1.347   0.077  0.045  0.288 
    4   106     4  -2.5  1.00  661  1.00  1.211   0.061  0.045  0.296 
    4   106     5  -1.5  1.00  681  1.00  1.080   0.022  0.046  0.312 
    4   106     6  -0.5  1.00  629  1.00  0.957   0.087  0.046  0.302 
    4   106     7   0.5  1.00  612  1.00  0.862   0.144  0.046  0.305 
