# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH6d
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  477  2.42  1.021   0.188  0.041  0.255 
    1    16     2  -4.5  0.36  412  1.62  0.984   0.202  0.046  0.273 
    1    16     3  -3.5  1.00  442  1.12  0.974   0.217  0.047  0.293 
    1    16     4  -2.5  1.00  527  1.00  0.994   0.207  0.042  0.292 
    1    16     5  -1.5  1.00  496  1.00  1.037   0.146  0.040  0.282 
    1    16     6  -0.5  1.00  471  1.00  1.080   0.166  0.040  0.272 
    1    16     7   0.5  1.00  503  1.00  1.091   0.119  0.039  0.287 
    1    16     8   1.5  1.00  529  1.00  1.061   0.115  0.040  0.293 
    1    16     9   2.5  1.00  541  1.00  1.008   0.127  0.038  0.280 
    1    16    10   3.5  1.00  414  1.02  0.961   0.140  0.045  0.285 
    1    16    11   4.5  0.61  416  1.54  0.955   0.103  0.046  0.274 
    1    16    12   5.5  0.00  461  2.32  0.956   0.100  0.044  0.264 
    2    46     1  -5.5  0.00  421  2.22  1.104   0.085  0.048  0.230 
    2    46     2  -4.5  0.57  454  1.54  1.061   0.114  0.044  0.234 
    2    46     3  -3.5  1.00  450  1.02  1.016   0.151  0.044  0.253 
    2    46     4  -2.5  1.00  511  1.00  1.010   0.192  0.037  0.253 
    2    46     5  -1.5  1.00  522  1.00  1.051   0.197  0.035  0.246 
