# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class OH7a
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  477  2.40  1.063   0.147  0.043  0.255 
    1    16     2  -4.5  0.36  425  1.61  0.999   0.164  0.045  0.274 
    1    16     3  -3.5  1.00  446  1.10  0.964   0.183  0.047  0.299 
    1    16     4  -2.5  1.00  540  1.00  0.960   0.205  0.044  0.312 
    1    16     5  -1.5  1.00  503  1.00  0.947   0.155  0.043  0.306 
    1    16     6  -0.5  1.00  478  1.00  0.963   0.134  0.042  0.294 
    1    16     7   0.5  1.00  512  1.00  0.971   0.114  0.042  0.313 
    1    16     8   1.5  1.00  541  1.00  0.952   0.111  0.044  0.335 
    1    16     9   2.5  1.00  552  1.00  0.917   0.094  0.044  0.329 
    1    16    10   3.5  1.00  420  1.01  0.889   0.070  0.052  0.339 
    1    16    11   4.5  0.61  407  1.51  0.886   0.053  0.054  0.324 
    1    16    12   5.5  0.00  454  2.30  0.889   0.018  0.052  0.309 
    2    46     1  -5.5  0.00  435  2.21  1.236   0.048  0.052  0.234 
    2    46     2  -4.5  0.57  454  1.50  1.161   0.059  0.051  0.247 
    2    46     3  -3.5  1.00  457  1.00  1.053   0.118  0.048  0.261 
    2    46     4  -2.5  1.00  531  1.00  0.987   0.136  0.039  0.269 
    2    46     5  -1.5  1.00  538  1.00  0.988   0.166  0.037  0.269 
    2    46     6  -0.5  1.00  571  1.00  0.985   0.161  0.034  0.260 
    2    46     7   0.5  1.00  624  1.00  0.982   0.150  0.036  0.274 
    2    46     8   1.5  1.00  623  1.00  0.970   0.072  0.039  0.293 
    2    46     9   2.5  1.00  604  1.00  0.953   0.012  0.040  0.295 
    2    46    10   3.5  1.00  574  1.00  0.926  -0.006  0.043  0.295 
    2    46    11   4.5  1.00  476  1.30  0.907   0.008  0.051  0.296 
    2    46    12   5.5  0.03  406  1.91  0.924   0.046  0.056  0.287 
    3    75     1  -5.5  0.01  408  1.82  1.351   0.099  0.044  0.219 
    3    75     2  -4.5  1.00  444  1.20  1.325   0.095  0.043  0.218 
    3    75     3  -3.5  1.00  606  1.00  1.243   0.026  0.037  0.225 
    3    75     4  -2.5  1.00  621  1.00  1.158   0.049  0.035  0.238 
    3    75     5  -1.5  1.00  664  1.00  1.079   0.092  0.034  0.246 
    3    75     6  -0.5  1.00  670  1.00  1.006   0.177  0.033  0.239 
    3    75     7   0.5  1.00  673  1.00  0.940   0.215  0.033  0.234 
    3    75     8   1.5  1.00  646  1.00  0.898   0.159  0.037  0.246 
    3    75     9   2.5  1.00  621  1.00  0.893   0.103  0.041  0.263 
    3    75    10   3.5  1.00  602  1.00  0.915   0.097  0.043  0.282 
    3    75    11   4.5  1.00  412  1.01  0.939   0.125  0.053  0.273 
    3    75    12   5.5  0.32  409  1.71  0.961   0.156  0.055  0.282 
    4   106     1  -5.5  0.52  432  1.71  1.358   0.053  0.046  0.231 
    4   106     2  -4.5  1.00  442  1.01  1.355   0.063  0.043  0.227 
    4   106     3  -3.5  1.00  629  1.00  1.276   0.057  0.036  0.227 
    4   106     4  -2.5  1.00  655  1.00  1.169   0.048  0.034  0.224 
    4   106     5  -1.5  1.00  672  1.00  1.061   0.018  0.034  0.228 
    4   106     6  -0.5  1.00  621  1.00  0.966   0.062  0.034  0.220 
    4   106     7   0.5  1.00  606  1.00  0.890   0.106  0.035  0.228 
    4   106     8   1.5  1.00  600  1.00  0.872   0.166  0.037  0.240 
    4   106     9   2.5  1.00  608  1.00  0.905   0.188  0.042  0.265 
    4   106    10   3.5  1.00  608  1.00  0.961   0.182  0.044  0.281 
    4   106    11   4.5  1.00  465  1.00  1.039   0.162  0.054  0.294 
    4   106    12   5.5  0.55  430  1.61  1.087   0.087  0.058  0.290 
    5   136     1  -5.5  0.86  442  1.60  1.270   0.082  0.050  0.248 
    5   136     2  -4.5  1.00  432  1.01  1.232   0.125  0.051  0.254 
    5   136     3  -3.5  1.00  479  1.00  1.125   0.177  0.046  0.248 
    5   136     4  -2.5  1.00  465  1.00  1.028   0.175  0.046  0.252 
    5   136     5  -1.5  1.00  466  1.00  0.947   0.092  0.043  0.243 
    5   136     6  -0.5  1.00  443  1.00  0.884   0.001  0.042  0.238 
    5   136     7   0.5  1.00  445  1.01  0.896   0.012  0.047  0.263 
    5   136     8   1.5  1.00  450  1.01  0.964   0.042  0.049  0.267 
    5   136     9   2.5  1.00  459  1.01  1.023   0.038  0.048  0.261 
    5   136    10   3.5  1.00  464  1.01  1.101   0.052  0.049  0.259 
    5   136    11   4.5  1.00  422  1.01  1.169  -0.006  0.055  0.279 
    5   136    12   5.5  0.75  432  1.51  1.174   0.041  0.056  0.285 
    6   167     1  -5.5  0.96  429  1.60  1.189  -0.068  0.060  0.281 
    6   167     2  -4.5  1.00  420  1.01  1.120   0.001  0.060  0.279 
    6   167     3  -3.5  1.00  450  1.00  1.015   0.104  0.051  0.260 
    6   167     4  -2.5  1.00  438  1.01  0.976   0.122  0.058  0.286 
    6   167     5  -1.5  1.00  416  1.01  0.935   0.193  0.063  0.299 
    6   167     6  -0.5  1.00  413  1.01  0.897   0.228  0.057  0.288 
    6   167     7   0.5  1.00  432  1.01  0.891   0.197  0.056  0.299 
    6   167     8   1.5  1.00  416  1.01  0.918   0.187  0.065  0.329 
    6   167     9   2.5  1.00  424  1.05  0.955   0.198  0.067  0.323 
    6   167    10   3.5  1.00  426  1.01  1.029   0.144  0.065  0.306 
    6   167    11   4.5  1.00  455  1.00  1.106   0.158  0.065  0.308 
    6   167    12   5.5  0.95  428  1.41  1.126   0.160  0.068  0.310 
    7   197     1  -5.5  0.83  429  1.60  1.176  -0.043  0.066  0.286 
    7   197     2  -4.5  1.00  433  1.11  1.113  -0.028  0.064  0.292 
    7   197     3  -3.5  1.00  415  1.01  1.016   0.040  0.061  0.285 
    7   197     4  -2.5  1.00  408  1.01  0.943   0.075  0.067  0.299 
    7   197     5  -1.5  1.00  441  1.11  0.876   0.175  0.070  0.312 
    7   197     6  -0.5  1.00  455  1.11  0.823   0.373  0.064  0.319 
    7   197     7   0.5  1.00  474  1.10  0.794   0.375  0.061  0.318 
    7   197     8   1.5  1.00  410  1.01  0.800   0.428  0.071  0.340 
    7   197     9   2.5  1.00  437  1.01  0.826   0.410  0.074  0.340 
    7   197    10   3.5  1.00  484  1.00  0.899   0.441  0.073  0.335 
    7   197    11   4.5  1.00  522  1.00  0.977   0.420  0.068  0.320 
    7   197    12   5.5  1.00  422  1.31  0.999   0.430  0.077  0.322 
    8   228     1  -5.5  0.63  425  1.61  1.231   0.004  0.068  0.262 
    8   228     2  -4.5  1.00  451  1.10  1.185   0.070  0.066  0.244 
    8   228     3  -3.5  1.00  418  1.01  1.069   0.108  0.074  0.261 
    8   228     4  -2.5  1.00  411  1.01  0.956   0.132  0.077  0.273 
    8   228     5  -1.5  1.00  433  1.01  0.851   0.245  0.068  0.267 
    8   228     6  -0.5  1.00  481  1.00  0.786   0.312  0.066  0.283 
    8   228     7   0.5  1.00  564  1.00  0.773   0.350  0.060  0.282 
    8   228     8   1.5  1.00  612  1.00  0.779   0.411  0.056  0.285 
    8   228     9   2.5  1.00  657  1.00  0.811   0.376  0.056  0.287 
    8   228    10   3.5  1.00  684  1.00  0.856   0.364  0.055  0.286 
    8   228    11   4.5  1.00  612  1.00  0.883   0.311  0.057  0.288 
    8   228    12   5.5  0.79  475  1.40  0.907   0.293  0.067  0.297 
    9   259     1  -5.5  0.46  433  1.70  1.318   0.161  0.050  0.214 
    9   259     2  -4.5  1.00  437  1.10  1.304   0.200  0.048  0.201 
    9   259     3  -3.5  1.00  463  1.00  1.186   0.181  0.048  0.208 
    9   259     4  -2.5  1.00  479  1.00  1.058   0.154  0.049  0.224 
    9   259     5  -1.5  1.00  520  1.00  0.927   0.207  0.045  0.225 
    9   259     6  -0.5  1.00  586  1.00  0.825   0.209  0.042  0.230 
    9   259     7   0.5  1.00  666  1.00  0.778   0.127  0.043  0.255 
    9   259     8   1.5  1.00  702  1.00  0.780   0.145  0.042  0.254 
    9   259     9   2.5  1.00  722  1.00  0.809   0.061  0.043  0.265 
    9   259    10   3.5  1.00  694  1.00  0.843   0.007  0.045  0.270 
    9   259    11   4.5  1.00  456  1.00  0.856  -0.037  0.057  0.275 
    9   259    12   5.5  0.33  418  1.61  0.872   0.045  0.060  0.271 
   10   289     1  -5.5  0.24  452  1.81  1.327   0.089  0.032  0.184 
   10   289     2  -4.5  1.00  442  1.11  1.339   0.100  0.030  0.183 
   10   289     3  -3.5  1.00  609  1.00  1.265   0.101  0.025  0.185 
   10   289     4  -2.5  1.00  632  1.00  1.151   0.041  0.028  0.207 
   10   289     5  -1.5  1.00  687  1.00  1.032   0.045  0.028  0.222 
   10   289     6  -0.5  1.00  709  1.00  0.949   0.031  0.030  0.239 
   10   289     7   0.5  1.00  703  1.00  0.913   0.099  0.032  0.250 
   10   289     8   1.5  1.00  667  1.00  0.913   0.149  0.032  0.241 
   10   289     9   2.5  1.00  633  1.00  0.929   0.177  0.034  0.247 
   10   289    10   3.5  1.00  536  1.00  0.946   0.160  0.040  0.259 
   10   289    11   4.5  0.81  432  1.31  0.927   0.107  0.048  0.263 
   10   289    12   5.5  0.00  451  2.00  0.913   0.078  0.050  0.264 
   11   320     1  -5.5  0.00  446  2.00  1.267   0.066  0.031  0.184 
   11   320     2  -4.5  0.91  411  1.21  1.253   0.091  0.031  0.185 
   11   320     3  -3.5  1.00  613  1.00  1.188   0.091  0.025  0.191 
   11   320     4  -2.5  1.00  680  1.00  1.118   0.109  0.024  0.211 
   11   320     5  -1.5  1.00  724  1.00  1.082   0.083  0.025  0.226 
