# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Og
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  442  2.40  0.941   0.530  0.069  0.396 
    1    16     2  -4.5  0.36  478  1.70  0.898   0.614  0.067  0.421 
    1    16     3  -3.5  1.00  414  1.10  0.824   0.658  0.076  0.443 
    1    16     4  -2.5  1.00  486  1.00  0.805   0.578  0.068  0.442 
    1    16     5  -1.5  1.00  451  1.00  0.887   0.609  0.067  0.441 
    1    16     6  -0.5  1.00  429  1.00  0.944   0.696  0.069  0.450 
    1    16     7   0.5  1.00  457  1.00  0.957   0.757  0.065  0.445 
    1    16     8   1.5  1.00  490  1.00  0.903   0.839  0.062  0.436 
    1    16     9   2.5  1.00  502  1.00  0.794   0.758  0.060  0.420 
    1    16    10   3.5  1.00  440  1.10  0.692   0.731  0.063  0.414 
    1    16    11   4.5  0.61  412  1.60  0.692   0.696  0.068  0.434 
    1    16    12   5.5  0.00  494  2.40  0.755   0.661  0.068  0.418 
    2    46     1  -5.5  0.00  489  2.30  1.184   0.343  0.069  0.349 
    2    46     2  -4.5  0.57  417  1.50  1.066   0.372  0.069  0.349 
    2    46     3  -3.5  1.00  409  1.00  1.004   0.510  0.069  0.374 
    2    46     4  -2.5  1.00  461  1.00  0.963   0.626  0.065  0.410 
    2    46     5  -1.5  1.00  471  1.00  0.975   0.763  0.068  0.452 
    2    46     6  -0.5  1.00  505  1.00  1.003   0.927  0.064  0.452 
    2    46     7   0.5  1.00  551  1.00  0.991   1.053  0.059  0.437 
    2    46     8   1.5  1.00  573  1.00  1.014   1.085  0.056  0.405 
    2    46     9   2.5  1.00  548  1.00  0.935   1.042  0.058  0.378 
    2    46    10   3.5  1.00  516  1.00  0.805   0.950  0.063  0.405 
    2    46    11   4.5  1.00  432  1.30  0.808   0.657  0.075  0.389 
    2    46    12   5.5  0.03  415  2.00  0.918   0.530  0.090  0.381 
    3    75     1  -5.5  0.01  433  1.90  1.329   0.384  0.064  0.328 
    3    75     2  -4.5  1.00  411  1.20  1.298   0.338  0.069  0.335 
    3    75     3  -3.5  1.00  563  1.00  1.184   0.454  0.052  0.317 
    3    75     4  -2.5  1.00  561  1.00  1.169   0.804  0.052  0.331 
    3    75     5  -1.5  1.00  607  1.00  1.159   0.969  0.052  0.345 
    3    75     6  -0.5  1.00  615  1.00  1.159   1.074  0.054  0.373 
    3    75     7   0.5  1.00  622  1.00  1.161   1.062  0.055  0.376 
    3    75     8   1.5  1.00  596  1.00  1.184   0.965  0.057  0.364 
    3    75     9   2.5  1.00  563  1.00  1.234   0.913  0.058  0.342 
    3    75    10   3.5  1.00  556  1.00  1.180   0.666  0.065  0.353 
    3    75    11   4.5  1.00  412  1.10  1.173   0.444  0.086  0.357 
    3    75    12   5.5  0.32  448  1.80  1.236   0.462  0.081  0.350 
    4   106     1  -5.5  0.52  444  1.75  1.338   0.580  0.065  0.323 
    4   106     2  -4.5  1.00  447  1.10  1.367   0.512  0.061  0.315 
    4   106     3  -3.5  1.00  560  1.00  1.297   0.595  0.053  0.310 
    4   106     4  -2.5  1.00  606  1.00  1.294   0.904  0.049  0.307 
    4   106     5  -1.5  1.00  608  1.00  1.320   0.968  0.050  0.317 
    4   106     6  -0.5  1.00  562  1.00  1.312   0.895  0.051  0.317 
    4   106     7   0.5  1.00  557  1.00  1.341   0.796  0.054  0.337 
    4   106     8   1.5  1.00  557  1.00  1.388   0.708  0.054  0.330 
    4   106     9   2.5  1.00  562  1.00  1.503   0.631  0.052  0.315 
    4   106    10   3.5  1.00  555  1.00  1.589   0.466  0.050  0.311 
    4   106    11   4.5  1.00  418  1.00  1.541   0.366  0.061  0.309 
    4   106    12   5.5  0.55  429  1.70  1.427   0.417  0.068  0.337 
    5   136     1  -5.5  0.86  413  1.60  1.195   0.894  0.073  0.334 
    5   136     2  -4.5  1.00  439  1.05  1.138   1.012  0.068  0.326 
    5   136     3  -3.5  1.00  443  1.00  1.021   1.068  0.069  0.347 
    5   136     4  -2.5  1.00  444  1.00  1.039   1.164  0.071  0.351 
    5   136     5  -1.5  1.00  429  1.00  1.043   1.187  0.072  0.348 
    5   136     6  -0.5  1.00  410  1.00  1.041   1.023  0.076  0.365 
    5   136     7   0.5  1.00  448  1.05  1.092   0.815  0.077  0.392 
    5   136     8   1.5  1.00  450  1.05  1.184   0.622  0.076  0.385 
    5   136     9   2.5  1.00  406  1.00  1.326   0.490  0.073  0.352 
    5   136    10   3.5  1.00  435  1.05  1.436   0.581  0.068  0.356 
    5   136    11   4.5  1.00  430  1.10  1.402   0.587  0.072  0.374 
    5   136    12   5.5  0.75  432  1.60  1.351   0.656  0.073  0.356 
    6   167     1  -5.5  0.96  416  1.65  0.958   1.109  0.080  0.332 
    6   167     2  -4.5  1.00  420  1.10  0.881   1.191  0.080  0.348 
    6   167     3  -3.5  1.00  427  1.05  0.728   1.119  0.081  0.381 
    6   167     4  -2.5  1.00  437  1.10  0.694   1.116  0.080  0.367 
    6   167     5  -1.5  1.00  425  1.10  0.679   0.997  0.071  0.357 
    6   167     6  -0.5  1.00  421  1.10  0.685   0.788  0.070  0.356 
    6   167     7   0.5  1.00  428  1.10  0.735   0.687  0.078  0.401 
    6   167     8   1.5  1.00  440  1.15  0.843   0.671  0.081  0.398 
    6   167     9   2.5  1.00  475  1.20  0.980   0.717  0.080  0.383 
    6   167    10   3.5  1.00  415  1.10  1.093   0.848  0.084  0.392 
    6   167    11   4.5  1.00  404  1.00  1.118   0.860  0.088  0.414 
    6   167    12   5.5  0.95  427  1.50  1.066   0.751  0.088  0.420 
    7   197     1  -5.5  0.83  459  1.70  0.845   1.166  0.079  0.325 
    7   197     2  -4.5  1.00  447  1.20  0.728   1.258  0.073  0.316 
    7   197     3  -3.5  1.00  419  1.10  0.591   1.182  0.074  0.336 
    7   197     4  -2.5  1.00  436  1.15  0.549   1.204  0.076  0.324 
    7   197     5  -1.5  1.00  437  1.20  0.554   1.110  0.076  0.322 
    7   197     6  -0.5  1.00  458  1.20  0.561   0.909  0.071  0.338 
    7   197     7   0.5  1.00  408  1.10  0.593   0.801  0.083  0.371 
    7   197     8   1.5  1.00  451  1.15  0.661   0.695  0.084  0.378 
    7   197     9   2.5  1.00  460  1.10  0.778   0.739  0.093  0.406 
    7   197    10   3.5  1.00  429  1.00  0.907   0.743  0.103  0.440 
    7   197    11   4.5  1.00  458  1.00  0.929   0.662  0.097  0.444 
    7   197    12   5.5  1.00  427  1.40  0.914   0.610  0.099  0.427 
    8   228     1  -5.5  0.63  428  1.70  0.825   0.927  0.083  0.314 
    8   228     2  -4.5  1.00  416  1.10  0.794   1.014  0.091  0.307 
    8   228     3  -3.5  1.00  442  1.10  0.673   1.185  0.091  0.303 
    8   228     4  -2.5  1.00  420  1.10  0.608   1.343  0.087  0.288 
    8   228     5  -1.5  1.00  431  1.10  0.597   1.348  0.079  0.277 
    8   228     6  -0.5  1.00  416  1.00  0.608   1.190  0.088  0.318 
    8   228     7   0.5  1.00  502  1.00  0.651   1.049  0.091  0.366 
    8   228     8   1.5  1.00  539  1.00  0.710   0.966  0.083  0.364 
    8   228     9   2.5  1.00  586  1.00  0.833   0.987  0.082  0.383 
    8   228    10   3.5  1.00  627  1.00  0.875   1.050  0.078  0.397 
    8   228    11   4.5  1.00  556  1.00  0.853   0.914  0.086  0.423 
    8   228    12   5.5  0.79  419  1.40  0.843   0.819  0.097  0.420 
    9   259     1  -5.5  0.46  434  1.75  0.920   0.374  0.092  0.348 
    9   259     2  -4.5  1.00  431  1.15  0.915   0.368  0.092  0.345 
    9   259     3  -3.5  1.00  421  1.00  0.856   0.689  0.087  0.336 
    9   259     4  -2.5  1.00  443  1.00  0.809   0.990  0.080  0.336 
    9   259     5  -1.5  1.00  481  1.00  0.800   1.019  0.077  0.348 
    9   259     6  -0.5  1.00  547  1.00  0.807   0.942  0.072  0.349 
    9   259     7   0.5  1.00  616  1.00  0.859   0.704  0.071  0.365 
    9   259     8   1.5  1.00  655  1.00  0.970   0.770  0.072  0.384 
    9   259     9   2.5  1.00  675  1.00  1.077   0.664  0.068  0.383 
    9   259    10   3.5  1.00  654  1.00  1.077   0.706  0.068  0.387 
    9   259    11   4.5  1.00  428  1.00  0.997   0.834  0.090  0.410 
    9   259    12   5.5  0.33  447  1.70  0.938   0.878  0.092  0.414 
   10   289     1  -5.5  0.24  472  1.90  1.013   0.101  0.064  0.360 
   10   289     2  -4.5  1.00  424  1.20  1.046   0.016  0.062  0.361 
   10   289     3  -3.5  1.00  567  1.00  1.048   0.213  0.051  0.354 
   10   289     4  -2.5  1.00  586  1.00  0.992   0.472  0.049  0.356 
   10   289     5  -1.5  1.00  640  1.00  0.988   0.568  0.046  0.360 
