# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Or
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  443  2.40  0.913  -0.780  0.155  0.718 
    1    16     2  -4.5  0.36  484  1.70  0.713  -0.639  0.149  0.775 
    1    16     3  -3.5  1.00  419  1.10  0.468  -0.584  0.139  0.865 
    1    16     4  -2.5  1.00  495  1.00  0.318  -0.595  0.145  0.999 
    1    16     5  -1.5  1.00  459  1.00  0.233   0.190  0.141  1.164 
    1    16     6  -0.5  1.00  432  1.00  0.405   2.102  0.206  1.096 
    1    16     7   0.5  1.00  469  1.00  0.745   2.547  0.159  0.877 
    1    16     8   1.5  1.00  496  1.00  1.033   2.276  0.113  0.698 
    1    16     9   2.5  1.00  513  1.00  0.883   1.866  0.116  0.751 
    1    16    10   3.5  1.00  455  1.10  0.661   1.671  0.135  0.861 
    1    16    11   4.5  0.61  421  1.60  0.611   1.751  0.132  0.793 
    1    16    12   5.5  0.00  504  2.40  0.614   1.915  0.126  0.751 
    2    46     1  -5.5  0.00  502  2.30  1.775  -0.392  0.111  0.541 
    2    46     2  -4.5  0.57  431  1.50  1.546  -0.748  0.124  0.584 
    2    46     3  -3.5  1.00  420  1.00  1.209  -0.557  0.134  0.666 
    2    46     4  -2.5  1.00  470  1.00  0.847   0.246  0.123  0.700 
    2    46     5  -1.5  1.00  476  1.00  0.668   1.331  0.129  0.764 
    2    46     6  -0.5  1.00  505  1.00  0.711   2.540  0.139  0.875 
    2    46     7   0.5  1.00  555  1.00  0.987   2.904  0.116  0.791 
    2    46     8   1.5  1.00  579  1.00  1.363   2.543  0.096  0.678 
    2    46     9   2.5  1.00  556  1.00  1.332   2.189  0.105  0.671 
    2    46    10   3.5  1.00  520  1.00  0.914   2.206  0.132  0.775 
    2    46    11   4.5  1.00  437  1.30  0.661   2.074  0.145  0.784 
    2    46    12   5.5  0.03  415  2.00  0.602   2.050  0.150  0.758 
    3    75     1  -5.5  0.01  439  1.90  2.286   0.191  0.099  0.481 
    3    75     2  -4.5  1.00  420  1.20  2.103  -0.102  0.104  0.499 
    3    75     3  -3.5  1.00  568  1.00  1.761  -0.188  0.089  0.521 
    3    75     4  -2.5  1.00  567  1.00  1.483   0.957  0.088  0.500 
    3    75     5  -1.5  1.00  608  1.00  1.213   1.745  0.096  0.567 
    3    75     6  -0.5  1.00  619  1.00  1.114   2.405  0.106  0.703 
    3    75     7   0.5  1.00  621  1.00  1.182   2.627  0.104  0.722 
    3    75     8   1.5  1.00  597  1.00  1.396   2.471  0.103  0.653 
    3    75     9   2.5  1.00  556  1.00  1.527   2.310  0.100  0.591 
    3    75    10   3.5  1.00  552  1.00  1.077   2.095  0.117  0.653 
    3    75    11   4.5  1.00  409  1.10  0.649   1.853  0.145  0.727 
    3    75    12   5.5  0.32  439  1.80  0.533   1.716  0.144  0.752 
    4   106     1  -5.5  0.52  485  1.80  2.422   0.893  0.086  0.440 
    4   106     2  -4.5  1.00  447  1.10  2.329   0.883  0.090  0.450 
    4   106     3  -3.5  1.00  548  1.00  1.995   1.233  0.075  0.440 
    4   106     4  -2.5  1.00  593  1.00  1.876   2.055  0.069  0.454 
    4   106     5  -1.5  1.00  591  1.00  1.720   2.322  0.084  0.543 
    4   106     6  -0.5  1.00  551  1.00  1.395   2.414  0.108  0.667 
    4   106     7   0.5  1.00  539  1.00  1.148   2.579  0.128  0.755 
    4   106     8   1.5  1.00  545  1.00  1.083   2.549  0.128  0.750 
    4   106     9   2.5  1.00  553  1.00  1.103   1.974  0.117  0.684 
    4   106    10   3.5  1.00  544  1.00  0.871   1.485  0.121  0.717 
    4   106    11   4.5  1.00  403  1.00  0.516   1.225  0.152  0.756 
    4   106    12   5.5  0.55  413  1.70  0.434   1.216  0.139  0.735 
    5   136     1  -5.5  0.86  414  1.60  2.359   1.374  0.089  0.423 
    5   136     2  -4.5  1.00  474  1.10  2.151   1.603  0.086  0.432 
    5   136     3  -3.5  1.00  432  1.00  1.633   2.201  0.084  0.441 
    5   136     4  -2.5  1.00  435  1.00  1.606   2.563  0.095  0.494 
    5   136     5  -1.5  1.00  425  1.00  1.502   2.454  0.113  0.565 
    5   136     6  -0.5  1.00  400  1.00  1.128   2.404  0.123  0.616 
    5   136     7   0.5  1.00  475  1.10  0.820   2.439  0.137  0.729 
    5   136     8   1.5  1.00  477  1.10  0.720   2.483  0.166  0.845 
    5   136     9   2.5  1.00  400  1.00  0.699   1.837  0.178  0.814 
    5   136    10   3.5  1.00  461  1.10  0.627   1.336  0.132  0.714 
    5   136    11   4.5  1.00  414  1.10  0.430   1.089  0.126  0.633 
    5   136    12   5.5  0.75  415  1.60  0.375   1.155  0.115  0.595 
    6   167     1  -5.5  0.96  441  1.70  2.236   1.581  0.088  0.400 
    6   167     2  -4.5  1.00  429  1.10  1.893   1.763  0.095  0.395 
    6   167     3  -3.5  1.00  468  1.10  1.239   2.141  0.089  0.416 
    6   167     4  -2.5  1.00  450  1.10  1.071   2.432  0.100  0.454 
    6   167     5  -1.5  1.00  434  1.10  0.974   2.288  0.094  0.420 
    6   167     6  -0.5  1.00  419  1.10  0.750   1.974  0.104  0.478 
    6   167     7   0.5  1.00  431  1.10  0.537   1.801  0.121  0.608 
    6   167     8   1.5  1.00  409  1.10  0.410   1.598  0.146  0.746 
    6   167     9   2.5  1.00  476  1.20  0.407   1.240  0.127  0.685 
    6   167    10   3.5  1.00  411  1.10  0.420   1.137  0.127  0.596 
    6   167    11   4.5  1.00  462  1.10  0.364   1.171  0.116  0.557 
    6   167    12   5.5  0.95  413  1.50  0.320   1.064  0.115  0.537 
    7   197     1  -5.5  0.83  460  1.70  2.313   1.341  0.093  0.379 
    7   197     2  -4.5  1.00  451  1.20  1.890   1.541  0.098  0.394 
    7   197     3  -3.5  1.00  421  1.10  1.259   1.725  0.111  0.464 
    7   197     4  -2.5  1.00  407  1.10  1.011   2.079  0.107  0.457 
    7   197     5  -1.5  1.00  443  1.20  0.913   2.056  0.098  0.431 
    7   197     6  -0.5  1.00  460  1.20  0.745   1.863  0.106  0.489 
    7   197     7   0.5  1.00  412  1.10  0.540   1.514  0.140  0.674 
    7   197     8   1.5  1.00  416  1.10  0.462   1.432  0.156  0.694 
    7   197     9   2.5  1.00  454  1.10  0.450   1.148  0.142  0.655 
    7   197    10   3.5  1.00  422  1.00  0.452   0.964  0.150  0.629 
    7   197    11   4.5  1.00  456  1.00  0.338   0.993  0.142  0.607 
    7   197    12   5.5  1.00  421  1.40  0.287   0.950  0.130  0.565 
    8   228     1  -5.5  0.63  428  1.70  2.450   1.065  0.097  0.370 
    8   228     2  -4.5  1.00  419  1.10  2.348   1.130  0.112  0.368 
    8   228     3  -3.5  1.00  446  1.10  1.709   1.608  0.125  0.404 
    8   228     4  -2.5  1.00  428  1.10  1.292   2.235  0.126  0.433 
    8   228     5  -1.5  1.00  442  1.10  1.145   2.451  0.111  0.429 
    8   228     6  -0.5  1.00  423  1.00  0.981   2.343  0.135  0.523 
    8   228     7   0.5  1.00  504  1.00  0.881   1.931  0.171  0.746 
    8   228     8   1.5  1.00  528  1.00  0.778   1.600  0.160  0.736 
    8   228     9   2.5  1.00  576  1.00  0.765   1.572  0.133  0.626 
    8   228    10   3.5  1.00  617  1.00  0.609   1.363  0.123  0.593 
    8   228    11   4.5  1.00  558  1.00  0.396   1.283  0.138  0.631 
    8   228    12   5.5  0.79  419  1.40  0.326   1.332  0.148  0.622 
    9   259     1  -5.5  0.46  469  1.80  2.280   0.127  0.104  0.415 
    9   259     2  -4.5  1.00  403  1.10  2.273   0.232  0.113  0.417 
    9   259     3  -3.5  1.00  425  1.00  1.805   0.774  0.113  0.463 
    9   259     4  -2.5  1.00  450  1.00  1.391   1.652  0.114  0.493 
    9   259     5  -1.5  1.00  490  1.00  1.122   2.274  0.117  0.583 
    9   259     6  -0.5  1.00  559  1.00  1.013   2.256  0.133  0.691 
    9   259     7   0.5  1.00  626  1.00  0.963   2.044  0.134  0.747 
    9   259     8   1.5  1.00  654  1.00  1.055   1.916  0.126  0.740 
    9   259     9   2.5  1.00  671  1.00  1.039   1.838  0.116  0.665 
    9   259    10   3.5  1.00  654  1.00  0.741   1.610  0.120  0.643 
    9   259    11   4.5  1.00  431  1.00  0.461   1.366  0.145  0.680 
