# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# 2D reference climatologies of relative intensity, solar cycle effect, and
# residual variability for PALACE variability class Orc
# (see pmd_climfeat.dat for the lines/multiplets/features involved in the
# calculation of the weighted averages of the climatological properties)
# 
# Column names:
# mbin: month bin
# cDOY: central day of year
# hbin: LT bin
# cLT: central LT (for longitude of Cerro Paranal)
# wbin: weight of bin (LT fraction with solar zenith angle > 100°)
# N: size of subsample
# r: radius for subsample selection relative to 1 month and 1 hour
# I: intensity relative to climatological mean
# SCE: solar cycle effect per 100 sfu relative to mean intensity of subsample
# dSCE: uncertainty of solar cycle effect
# dI: standard deviation of residuals relative to mean intensity of subsample
# 
# Note: consistent with class-related content in palace_var.fits
# 
 mbin  cDOY  hbin   cLT  wbin    N     r      I     SCE   dSCE     dI 
    1    16     1  -5.5  0.00  416  2.40  2.243   2.086  0.176  0.753 
    1    16     2  -4.5  0.36  456  1.70  1.868   2.195  0.173  0.806 
    1    16     3  -3.5  1.00  470  1.20  1.285   1.982  0.172  0.916 
    1    16     4  -2.5  1.00  466  1.00  0.865   2.269  0.149  1.064 
    1    16     5  -1.5  1.00  431  1.00  0.774   2.796  0.159  1.145 
    1    16     6  -0.5  1.00  409  1.00  0.865   3.430  0.188  0.910 
    1    16     7   0.5  1.00  429  1.00  0.848   3.562  0.171  0.828 
    1    16     8   1.5  1.00  457  1.00  0.676   3.269  0.179  1.025 
    1    16     9   2.5  1.00  476  1.00  0.377   2.856  0.176  1.241 
    1    16    10   3.5  1.00  419  1.10  0.261   2.788  0.171  1.173 
    1    16    11   4.5  0.61  472  1.70  0.240   2.789  0.155  1.023 
    1    16    12   5.5  0.00  472  2.40  0.233   2.753  0.156  0.989 
    2    46     1  -5.5  0.00  482  2.30  3.411   2.504  0.118  0.577 
    2    46     2  -4.5  0.57  409  1.50  3.456   2.291  0.128  0.579 
    2    46     3  -3.5  1.00  464  1.10  2.986   2.448  0.124  0.624 
    2    46     4  -2.5  1.00  437  1.00  2.494   2.788  0.126  0.659 
    2    46     5  -1.5  1.00  452  1.00  2.203   3.100  0.125  0.706 
    2    46     6  -0.5  1.00  485  1.00  1.959   3.577  0.125  0.769 
    2    46     7   0.5  1.00  518  1.00  1.671   3.802  0.129  0.837 
    2    46     8   1.5  1.00  544  1.00  1.281   3.616  0.136  0.864 
    2    46     9   2.5  1.00  530  1.00  0.728   3.391  0.174  1.025 
    2    46    10   3.5  1.00  498  1.00  0.350   3.343  0.186  1.039 
    2    46    11   4.5  1.00  419  1.30  0.236   2.970  0.183  0.980 
    2    46    12   5.5  0.03  441  2.10  0.215   2.514  0.182  1.027 
    3    75     1  -5.5  0.01  426  1.90  3.474   2.739  0.124  0.579 
    3    75     2  -4.5  1.00  411  1.20  3.797   2.697  0.106  0.518 
    3    75     3  -3.5  1.00  559  1.00  3.763   2.676  0.085  0.521 
    3    75     4  -2.5  1.00  546  1.00  3.381   3.034  0.078  0.526 
    3    75     5  -1.5  1.00  574  1.00  2.802   3.126  0.084  0.561 
    3    75     6  -0.5  1.00  584  1.00  2.358   3.504  0.099  0.681 
    3    75     7   0.5  1.00  592  1.00  1.882   3.638  0.123  0.776 
    3    75     8   1.5  1.00  565  1.00  1.360   3.553  0.136  0.790 
    3    75     9   2.5  1.00  527  1.00  0.805   3.331  0.174  0.865 
    3    75    10   3.5  1.00  525  1.00  0.351   2.882  0.200  1.031 
    3    75    11   4.5  1.00  463  1.20  0.210   2.204  0.189  1.046 
