# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference intensities for atomic lines (consistent with corresponding
# lines in palace_lines.fits)
# 
# Column names:
# lam: vacuum wavelength in µm (NIST)
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# I: reference intensity in R
# ID: 12 characters describing upper and lower states (NIST):
#     1-2: chemical species
#     3-4: last subshell of configuration of upper state
#     5-6: term of upper state
#     7-8: last subshell of configuration of lower state
#     9-10: term of lower state
#     11: quantum number J of upper state multiplied by 2 (O: 1)
#     12: quantum number J of lower state multiplied by 2 (O: 1)
# chem: chemical species (Na, K, O, N, or H)
# M: molar mass in kg/mol
# Tkin: kinetic temperature in K for Doppler broadening of line
# hlay: height of emission layer in km (H: -1)
# src: 4-digit binary code for source of intensity I:
#      1: I based on X-shooter data (partly noll+23)? 1 = yes, 0 = no
#      2: I based on UVES data from noll+20? 1 = yes, 0 = no
#      3: I based on other data (cosby+06, oliva+15)? 1 = yes, 0 = no
#      4: I based on model (= 1) or direct measurement (= 0)?
# class: label of variability class
# 
# References:
# NIST: https://physics.nist.gov/asd
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+19: https://doi.org/10.1029/2018JD030044 (only K lines)
# 
       lam   trans   fH2O          I            ID  chem      M    Tkin   hlay   src  class 
 0.3693407  1.0000  0.000  2.690e-03  O_5p3P3s3S01     O  0.016  1000.0  300.0  1001    Orc 
 0.3693437  1.0000  0.000  8.070e-03  O_5p3P3s3S11     O  0.016  1000.0  300.0  1001    Orc 
 0.3693446  1.0000  0.000  1.345e-02  O_5p3P3s3S21     O  0.016  1000.0  300.0  1001    Orc 
 0.3948412  1.0000  0.000  9.966e-02  O_4p5P3s5S32     O  0.016  1000.0  300.0  1001    Orc 
 0.3948599  1.0000  0.000  7.075e-02  O_4p5P3s5S22     O  0.016  1000.0  300.0  1001    Orc 
 0.3948703  1.0000  0.000  4.236e-02  O_4p5P3s5S12     O  0.016  1000.0  300.0  1001    Orc 
 0.4102860  0.9999  0.000  1.704e-04  H_6d2D2p2P31     H  0.001  1000.0   -1.0  1001      H 
 0.4102862  0.9999  0.000  1.597e-03  H_6s2S2p2P11     H  0.001  1000.0   -1.0  1001      H 
 0.4102866  0.9999  0.000  6.740e-02  H_6p2P2s2S31     H  0.001  1000.0   -1.0  1001      H 
 0.4102868  0.9999  0.000  3.365e-02  H_6p2P2s2S11     H  0.001  1000.0   -1.0  1001      H 
 0.4102921  0.9999  0.000  3.088e-04  H_6d2D2p2P53     H  0.001  1000.0   -1.0  1001      H 
 0.4102921  0.9999  0.000  3.194e-05  H_6d2D2p2P33     H  0.001  1000.0   -1.0  1001      H 
 0.4102924  0.9999  0.000  3.194e-03  H_6s2S2p2P13     H  0.001  1000.0   -1.0  1001      H 
 0.4341647  0.9995  0.000  3.098e-04  H_5d2D2p2P31     H  0.001  1000.0   -1.0  1001      H 
 0.4341651  0.9995  0.000  2.904e-03  H_5s2S2p2P11     H  0.001  1000.0   -1.0  1001      H 
 0.4341654  0.9995  0.000  1.226e-01  H_5p2P2s2S31     H  0.001  1000.0   -1.0  1001      H 
 0.4341658  0.9995  0.000  6.118e-02  H_5p2P2s2S11     H  0.001  1000.0   -1.0  1001      H 
 0.4341715  0.9995  0.000  5.615e-04  H_5d2D2p2P53     H  0.001  1000.0   -1.0  1001      H 
 0.4341716  0.9995  0.000  5.808e-05  H_5d2D2p2P33     H  0.001  1000.0   -1.0  1001      H 
 0.4341720  0.9995  0.000  5.808e-03  H_5s2S2p2P13     H  0.001  1000.0   -1.0  1001      H 
 0.4369420  0.9995  0.000  1.766e-02  O_4p3P3s3S01     O  0.016  1000.0  300.0  1001    Orc 
 0.4369470  0.9995  0.000  8.866e-02  O_4p3P3s3S21     O  0.016  1000.0  300.0  1001    Orc 
 0.4369485  0.9995  0.000  5.313e-02  O_4p3P3s3S11     O  0.016  1000.0  300.0  1001    Orc 
 0.4655420  0.9978  0.000  2.682e-03  O_8d5D3p5P01     O  0.016  1000.0  300.0  1001    Orc 
 0.4655421  0.9978  0.000  6.044e-03  O_8d5D3p5P11     O  0.016  1000.0  300.0  1001    Orc 
 0.4655422  0.9978  0.000  4.710e-03  O_8d5D3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.4655859  0.9978  0.000  2.021e-03  O_8d5D3p5P12     O  0.016  1000.0  300.0  1001    Orc 
 0.4655860  0.9978  0.000  7.828e-03  O_8d5D3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.4655862  0.9978  0.000  1.253e-02  O_8d5D3p5P32     O  0.016  1000.0  300.0  1001    Orc 
 0.4656657  0.9978  0.000  8.951e-04  O_8d5D3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.4656659  0.9978  0.000  6.244e-03  O_8d5D3p5P33     O  0.016  1000.0  300.0  1001    Orc 
 0.4656660  0.9978  0.000  2.414e-02  O_8d5D3p5P43     O  0.016  1000.0  300.0  1001    Orc 
 0.4773782  0.9917  0.000  4.304e-03  O_7d5D3p5P01     O  0.016  1000.0  300.0  1001    Orc 
 0.4773783  0.9917  0.000  9.685e-03  O_7d5D3p5P11     O  0.016  1000.0  300.0  1001    Orc 
 0.4773785  0.9917  0.000  7.533e-03  O_7d5D3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.4774244  0.9917  0.000  3.228e-03  O_7d5D3p5P12     O  0.016  1000.0  300.0  1001    Orc 
 0.4774246  0.9917  0.000  1.254e-02  O_7d5D3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.4774248  0.9917  0.000  2.010e-02  O_7d5D3p5P32     O  0.016  1000.0  300.0  1001    Orc 
 0.4775084  0.9917  0.000  1.433e-03  O_7d5D3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.4775086  0.9917  0.000  1.003e-02  O_7d5D3p5P33     O  0.016  1000.0  300.0  1001    Orc 
 0.4775088  0.9917  0.000  3.874e-02  O_7d5D3p5P43     O  0.016  1000.0  300.0  1001    Orc 
 0.4803010  0.9930  0.000  8.402e-03  O_8s5S3p5P21     O  0.016  1000.0  300.0  1001    Orc 
 0.4803476  0.9930  0.000  1.401e-02  O_8s5S3p5P22     O  0.016  1000.0  300.0  1001    Orc 
 0.4804324  0.9930  0.000  1.959e-02  O_8s5S3p5P23     O  0.016  1000.0  300.0  1001    Orc 
 0.4862637  0.9951  0.000  8.203e-04  H_4d2D2p2P31     H  0.001  1000.0   -1.0  1001      H 
 0.4862645  0.9951  0.000  3.245e-01  H_4p2P2s2S31     H  0.001  1000.0   -1.0  1001      H 
 0.4862646  0.9951  0.000  7.690e-03  H_4s2S2p2P11     H  0.001  1000.0   -1.0  1001      H 
