# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference intensities for molecular lines (consistent with
# corresponding lines in palace_lines.fits)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020, cosby+06)
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# I: reference intensity in R
# ID: 13 characters describing upper and lower states (HITRAN2020, cosby+06):
#     1-2: isotopologue (OH, QH, O2, OG, or OQ; G = 17O, Q = 18O)
#     3: upper electronic state (possible prime neglected)
#     4: lower electronic state
#     5: vibrational level of upper state (OH: X = 10, O2: A-F = 10-15)
#     6: vibrational level of lower state (O2: A-F = 10-15)
#     7-8: branch of band
#     9: number of upper electronic substate
#     10: number of lower electronic substate
#     11-12: rotational level of upper state
#     13: OH: parity e or f of upper state, O2: d[ipole] or q[uadrupole]
# chem: chemical species (OH or O2)
# M: molar mass in kg/mol
# Tkin: kinetic temperature in K for Doppler broadening of line
# hlay: height of emission layer in km (H: -1)
# src: 4-digit binary code for source of intensity I:
#      1: I based on X-shooter data (partly noll+23)? 1 = yes, 0 = no
#      2: I based on UVES data from noll+20? 1 = yes, 0 = no
#      3: I based on other data (cosby+06, oliva+15)? 1 = yes, 0 = no
#      4: I based on model (= 1) or direct measurement (= 0)?
# class: label of variability class
# 
# References:
# cosby+06: https://doi.org/10.1029/2006JA012023 (OH+O2, UVES)
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+20: https://doi.org/10.5194/acp-20-5269-2020 (OH, UVES)
# noll+23: https://doi.org/10.1029/2022JD038275 (OH, X-shooter)
# oliva+15: https://doi.org/10.1051/0004-6361/201526291 (OH, GIANO)
# 
       lam   trans   fH2O          I             ID  chem      M   Tkin  hlay   src  class 
 0.3143594  0.7213  0.000  8.377e-02  O2AX44QR2305d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3143595  0.7213  0.000  8.691e-02  O2AX44QP2105d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3144564  0.7326  0.000  7.712e-02  O2AX44QP3207d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3144614  0.7332  0.000  1.094e-01  O2AX44QQ1107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3144970  0.7376  0.000  3.553e-02  O2AX44OP1203d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3145000  0.7380  0.000  1.258e-01  O2AX44QP2107d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3145006  0.7380  0.000  1.227e-01  O2AX44QR2307d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3145029  0.7383  0.000  8.204e-03  O2AX44SR2113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3146432  0.7473  0.000  1.754e-01  O2AX44QQ1109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3146435  0.7473  0.000  1.259e-01  O2AX44QP3209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3146831  0.7490  0.000  7.686e-02  O2AX44QP2109d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3146841  0.7490  0.000  7.534e-02  O2AX44QR2309d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3148701  0.7452  0.000  1.537e-01  O2AX44QQ1111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3148741  0.7451  0.000  1.078e-01  O2AX44QP3211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3148910  0.7446  0.000  9.089e-02  O2AX44QR1211d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3149114  0.7444  0.000  8.406e-02  O2AX44QP2111d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3149128  0.7445  0.000  8.274e-02  O2AX44QR2311d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3151407  0.7518  0.000  2.749e-01  O2AX44QQ1113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3151618  0.7517  0.000  1.056e-01  O2AX44QR1213d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3151829  0.7514  0.000  1.080e-01  O2AX44QP2113d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3151848  0.7514  0.000  1.067e-01  O2AX44QR2313d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3154553  0.7340  0.000  1.171e-01  O2AX44QQ1115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3154639  0.7324  0.000  7.449e-02  O2AX44QP3215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3154770  0.7299  0.000  7.450e-02  O2AX44QR1215d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3154990  0.7259  0.000  9.436e-02  O2AX44QP2115d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3155012  0.7256  0.000  9.344e-02  O2AX44QR2315d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3164933  0.7888  0.000  3.611e-02  O2AX96QR1201d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3164937  0.7888  0.000  3.895e-02  O2AX96QP3203d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3170510  0.7934  0.000  7.264e-02  O2AX96QP3209d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3170566  0.7930  0.000  4.641e-02  O2Aa80RR1116d    O2  0.032  190.0  94.0  0010   O2Ac 
 0.3210371  0.9086  0.000  1.168e-02  O2AX86OP1203d    O2  0.032  190.0  94.0  0010   O2Ac 
