# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra with atmospheric extinction for the total emission
# and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: air wavelength in µm
# f{species}: flux in R/nm with atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam     fall    dfall      fOH     dfOH      fO2     dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3000     0.34     0.14     0.00     0.00     0.29     0.12   0.02   0.01  0.03   0.01   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3001     0.41     0.17     0.00     0.00     0.35     0.14   0.02   0.01  0.04   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3002     0.45     0.18     0.00     0.00     0.39     0.16   0.02   0.01  0.04   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3003     0.47     0.19     0.00     0.00     0.40     0.16   0.02   0.01  0.04   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3004     0.48     0.20     0.00     0.00     0.41     0.17   0.02   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3005     0.49     0.20     0.00     0.00     0.42     0.17   0.02   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3006     0.51     0.21     0.00     0.00     0.44     0.18   0.03   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3007     0.53     0.22     0.00     0.00     0.45     0.18   0.03   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3008     0.55     0.23     0.00     0.00     0.47     0.19   0.03   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3009     0.58     0.24     0.00     0.00     0.49     0.20   0.03   0.01  0.05   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3010     0.60     0.25     0.00     0.00     0.51     0.21   0.03   0.02  0.06   0.02   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3011     0.63     0.26     0.00     0.00     0.53     0.22   0.03   0.02  0.06   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3012     0.65     0.27     0.00     0.00     0.55     0.22   0.03   0.02  0.06   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3013     0.67     0.27     0.00     0.00     0.57     0.23   0.03   0.02  0.06   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3014     0.68     0.28     0.00     0.00     0.58     0.23   0.03   0.02  0.07   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3015     0.70     0.29     0.00     0.00     0.59     0.24   0.04   0.02  0.07   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3016     0.71     0.29     0.00     0.00     0.60     0.24   0.04   0.02  0.07   0.03   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
