# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# PALACE reference spectra without atmospheric extinction for the total
# emission and for the chemical species OH, O2, HO2, FeO, Na, K, O, N, and H
# 
# Column names:
# lam: vacuum wavelength in µm
# f{species}: flux in R/nm without atmospheric extinction for total emission
#             (all) or individual chemical species
# df{species}: standard deviation for f{species} in R/nm
# 
    lam      fall     dfall      fOH     dfOH       fO2      dfO2   fHO2  dfHO2  fFeO  dfFeO    fNa   dfNa    fK   dfK      fO     dfO    fN   dfN    fH   dfH 
 0.3000      4.32      1.77     0.00     0.00      3.70      1.49   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3001      4.32      1.77     0.00     0.00      3.69      1.49   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3002      4.31      1.77     0.00     0.00      3.69      1.49   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3003      4.31      1.77     0.00     0.00      3.69      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3004      4.31      1.76     0.00     0.00      3.68      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3005      4.30      1.76     0.00     0.00      3.68      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3006      4.30      1.76     0.00     0.00      3.68      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3007      4.29      1.76     0.00     0.00      3.67      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3008      4.29      1.76     0.00     0.00      3.67      1.48   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3009      4.29      1.76     0.00     0.00      3.66      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3010      4.28      1.76     0.00     0.00      3.66      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3011      4.28      1.75     0.00     0.00      3.66      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3012      4.28      1.75     0.00     0.00      3.65      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3013      4.27      1.75     0.00     0.00      3.65      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3014      4.27      1.75     0.00     0.00      3.65      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3015      4.26      1.75     0.00     0.00      3.64      1.47   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3016      4.26      1.75     0.00     0.00      3.64      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3017      4.26      1.74     0.00     0.00      3.64      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3018      4.25      1.74     0.00     0.00      3.63      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3019      4.25      1.74     0.00     0.00      3.63      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3020      4.25      1.74     0.00     0.00      3.62      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3021      4.24      1.74     0.00     0.00      3.62      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3022      4.24      1.74     0.00     0.00      3.62      1.46   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3023      4.24      1.74     0.00     0.00      3.61      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3024      4.23      1.73     0.00     0.00      3.61      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3025      4.23      1.73     0.00     0.00      3.61      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3026      4.22      1.73     0.00     0.00      3.60      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3027      4.22      1.73     0.00     0.00      3.60      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3028      4.22      1.73     0.00     0.00      3.59      1.45   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3029      4.21      1.73     0.00     0.00      3.59      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3030      4.21      1.73     0.00     0.00      3.59      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3031      4.21      1.72     0.00     0.00      3.58      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3032      4.20      1.72     0.00     0.00      3.58      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3033      4.20      1.72     0.00     0.00      3.58      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3034      4.19      1.72     0.00     0.00      3.57      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
 0.3035      4.19      1.72     0.00     0.00      3.57      1.44   0.22   0.11  0.41   0.17   0.00   0.00  0.00  0.00    0.00    0.00  0.00  0.00  0.00  0.00 
