# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter NIR-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter NIR-arm spectra
# upix: upper pixel of bin in X-shooter NIR-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs   rdels    rds 
 0.99449      0     16  6864   6.158e+01  7.148e+02  1.959e+02  4.843e+00  9.933e-01   10.608  1.064  5.725e+02  1.453e+02   8.357  0.861 
 0.99548     17     32  6873   1.554e+02  3.699e+02  9.406e+01  4.822e+00  9.871e-01    1.380  0.510  2.837e+02  7.693e+01   0.826  0.418 
 0.99648     33     49  6872   1.316e+02  2.961e+02  8.551e+01  4.830e+00  9.840e-01    1.251  0.531  3.300e+02  8.791e+01   1.509  0.541 
 0.99747     50     65  6872   7.811e+01  1.421e+02  3.734e+01  4.833e+00  9.671e-01    0.819  0.319  8.941e+01  2.765e+01   0.145  0.240 
 0.99847     66     82  6871   2.699e+01  1.569e+01  4.644e+00  4.819e+00  7.651e-01   -0.419  0.041  2.181e+01  1.178e+01  -0.192  0.105 
 0.99947     83     99  6874   5.345e+01  3.411e+01  1.146e+01  4.798e+00  8.767e-01   -0.362  0.109  4.952e+01  1.820e+01  -0.073  0.172 
 1.00047    100    115  6867   8.290e+01  6.166e+01  1.972e+01  4.815e+00  9.276e-01   -0.256  0.202  6.205e+01  2.123e+01  -0.251  0.217 
 1.00147    116    132  6872   6.432e+02  7.557e+02  2.017e+02  4.804e+00  9.937e-01    0.175  0.703  6.104e+02  1.579e+02  -0.051  0.515 
 1.00247    133    149  6871   2.302e+02  2.460e+02  6.240e+01  4.793e+00  9.809e-01    0.068  0.652  2.006e+02  5.600e+01  -0.129  0.567 
 1.00347    150    165  6874   4.068e+01  2.356e+01  6.684e+00  4.743e+00  8.324e-01   -0.421  0.094  2.843e+01  1.301e+01  -0.301  0.181 
 1.00448    166    182  6873   1.091e+02  9.037e+01  2.334e+01  4.652e+00  9.510e-01   -0.172  0.416  8.647e+01  2.768e+01  -0.207  0.483 
 1.00548    183    199  6856   1.635e+02  4.525e+01  1.400e+01  4.465e+00  9.102e-01   -0.723  0.364  4.966e+01  1.840e+01  -0.696  0.459 
 1.00649    200    216  6856   2.972e+02  1.821e+02  4.854e+01  4.713e+00  9.748e-01   -0.387  0.722  1.402e+02  4.039e+01  -0.528  0.550 
 1.00749    217    232  6868   7.173e+01  5.804e+01  1.878e+01  4.767e+00  9.241e-01   -0.191  0.459  6.328e+01  2.141e+01  -0.118  0.513 
 1.00850    233    249  6873   3.977e+02  4.165e+02  1.053e+02  4.750e+00  9.887e-01    0.047  1.250  3.125e+02  8.513e+01  -0.214  0.901 
 1.00951    250    266  6874   3.690e+01  2.192e+01  6.614e+00  4.755e+00  8.217e-01   -0.406  0.210  2.987e+01  1.341e+01  -0.191  0.410 
 1.01052    267    283  6867   1.828e+02  1.858e+02  4.729e+01  4.759e+00  9.750e-01    0.016  1.037  1.406e+02  4.157e+01  -0.231  0.844 
 1.01153    284    300  6874   1.831e+01  8.497e+00  2.806e+00  4.753e+00  6.413e-01   -0.536  0.095  2.229e+01  1.224e+01   0.217  0.394 
 1.01254    301    317  6872   4.863e+02  5.116e+02  1.300e+02  4.734e+00  9.908e-01    0.052  1.178  3.729e+02  9.896e+01  -0.233  0.794 
 1.01355    318    333  6873   3.673e+01  3.059e+01  9.874e+00  4.762e+00  8.653e-01   -0.167  0.410  3.785e+01  1.476e+01   0.030  0.580 
 1.01457    334    350  6864   7.843e+01  7.991e+01  2.343e+01  4.696e+00  9.445e-01    0.019  0.920  5.227e+01  1.781e+01  -0.333  0.666 
 1.01558    351    367  6871   2.578e+02  2.665e+02  7.446e+01  4.708e+00  9.826e-01    0.034  1.071  2.157e+02  5.955e+01  -0.163  0.771 
 1.01660    368    384  6866   1.461e+02  1.334e+02  3.811e+01  4.674e+00  9.662e-01   -0.086  0.821  8.563e+01  2.698e+01  -0.414  0.516 
 1.01761    385    401  6873   5.297e+02  5.624e+02  1.599e+02  4.731e+00  9.917e-01    0.062  1.106  5.396e+02  1.413e+02   0.019  0.864 
 1.01863    402    418  6873   3.870e+02  3.825e+02  1.089e+02  4.641e+00  9.880e-01   -0.011  0.963  4.740e+02  1.258e+02   0.225  0.949 
 1.01965    419    435  6873   2.833e+01  4.276e+01  1.200e+01  4.638e+00  9.022e-01    0.509  0.551  2.633e+01  1.291e+01  -0.071  0.654 
 1.02067    436    452  6874   5.977e+02  6.193e+02  1.740e+02  4.691e+00  9.925e-01    0.036  1.031  7.142e+02  1.856e+02   0.195  0.934 
 1.02169    453    469  6858   9.682e+01  9.217e+01  2.601e+01  4.630e+00  9.522e-01   -0.048  0.557  8.898e+01  2.920e+01  -0.080  0.570 
 1.02271    470    486  6872   3.825e+02  4.085e+02  1.156e+02  4.693e+00  9.886e-01    0.068  1.126  3.686e+02  9.836e+01  -0.036  0.846 
 1.02373    487    503  6872   1.149e+01  2.079e+01  5.969e+00  4.693e+00  8.158e-01    0.809  0.358  2.304e+01  1.273e+01   1.005  0.718 
 1.02476    504    520  6871   4.441e+00  9.020e+00  3.021e+00  4.696e+00  6.576e-01    1.031  0.249  2.287e+01  1.273e+01   4.149  0.871 
 1.02578    521    537  6871   1.072e+01  1.566e+01  4.606e+00  4.701e+00  7.691e-01    0.460  0.490  2.295e+01  1.276e+01   1.141  1.065 
 1.02681    538    555  6868   7.864e+01  9.367e+01  2.638e+01  4.682e+00  9.524e-01    0.191  1.301  5.826e+01  2.034e+01  -0.259  0.931 
 1.02784    556    572  6865   3.004e+01  2.830e+01  8.096e+00  4.694e+00  8.577e-01   -0.058  0.854  3.106e+01  1.487e+01   0.034  1.368 
 1.02886    573    589  6874   1.193e+03  1.454e+03  4.083e+02  4.645e+00  9.968e-01    0.219  1.012  1.629e+03  4.172e+02   0.365  0.894 
 1.02989    590    606  6872   1.666e+02  4.116e+02  1.156e+02  4.664e+00  9.888e-01    1.471  1.527  5.026e+02  1.340e+02   2.017  1.329 
