# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter UVB-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter UVB-arm spectra
# upix: upper pixel of bin in X-shooter UVB-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng    rdelp    rdp        mfs       mdfs    rdels    rds 
 0.29906      0     14  6866  -2.117e+03  0.000e+00  0.000e+00  0.000e+00  1.000e+00   -1.000  0.000  0.000e+00  0.000e+00   -1.000  0.000 
 0.29936     15     29  6867  -1.640e+03  0.000e+00  0.000e+00  0.000e+00  1.000e+00   -1.000  0.000  0.000e+00  0.000e+00   -1.000  0.000 
 0.29966     30     44  6867  -1.254e+03  9.395e-07  3.305e-07  8.146e-40  1.000e+00   -1.000  0.000  3.726e-39  2.879e-39   -1.000  0.000 
 0.29996     45     59  6867  -9.491e+02  1.600e-01  5.717e-02  2.461e-02  8.667e-01   -1.000  0.000  1.094e-01  8.514e-02   -1.000  0.000 
 0.30026     60     74  6866  -7.402e+02  2.946e-01  1.053e-01  4.630e-02  8.642e-01   -1.000  0.000  2.158e-01  1.676e-01   -1.000  0.000 
 0.30056     75     89  6866  -5.867e+02  3.217e-01  1.150e-01  5.523e-02  8.535e-01   -1.001  0.000  2.363e-01  1.831e-01   -1.000  0.000 
 0.30086     90    104  6863  -4.735e+02  3.716e-01  1.328e-01  6.458e-02  8.520e-01   -1.001  0.000  2.732e-01  2.112e-01   -1.001  0.000 
 0.30116    105    119  6862  -3.681e+02  4.311e-01  1.540e-01  8.274e-02  8.390e-01   -1.001  0.000  3.182e-01  2.454e-01   -1.001  0.000 
 0.30146    120    134  6860  -2.810e+02  4.741e-01  1.694e-01  9.246e-02  8.368e-01   -1.002  0.000  3.515e-01  2.705e-01   -1.001  0.000 
 0.30176    135    149  6859  -2.177e+02  4.959e-01  1.772e-01  9.091e-02  8.451e-01   -1.002  0.000  3.690e-01  2.833e-01   -1.002  0.000 
 0.30206    150    164  6858  -1.696e+02  5.259e-01  1.879e-01  8.750e-02  8.573e-01   -1.003  0.000  3.919e-01  3.001e-01   -1.002  0.001 
 0.30237    165    179  6855  -1.341e+02  5.772e-01  2.062e-01  1.081e-01  8.423e-01   -1.004  0.001  4.308e-01  3.291e-01   -1.003  0.001 
 0.30267    180    194  6855  -1.060e+02  6.513e-01  2.326e-01  1.342e-01  8.291e-01   -1.006  0.001  4.875e-01  3.715e-01   -1.005  0.001 
 0.30297    195    210  6850  -8.429e+01  7.326e-01  2.617e-01  1.725e-01  8.095e-01   -1.009  0.001  5.501e-01  4.182e-01   -1.007  0.002 
 0.30327    211    225  6851  -6.781e+01  7.934e-01  2.834e-01  1.929e-01  8.044e-01   -1.012  0.001  5.985e-01  4.539e-01   -1.009  0.002 
 0.30358    226    240  6852  -5.559e+01  8.311e-01  2.968e-01  2.029e-01  8.037e-01   -1.015  0.002  6.290e-01  4.758e-01   -1.011  0.002 
 0.30388    241    255  6849  -4.497e+01  8.423e-01  3.008e-01  1.891e-01  8.167e-01   -1.019  0.002  6.396e-01  4.827e-01   -1.014  0.003 
 0.30418    256    270  6849  -3.719e+01  8.951e-01  3.196e-01  2.007e-01  8.168e-01   -1.024  0.002  6.800e-01  5.119e-01   -1.018  0.004 
 0.30449    271    286  6847  -3.107e+01  9.725e-01  3.473e-01  2.314e-01  8.078e-01   -1.031  0.003  7.408e-01  5.562e-01   -1.024  0.004 
 0.30479    287    301  6849  -2.613e+01  1.083e+00  3.866e-01  2.567e-01  8.083e-01   -1.041  0.003  8.269e-01  6.193e-01   -1.032  0.006 
 0.30510    302    316  6845  -2.188e+01  1.189e+00  4.246e-01  3.030e-01  7.969e-01   -1.054  0.004  9.117e-01  6.811e-01   -1.042  0.007 
 0.30540    317    331  6843  -1.851e+01  1.253e+00  4.472e-01  3.181e-01  7.975e-01   -1.068  0.005  9.644e-01  7.188e-01   -1.052  0.008 
 0.30571    332    347  6844  -1.588e+01  1.274e+00  4.550e-01  2.948e-01  8.121e-01   -1.080  0.006  9.841e-01  7.315e-01   -1.062  0.009 
 0.30601    348    362  6838  -1.341e+01  1.311e+00  4.681e-01  2.904e-01  8.187e-01   -1.098  0.006  1.016e+00  7.532e-01   -1.076  0.010 
 0.30632    363    377  6839  -1.129e+01  1.335e+00  4.767e-01  3.210e-01  8.062e-01   -1.118  0.007  1.036e+00  7.661e-01   -1.092  0.011 
 0.30663    378    392  6840  -9.364e+00  1.433e+00  5.114e-01  3.379e-01  8.092e-01   -1.153  0.008  1.114e+00  8.221e-01   -1.119  0.013 
 0.30693    393    408  6837  -8.477e+00  1.550e+00  5.534e-01  3.832e-01  8.018e-01   -1.183  0.010  1.208e+00  8.890e-01   -1.143  0.015 
 0.30724    409    423  6835  -7.420e+00  1.686e+00  6.019e-01  4.428e-01  7.920e-01   -1.227  0.011  1.319e+00  9.681e-01   -1.178  0.018 
 0.30755    424    439  6836  -6.931e+00  1.775e+00  6.337e-01  4.685e-01  7.912e-01   -1.256  0.013  1.395e+00  1.021e+00   -1.201  0.020 
 0.30785    440    454  6838  -5.420e+00  1.775e+00  6.337e-01  4.765e-01  7.884e-01   -1.328  0.014  1.400e+00  1.022e+00   -1.258  0.022 
 0.30816    455    469  6838  -3.136e+00  1.801e+00  6.429e-01  4.849e-01  7.879e-01   -1.574  0.015  1.422e+00  1.036e+00   -1.453  0.024 
 0.30847    470    485  6839  -4.037e+00  1.884e+00  6.725e-01  5.150e-01  7.854e-01   -1.467  0.016  1.494e+00  1.085e+00   -1.370  0.026 
 0.30878    486    500  6840  -3.765e+00  1.899e+00  6.777e-01  5.164e-01  7.862e-01   -1.504  0.017  1.509e+00  1.093e+00   -1.401  0.028 
 0.30909    501    516  6841  -4.371e+00  1.976e+00  7.051e-01  4.961e-01  7.993e-01   -1.452  0.019  1.573e+00  1.137e+00   -1.360  0.031 
 0.30940    517    531  6842  -5.122e+00  2.151e+00  7.675e-01  5.005e-01  8.112e-01   -1.420  0.022  1.715e+00  1.236e+00   -1.335  0.035 
 0.30971    532    547  6838  -4.538e+00  2.279e+00  8.132e-01  5.388e-01  8.088e-01   -1.502  0.024  1.827e+00  1.313e+00   -1.402  0.039 
 0.31002    548    562  6838  -4.846e+00  2.292e+00  8.177e-01  5.235e-01  8.140e-01   -1.473  0.025  1.845e+00  1.322e+00   -1.381  0.041 
 0.31033    563    578  6836  -4.869e+00  2.302e+00  8.215e-01  5.827e-01  7.980e-01   -1.473  0.026  1.856e+00  1.327e+00   -1.381  0.043 
 0.31064    579    593  6839  -5.365e+00  2.382e+00  8.499e-01  7.167e-01  7.687e-01   -1.444  0.028  1.927e+00  1.374e+00   -1.359  0.045 
 0.31095    594    609  6839  -5.128e+00  2.432e+00  8.679e-01  8.005e-01  7.524e-01   -1.474  0.029  1.973e+00  1.403e+00   -1.385  0.047 
 0.31126    610    624  6842  -5.688e+00  2.424e+00  8.647e-01  8.077e-01  7.500e-01   -1.426  0.029  1.973e+00  1.399e+00   -1.347  0.047 
 0.31157    625    640  6844  -5.380e+00  2.494e+00  8.898e-01  8.043e-01  7.562e-01   -1.464  0.030  2.032e+00  1.437e+00   -1.378  0.049 
 0.31188    641    655  6847  -5.750e+00  2.644e+00  9.432e-01  7.838e-01  7.713e-01   -1.460  0.032  2.161e+00  1.524e+00   -1.376  0.051 
 0.31219    656    671  6847  -5.846e+00  2.726e+00  9.725e-01  7.861e-01  7.762e-01   -1.466  0.033  2.237e+00  1.573e+00   -1.383  0.053 
 0.31251    672    687  6849  -6.496e+00  2.822e+00  1.007e+00  8.503e-01  7.685e-01   -1.434  0.033  2.322e+00  1.629e+00   -1.357  0.054 
 0.31282    688    702  6850  -6.469e+00  2.868e+00  1.023e+00  8.723e-01  7.668e-01   -1.443  0.033  2.368e+00  1.657e+00   -1.366  0.054 
 0.31313    703    718  6852  -6.267e+00  2.873e+00  1.025e+00  8.933e-01  7.628e-01   -1.458  0.032  2.382e+00  1.661e+00   -1.380  0.053 
 0.31344    719    734  6854  -6.251e+00  2.780e+00  9.916e-01  8.709e-01  7.615e-01   -1.445  0.031  2.310e+00  1.607e+00   -1.370  0.050 
 0.31376    735    749  6854  -6.704e+00  2.860e+00  1.020e+00  9.444e-01  7.518e-01   -1.427  0.031  2.380e+00  1.651e+00   -1.355  0.050 
 0.31407    750    765  6857  -3.064e+00  3.048e+00  1.087e+00  1.010e+00  7.510e-01   -1.995  0.032  2.550e+00  1.736e+00   -1.832  0.051 
 0.31438    766    781  6855  -1.808e-01  5.078e+00  1.819e+00  9.501e-01  8.424e-01  -29.083  0.052  4.450e+00  2.134e+00  -25.716  0.061 
 0.31470    782    796  6855   9.096e-03  5.588e+00  2.003e+00  9.646e-01  8.528e-01  613.348  0.057  4.759e+00  2.183e+00  475.871  0.062 
 0.31501    797    812  6849  -2.876e+00  4.877e+00  1.746e+00  1.063e+00  8.210e-01   -2.696  0.049  4.081e+00  2.085e+00   -2.419  0.059 
 0.31533    813    828  6848  -3.927e+00  4.311e+00  1.542e+00  1.050e+00  8.041e-01   -2.098  0.043  3.620e+00  1.956e+00   -1.922  0.055 
 0.31564    829    844  6846  -3.916e+00  3.093e+00  1.103e+00  9.524e-01  7.646e-01   -1.790  0.031  2.618e+00  1.785e+00   -1.669  0.049 
 0.31596    845    859  6844  -4.937e+00  3.257e+00  1.161e+00  8.862e-01  7.861e-01   -1.660  0.032  2.766e+00  1.881e+00   -1.560  0.052 
 0.31628    860    875  6845  -2.092e+00  3.540e+00  1.263e+00  9.522e-01  7.880e-01   -2.692  0.035  3.003e+00  1.948e+00   -2.436  0.054 
 0.31659    876    891  6842  -8.416e-01  3.475e+00  1.239e+00  1.095e+00  7.604e-01   -5.129  0.035  2.973e+00  1.995e+00   -4.532  0.056 
 0.31691    892    907  6839  -9.308e-01  3.762e+00  1.343e+00  1.193e+00  7.592e-01   -5.041  0.038  3.219e+00  2.012e+00   -4.459  0.057 
 0.31723    908    923  6839   7.557e-01  3.399e+00  1.212e+00  1.333e+00  7.184e-01    3.498  0.036  3.241e+00  2.014e+00    3.288  0.059 
 0.31754    924    939  6833   1.939e+00  3.318e+00  1.183e+00  1.287e+00  7.205e-01    0.712  0.037  2.865e+00  1.920e+00    0.478  0.059 
 0.31786    940    954  6833   2.833e+00  3.401e+00  1.212e+00  1.211e+00  7.374e-01    0.201  0.040  2.939e+00  1.964e+00    0.038  0.064 
 0.31818    955    970  6830   4.647e+00  3.508e+00  1.251e+00  1.099e+00  7.614e-01   -0.245  0.044  3.040e+00  2.025e+00   -0.346  0.071 
 0.31850    971    986  6827   6.076e+00  3.649e+00  1.301e+00  1.193e+00  7.536e-01   -0.399  0.050  3.172e+00  2.107e+00   -0.478  0.081 
 0.31881    987   1002  6827   7.736e+00  3.710e+00  1.322e+00  1.318e+00  7.379e-01   -0.520  0.055  3.236e+00  2.143e+00   -0.582  0.090 
 0.31913   1003   1018  6824   8.108e+00  3.723e+00  1.327e+00  1.347e+00  7.344e-01   -0.541  0.063  3.261e+00  2.154e+00   -0.598  0.102 
 0.31945   1019   1034  6825   8.600e+00  3.545e+00  1.263e+00  1.191e+00  7.485e-01   -0.588  0.068  3.113e+00  2.049e+00   -0.638  0.110 
