# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Results of the evaluation of PALACE and the airglow component of the ESO Sky
# Model (noll+12) in comparison to X-shooter VIS-arm spectra
# 
# Column names:
# lam: central air wavelength of bin in µm
# lpix: lower pixel of bin in X-shooter VIS-arm spectra
# upix: upper pixel of bin in X-shooter VIS-arm spectra
# Nsel: number of selected X-shooter spectra
# mfx: mean flux of X-shooter data in R/nm
# mfp: mean flux of PALACE in R/nm
# mdfp: mean scatter of PALACE in R/nm
# mfo: mean flux of other sky radiation components from ESO Sky Model in R/nm
# fng: fraction of nightglow from ratio of mfp and mfp + mfo
# rdelp: relative deviation for PALACE (mfp / mfx - 1)
# rdp: relative scatter for PALACE (mdfp divided by standard deviation of
#      fp - fx from individual spectra)
# mfs: mean flux of airglow component of ESO Sky Model in R/nm
# mdfs: mean scatter of airglow component of ESO Sky Model in R/nm
# rdels: relative deviation for ESO Sky Model (mfs / mfx - 1)
# rds: relative scatter for ESO Sky Model (mdfs divided by standard deviation
#      of fs - fx from individual spectra)
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# 
     lam   lpix   upix  Nsel         mfx        mfp       mdfp        mfo        fng   rdelp    rdp        mfs       mdfs   rdels    rds 
 0.53392      0     26  6856   3.074e+02  3.281e+00  1.127e+00  6.010e+00  3.531e-01  -0.989  0.001  3.995e+00  1.290e+00  -0.987  0.001 
 0.53445     27     52  6852   3.035e+02  3.309e+00  1.132e+00  6.168e+00  3.492e-01  -0.989  0.001  4.110e+00  1.300e+00  -0.986  0.001 
 0.53499     53     79  6847   3.042e+02  3.497e+00  1.187e+00  6.032e+00  3.670e-01  -0.989  0.001  4.265e+00  1.317e+00  -0.986  0.002 
 0.53552     80    106  6853   3.153e+02  3.288e+00  1.120e+00  6.366e+00  3.405e-01  -0.990  0.001  4.232e+00  1.314e+00  -0.987  0.002 
 0.53606    107    133  6849   2.999e+02  3.138e+00  1.075e+00  6.269e+00  3.336e-01  -0.990  0.002  4.055e+00  1.304e+00  -0.986  0.002 
 0.53659    134    159  6848   2.720e+02  3.220e+00  1.101e+00  6.095e+00  3.457e-01  -0.988  0.002  4.070e+00  1.308e+00  -0.985  0.002 
 0.53713    160    186  6848   2.508e+02  3.275e+00  1.119e+00  5.869e+00  3.582e-01  -0.987  0.002  4.084e+00  1.311e+00  -0.984  0.003 
 0.53767    187    213  6843   2.208e+02  3.186e+00  1.091e+00  6.145e+00  3.415e-01  -0.986  0.003  4.099e+00  1.315e+00  -0.981  0.003 
 0.53820    214    240  6847   1.892e+02  3.232e+00  1.103e+00  6.128e+00  3.453e-01  -0.983  0.003  4.113e+00  1.318e+00  -0.978  0.004 
 0.53874    241    267  6851   1.568e+02  3.158e+00  1.075e+00  6.181e+00  3.381e-01  -0.980  0.004  4.127e+00  1.321e+00  -0.974  0.004 
 0.53928    268    294  6844   1.199e+02  3.048e+00  1.039e+00  6.136e+00  3.319e-01  -0.975  0.004  4.141e+00  1.324e+00  -0.965  0.005 
 0.53982    295    321  6845   9.072e+01  3.064e+00  1.044e+00  5.881e+00  3.426e-01  -0.966  0.005  4.154e+00  1.328e+00  -0.954  0.007 
 0.54036    322    348  6848   6.672e+01  3.075e+00  1.049e+00  5.880e+00  3.434e-01  -0.954  0.007  4.168e+00  1.331e+00  -0.938  0.008 
 0.54090    349    375  6843   4.613e+01  3.132e+00  1.069e+00  5.739e+00  3.530e-01  -0.932  0.009  4.180e+00  1.333e+00  -0.909  0.011 
 0.54144    376    402  6847   3.224e+01  3.115e+00  1.062e+00  6.003e+00  3.416e-01  -0.903  0.011  4.193e+00  1.336e+00  -0.870  0.014 
 0.54198    403    429  6844   2.195e+01  3.197e+00  1.080e+00  6.161e+00  3.416e-01  -0.854  0.014  4.207e+00  1.340e+00  -0.808  0.018 
 0.54252    430    456  6844   1.589e+01  3.131e+00  1.064e+00  6.177e+00  3.363e-01  -0.803  0.018  4.222e+00  1.343e+00  -0.734  0.023 
