Wave_air  LineID Component    Ampl
-------- ------- --------- -------
  5197.9 NI0520a      atom  0.1407
 5200.26 NI0520b      atom  0.0822
 5577.34  OI0558      atom 11.3583
 5889.95 NaI0589      atom  1.8099
 5895.93 NaI0590      atom   0.996
 6300.31  OI0630      atom   8.314
 6363.78  OI0636      atom  2.7723
 7557.53  OH_4-0        OH  0.2946
  7571.7  OH_4-0        OH  0.0803
 7586.11  OH_4-0        OH  0.0544
 7598.36  OH_4-0        OH  0.1209
 7618.03  OH_4-0        OH  0.0777
 7628.49  OH_4-0        OH  1.7436
 7653.26  OH_4-0        OH  0.1053
 7662.17  OH_4-0        OH  0.1213
 7691.14  OH_4-0        OH  0.0868
 7691.81  OH_4-0        OH  0.1367
 7698.66  OH_8-3        OH  0.4031
 7698.96  KI0770      atom  0.4958
 7699.46  OH_4-0        OH  0.6083
 7700.17  OH_8-3        OH  0.5626
 7733.77  OH_4-0        OH  0.8071
 7740.39  OH_4-0        OH   0.489
 7768.85  OH_8-3        OH  0.2556
 7771.94  OI0777        OI  13.171
 7779.23  OH_4-0        OH  0.3011
 7780.47  OH_9-4        OH  0.4962
 7785.01  OH_4-0        OH   0.192
 7794.15  OH_9-4        OH  0.5211
 7803.49  OH_9-4        OH  0.0119
  7808.5  OH_9-4        OH  0.8347
 7821.58  OH_9-4        OH  2.6023
 7828.29  OH_4-0        OH   1.747
 7833.38  OH_4-0        OH  0.2166
 7841.27  OH_9-4        OH  1.1474
 7844.48  OH_6-1        OH  0.3976
 7846.16  OH_6-1        OH  0.4731
 7853.49  OH_9-4        OH  2.0622
 7878.76  OH_9-4        OH  1.5342
 7881.04  OH_4-0        OH  1.2307
 7885.58  OH_4-0        OH  0.2032
 7890.04  OH_9-4        OH  3.7891
 7913.32  OH_9-4        OH  0.5341
 7920.98  OH_9-4        OH  2.7778
 7931.39  OH_9-4        OH  2.1178
 7937.62  OH_4-0        OH   0.231
  7941.7  OH_4-0        OH  0.3134
 7949.24  OH_5-1        OH  0.1623
 7961.21  OH_6-1        OH  0.4241
 7962.84  OH_6-1        OH  0.5159
  7964.6  OH_5-1        OH  0.6025
 7968.03  OH_9-4        OH  2.9499
