Source_name Other_name        RA        Dec RegType   Major   Minor Theta expnum   mjd exptime      RA_2      Dec_2  tileid                                                                      location Source_name_2 separation table1_index table2_index
----------- ---------- --------- ---------- ------- ------- ------- ----- ------ ----- ------- --------- ---------- ------- ----------------------------------------------------------------------------- ------------- ---------- ------------ ------------
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   3481 60177   900.0 17.098596 -71.986795   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003481.fits          3481     697.20           17           12
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   3482 60177   900.0 17.105055 -71.990868   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003482.fits          3482     695.32           17           13
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   3483 60177   900.0 17.109002 -71.991352   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003483.fits          3483     698.12           17           14
 J0106-7205      IKT25 16.572917 -72.092778 ellipse   6.875     5.0  25.0   3484 60177   900.0 17.113107  -71.99147   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003484.fits          3484     701.79           17           15
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3485 60177   900.0 14.952198 -72.151788   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003485.fits          3485     657.09            8           16
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3485 60177   900.0 14.952198 -72.151788   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003485.fits          3485     114.89            9           16
 J0057-7211      NS66D 14.457917 -72.196389 ellipse   11.25  9.0625  45.0   3485 60177   900.0 14.952198 -72.151788   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003485.fits          3485     567.89           20           16
 J0058-7217      IKT16 14.593333 -72.297778  circle    16.0    16.0   0.0   3486 60177   900.0 14.951036 -72.152772   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003486.fits          3486     653.48            8           17
 J0059-7210      IKT18 14.865417 -72.169444  circle    8.75    8.75   0.0   3486 60177   900.0 14.951036 -72.152772   11111   sdsswork/lvm/spectro/redux/1.1.1/0011XX/11111/60177/lvmSFrame-00003486.fits          3486     111.88            9           17
